,aardvark,alpaca,anteater,badger,bat1,beaver,bee,beetle,bison,boar,bug,butterfly,calf1,cardinal,caterpillar,catfish,chick,chihuahua,chipmunk,cobra,cockroach,coral,cow,crab,crow,deer,dolphin,dragonfly,duck,eagle,earwig,elephant,fish,fly,fox,gazelle,goat,goose,gorilla,grasshopper,guinea_pig,hawk,hippopotamus,hummingbird,iguana,kangaroo,koala,ladybug,leech,lightning_bug,lion,llama,maggot,meerkat,mongoose,moose,mosquito,moth,mussel,orangutan,otter,oyster,panther,peacock,penguin,pig,piglet,polar_bear,poodle,possum,praying_mantis,pug,rabbit,racehorse,rat,reindeer,rooster,scallop,sea_urchin,seahorse,shark,shrimp,sloth,snail,spider,squirrel,stingray,swordfish,tarantula,tiger,toucan,turtle,walrus,wasp,whale,worm,zebra
aardvark,0.0,0.08868853922502173,0.07021607267102215,0.09533174489399188,0.05002669500757506,0.06934206519177555,0.1432910939069103,0.1986358947750403,0.06431085616829535,0.06978675444207638,0.6202549590597413,0.4134324274731801,0.044878645040627774,0.10395474275111416,0.3898585007039923,0.21695269999707678,0.06284780300949822,0.057572051141140945,0.05420907476155623,0.1808032194860434,0.29622869376917405,1.3763706098871398,0.09121743840636265,0.8924568081447231,0.08609762982561286,0.07580977774715292,0.35763004390915454,0.6574639006563783,0.13064422935598086,0.07532724386897449,0.43411909984810504,0.04683826113667522,0.6233707493230392,0.13390035037818937,0.0624893329858186,0.08066343761391692,0.07908845315499524,0.1382057098069358,0.08073420578538104,0.37204806546615643,0.0728577728838804,0.06943000236951213,0.05720407343678158,0.08790869008841828,0.20390242158311478,0.05012736372413562,0.0778160226804272,0.15314253733358818,0.4027066413356333,0.4122195509156783,0.0884459616334421,0.08318634152040993,0.882618694286077,0.1058833266593282,0.05619498802976941,0.056872869646334756,0.23758801371839278,0.12971777040198318,0.5718112604074139,0.06778378353934433,0.0948626418009485,0.3445389061703079,0.07386619514308923,0.4609999282858581,0.12724281822252947,0.03997004357924239,0.06421415055938695,0.04562988252736844,0.08095215790861232,0.0578372733739716,0.6093183287859719,0.07794643217721087,0.05673681666269159,0.10076181384633809,0.0683339583736563,0.12796648813198275,0.09334403035226824,0.44522962287427914,0.5136783508553067,0.14249606072833476,0.7050155342585057,0.5370433854745559,0.07655503105369998,0.23627328894401367,0.5599944593757664,0.05988972648274027,0.6547049089456788,1.0556898487673863,0.0774583589827409,0.0741391077564425,0.09396338735684695,0.3263601749422411,0.0667506973674058,0.18240990194334838,0.4291137662417598,1.070736343280854,0.08888774136326616
alpaca,0.08868853922502173,-2.220446049250313e-16,0.13979959455615643,0.10031195880365806,0.09300755611141298,0.09889684085071881,0.19673440391805064,0.20564295277934685,0.14194002388460802,0.09417904047631143,0.5636544720783793,0.39697303196137546,0.0805277366143069,0.08239106703412091,0.3772305711066405,0.22822043142402304,0.1076909135481463,0.1039656840891735,0.0916702027178623,0.2002563372658619,0.26039427668655946,1.3772452938411934,0.1303481737141743,0.9092329136040455,0.07640591416729436,0.10542566972844247,0.39115058005380665,0.47940748194029736,0.0866447984529386,0.09725914085711818,0.42696317441831355,0.1254902069374918,0.6613489776026706,0.141136730516358,0.1314515008126519,0.09943054264752915,0.04927880567208298,0.09327955569436175,0.0761687667963058,0.3320370207301655,0.1236480031750028,0.09208114921642374,0.1003112077158036,0.09813930643405289,0.20121953050870878,0.058689216025101465,0.11165207820475387,0.18972254737589933,0.5461025814612416,0.3766117771334274,0.10885647963174094,0.06961243990723076,0.9674767287094512,0.061592210821256876,0.05606251350519331,0.11184610356609259,0.21751637133276025,0.11808294727449131,0.5777149104358426,0.10894873459043486,0.05621445893142352,0.4628559003986249,0.1218137876054236,0.30563846536181616,0.07899093046153838,0.08966943167494756,0.0944900804064771,0.07905710244343811,0.10307400629819918,0.10216761409146635,0.5478957587962718,0.09789780918259161,0.05889320439763246,0.05735332123932191,0.12105841693861163,0.16058744009799475,0.05397808734263798,0.5427768743570209,0.46243166124414137,0.07836338426455702,0.6145144737247223,0.616461641514631,0.12537665645389584,0.3228806588745967,0.5127132959931602,0.09837595329279347,0.6147477359556416,1.0085965699898338,0.11579398327415769,0.08580692655864408,0.12204513362081004,0.3354903382378328,0.11533389605753075,0.16851894971684245,0.33177291327424285,1.0854407727303552,0.09211770975569589
anteater,0.07021607267102215,0.13979959455615643,0.0,0.15447581080639983,0.11332714731834859,0.08778977512128139,0.19424573331884343,0.1461168855759849,0.04851799173686122,0.08430696545410388,0.6621524643674599,0.3604939199155489,0.08101725469488064,0.13549893923455325,0.34380969882293533,0.32656461169994455,0.13085970020019388,0.1193472358071963,0.09658403861519693,0.19359659549167996,0.25023522967156797,1.1977069631831438,0.07491339000590735,0.8043588596184996,0.14304751641245028,0.064563708934401,0.36638166479775947,0.6709920071857828,0.21711202946008268,0.13456523793089414,0.37236790014534726,0.07040354597519072,0.6729879664693075,0.14688146346687192,0.08854549413431057,0.10905796629769227,0.10681146197043279,0.12998288609141617,0.14860299806723865,0.3655047376617293,0.12995718040049486,0.09398638416530236,0.08432033316379761,0.09354007794874053,0.19514817774223325,0.08071379078704788,0.11204635205560443,0.20473515377501084,0.3431361037606723,0.4122556101588668,0.14495676253219614,0.0791933182932566,0.7660679686136389,0.17023644951536587,0.09877540663875317,0.060176243242576755,0.21097640023156128,0.1785442905015927,0.5039805732829684,0.09207217139994539,0.15416714715294155,0.2717719771724223,0.14068275848309464,0.49882167956618706,0.17186149617297475,0.06543388297605846,0.15806699499175025,0.09753688592389109,0.08715498163034185,0.11373106948910205,0.6106486584667654,0.11593053693663302,0.12631206226460712,0.12010228389485333,0.15069310761436716,0.09884184939067542,0.13080406405291,0.46275122251175604,0.5523405549778768,0.18178913099944005,0.7752441781853205,0.4965851145208291,0.09391946145628816,0.3165573111371871,0.4924628611734446,0.07238125020692032,0.720161201848647,0.9875871285891703,0.09474914306831317,0.09558430369731852,0.09670641030785321,0.3475613648704592,0.09992473794338363,0.23040094855504434,0.4395028589456751,0.9288982024865691,0.08172874657297602
badger,0.09533174489399188,0.10031195880365806,0.15447581080639983,-4.440892098500626e-16,0.0810241465671856,0.09955384163861147,0.13460551923027542,0.3006114469538126,0.14379885628207023,0.06723566612149279,0.6761166435072408,0.4863541598076183,0.09445713023387792,0.11146291918044615,0.3484354151440986,0.19095912650225233,0.07411865904926762,0.07194448066066006,0.06948458977533845,0.19840760931578938,0.3615387001007685,1.3614835032650667,0.17162469550818282,1.0179359724859964,0.10049508380937933,0.14003830658914462,0.44161317811313505,0.6556070187524478,0.13280987982283665,0.08669791682610428,0.524980768112336,0.12950091376245665,0.5512534213567171,0.18182169774659962,0.10521270720077558,0.13616120174751067,0.13078248178526808,0.14621448654386127,0.07345565057810766,0.4336345192301855,0.06574826339208895,0.10771096515139222,0.1255495587645873,0.1441209775681076,0.2042860299730188,0.0863256931439762,0.08336237826212456,0.18854812225910456,0.5908521901499671,0.4691490652932383,0.06907225302645803,0.12252711262030169,1.014774670643755,0.07373732618837148,0.07643719335562182,0.11936682267522492,0.3313443234757979,0.1345795574923343,0.5446287368332756,0.08027577785763373,0.0748596984517016,0.4264895402271002,0.06917834266745315,0.3922361281673501,0.11940525095180188,0.0999951131095086,0.07093687401753679,0.08020703424089992,0.09856377313853448,0.05806708970514207,0.7571502193589834,0.07365794623519184,0.06455922144511839,0.15855100089455487,0.06543284587511333,0.19778853391538598,0.10855780634259071,0.5397376297132196,0.4354615067512385,0.16261319293088616,0.7029547407997367,0.596725779504933,0.10812426203358694,0.30497034351511854,0.5746154159946046,0.08533170459818928,0.5726622107856476,1.1604821678741954,0.10858078804648463,0.09420026015402827,0.1492080234343175,0.38088830355738656,0.10132695097019073,0.18471257440266486,0.44292010990217434,1.1155392539782925,0.13241883297186685
bat1,0.05002669500757506,0.09300755611141298,0.11332714731834859,0.0810241465671856,-4.440892098500626e-16,0.09448082385467449,0.12308212818466502,0.22723348541174582,0.11282932054690964,0.07708865822943645,0.6408156242836787,0.4063219925136985,0.06412194545955496,0.08222615662124055,0.37263330416064167,0.21935723711213206,0.05184760690758339,0.05042363086596735,0.052293463319108335,0.15957044434087309,0.32905182376485287,1.3954019099513117,0.13343862530070105,0.9919912573784643,0.09456877133882502,0.10910660458706889,0.38205943056503777,0.68626066140882,0.10745569339826067,0.07609220848715592,0.5026271124011564,0.0728003283700549,0.6284801009298374,0.1714476501269515,0.07824436174691374,0.12392354095696878,0.10636570288543523,0.1377157314699642,0.06348446179619882,0.42001551246407365,0.052613620431631536,0.07364385860102884,0.10709043503018723,0.09038973761358171,0.22422990711847024,0.07299085581316134,0.055694385439259086,0.13759256963534905,0.4587437117838993,0.44146755940673377,0.0745844733289458,0.08823188599990917,0.9238229585574604,0.08056948283013865,0.062312563008403044,0.07796576349522821,0.2701722544254894,0.105409467209711,0.5594381841359257,0.05599812060212184,0.09340832453321257,0.35086003687966383,0.06137059548309509,0.4524415718183852,0.11887809100222002,0.05849952583846485,0.05813226931709847,0.06117002233801749,0.08411149712231458,0.0494010704561374,0.6890068757831252,0.050796815546225726,0.06448617691461678,0.134402287440891,0.07869709912749634,0.18409931600159712,0.1108619281850789,0.4271129428478079,0.4725177962932615,0.12299188761344104,0.7422876808377594,0.5678836491300172,0.08724376299279823,0.24600797826468912,0.5322654102164778,0.06916084983436688,0.609078668521448,1.0690806203199563,0.07405574004257098,0.08102434288580129,0.09406350935369368,0.3827302379579196,0.05525214450038196,0.14581136010262408,0.4524091865881532,1.1529850829987232,0.1236553548151259
beaver,0.06934206519177555,0.09889684085071881,0.08778977512128139,0.09955384163861147,0.09448082385467449,-2.220446049250313e-16,0.17634674656216331,0.18461585822900262,0.09256141634140935,0.06471039395224754,0.6434127526825801,0.38571533590360785,0.08696968158213991,0.10931187160941369,0.3588109967879094,0.229498564984415,0.10068776960727632,0.10950916555405577,0.07879701187413668,0.21883840364574092,0.2465659922744038,1.280378356341654,0.12242216907596337,0.8460789753506869,0.11113023167830749,0.10282507697980336,0.3912632216511376,0.5977073906121968,0.1536944869445377,0.10357503869372808,0.40966021981486356,0.10388834168990924,0.6160746286488512,0.1250638647778951,0.1012174806511803,0.11455756592744748,0.10047230002589425,0.13509731767854216,0.10355951713871947,0.3597739034236761,0.10606202927436792,0.09069920878736659,0.06826105438775931,0.09795487594215369,0.1678893779784143,0.06718619689568461,0.1038487764365651,0.18532287360602628,0.4570280025496015,0.4000390617463546,0.10784602120940923,0.10801567071081442,0.9117258920662749,0.1304223477561528,0.08134112494396217,0.07709324685918273,0.23920547764604416,0.1284321646477219,0.5087090144346029,0.08547847479771842,0.09913800112772164,0.3574546140309446,0.12243950445007368,0.4077750484424687,0.14866041495663362,0.08261823615584285,0.11385244701274932,0.07982711515165752,0.09986161825118323,0.08825342049875584,0.6477196997217434,0.10470495996748763,0.07723360788923905,0.09350424205758012,0.10218064768350466,0.1466156015420268,0.09374450711709548,0.4845676003074483,0.4233930884555124,0.14039319089503854,0.6736575778506375,0.5499536384629944,0.10803938582641215,0.2728598143741813,0.4990672167580762,0.06576893028300534,0.616277512396074,1.0206587234351268,0.09566498318384964,0.08736364221948734,0.12340265160779329,0.3118254278550645,0.09817518985037987,0.17521964531083334,0.402315299669619,1.0294641808621912,0.09204632071203023
bee,0.1432910939069103,0.19673440391805064,0.19424573331884343,0.13460551923027542,0.12308212818466502,0.17634674656216331,2.220446049250313e-16,0.38077443608286554,0.21088310535419807,0.17157473406451296,0.690140635765542,0.5409505749641419,0.16059895120633794,0.16785029947559238,0.4229004871908213,0.25302422325529217,0.11051355726921419,0.1154081206969757,0.13339540214993995,0.28880793984189945,0.46362454733325087,1.3469640638696256,0.2382407439885842,1.0971968141684747,0.20483148009805885,0.20156644944142033,0.4279241631921039,0.7738964519291688,0.20720256160852468,0.14262220985215035,0.5332029236908111,0.18265229585008114,0.6039005824720236,0.22013067413469967,0.16051737206846184,0.23583779627532808,0.21784122956844865,0.21320554115367474,0.16012137260786707,0.477496048654112,0.10733906109928104,0.1792913130619297,0.2321161316268261,0.22391146000506157,0.29194828591990907,0.15654901739779237,0.13359448821459596,0.22342546031841692,0.5413800580148452,0.539428921332203,0.15888792454461076,0.19989553292421025,0.910803734386218,0.16028699049470463,0.16979588821776603,0.18649022959046357,0.3927613513576623,0.22936329543850076,0.617982669208003,0.11895740951141842,0.1700454437115586,0.3948077010024783,0.12925353685459318,0.4922785309955292,0.19546331979534648,0.14163907855959024,0.1460834637865539,0.15891640681770802,0.16788206519570648,0.12532719000244918,0.7383768548884918,0.13331438339240675,0.15197073622306212,0.24679080994686553,0.13516906987400967,0.3062704159915809,0.18089687815519595,0.4523150027470705,0.44466458221218275,0.22311628032316866,0.7558568383381448,0.612723597635972,0.1599545031197953,0.2551404894918624,0.6879074978888076,0.14388833795459877,0.6159377648232356,1.2106040001361993,0.16582985387063232,0.16139267366525312,0.18918272298615124,0.48804692885444334,0.15507074538663168,0.21199788826814814,0.521320117738691,1.1899417461935862,0.22689265325442842
beetle,0.1986358947750403,0.20564295277934685,0.1461168855759849,0.3006114469538126,0.22723348541174582,0.18461585822900262,0.38077443608286554,2.220446049250313e-16,0.15625565243401018,0.20947195855870804,0.553744777568967,0.20014703035991066,0.16322274588542895,0.23012379951740136,0.37310860949213065,0.43881839766198283,0.28040773465729896,0.26151283281727256,0.21934884548825395,0.24190082228650778,0.15014248307875966,1.166596371825418,0.11315424889887715,0.661126331318106,0.2383443051991112,0.14361421717940026,0.4109473762701973,0.5007308324747433,0.25398482585199655,0.263703993124775,0.3829479950719007,0.21717027549704992,0.8015635250056259,0.21342311549780735,0.24599674082531786,0.1808744909180411,0.15207958018443024,0.2093164590570442,0.2579622699277062,0.38233777109974154,0.26620150892210503,0.1802436614690327,0.1647659815408441,0.12849755528747042,0.2600135179287687,0.20096805127126705,0.24194659066291357,0.2165317958010201,0.38692392038291223,0.3837977965678867,0.2581139695111837,0.16103380569804837,0.7286994040278132,0.2772172982522343,0.1804146303660703,0.14242041219050694,0.15361447943895623,0.19202106126580187,0.47210684633676614,0.20756665655608997,0.21143854299626752,0.3715770227676086,0.28731840566711375,0.5238598548874758,0.25922696949321755,0.17865800001434196,0.2640240986409508,0.21793842664532648,0.1922829260820429,0.23540341418273014,0.5503413689234766,0.21650931881726676,0.24599064873348375,0.14539946311549823,0.2717360364064568,0.14864229163370468,0.19358852283430683,0.5389674567459215,0.5784869855580937,0.23304012823028397,0.763102645275769,0.5282326623698728,0.23644225788518947,0.4358973025704914,0.40592028393102964,0.17703623953984604,0.7107679941032473,0.760218786791401,0.1765739129455416,0.18203809977719976,0.16999694048219083,0.40020354757696375,0.20755197422386207,0.27662808367076774,0.43120349793997015,0.7223785089612007,0.13647248208021334
bison,0.06431085616829535,0.14194002388460802,0.04851799173686122,0.14379885628207023,0.11282932054690964,0.09256141634140935,0.21088310535419807,0.15625565243401018,0.0,0.07085807437211378,0.7038874863669147,0.3527369017616194,0.05482921021422449,0.1391824520093652,0.349072743319782,0.3267129241672625,0.12026288829339238,0.10253806862502846,0.08178412479222053,0.16661875447128094,0.25301358496519666,1.1822551284937197,0.0794894860294274,0.808646231795637,0.12773786545728427,0.05747739928603757,0.35898114624204136,0.7009521820886699,0.21805512691523588,0.11634598970104393,0.4288973686482146,0.05695201138703532,0.6388705153892176,0.18271405604199586,0.06705963053295216,0.08908794575751156,0.10681369791648132,0.15253357472356555,0.12821955462242074,0.39897187007804447,0.11073792582632791,0.0771485601478682,0.06586902940092365,0.10300493759295237,0.16323604333922692,0.07557880061362154,0.10336483116836126,0.20260475546489476,0.38176102538841106,0.4730393891450142,0.10613350947116806,0.08233198803235409,0.7486852053420745,0.1636840278513958,0.07672222365940407,0.043542867389682605,0.2363007058369625,0.14423935349158223,0.4769478115182463,0.08185200542981264,0.1422214396791518,0.2708506779641725,0.12384035806532356,0.4978312921803293,0.17998593272023422,0.06034458551958799,0.13543311182384965,0.07379795442645087,0.07378502999863967,0.09278188638422924,0.6529893239255,0.10828118803934117,0.11253660601821014,0.13470148926261472,0.11887362614406227,0.0860454195221857,0.12951583229481378,0.4586706516883142,0.5294777694303984,0.18837191546042442,0.7997510032810509,0.45517679743059125,0.08143353325818359,0.34198935704530653,0.47612687110635554,0.05658681979467972,0.7486580024263045,1.0293072357685946,0.09658984784722535,0.07419592643984396,0.11299414919582185,0.3392315036423965,0.07668419843525298,0.2377351154664712,0.4320586208944297,0.9098419569088645,0.08016830183502444
boar,0.06978675444207638,0.09417904047631143,0.08430696545410388,0.06723566612149279,0.07708865822943645,0.06471039395224754,0.17157473406451296,0.20947195855870804,0.07085807437211378,-4.440892098500626e-16,0.7545911634431747,0.39888289443772484,0.06012001368386899,0.08396191544559983,0.3124920423770998,0.2759031976688724,0.08659450712599925,0.06681915752370593,0.053842055775902176,0.14327672923360069,0.2900074970048029,1.246817959002856,0.11524819719298285,0.9410584509368326,0.09057304660202103,0.08158843402301019,0.3671554099958082,0.6847606498936545,0.1440791254009114,0.07733425295268659,0.49040506696835706,0.0695321052504434,0.5993595285757901,0.17408556354163363,0.06605361974516188,0.10391545114430423,0.10343104650850077,0.08932897169297593,0.0712722808323204,0.4513618141255954,0.06790728640665844,0.06238119621837468,0.08280999151482205,0.10148430741052672,0.1308260463811184,0.04823118107861191,0.05716662078560841,0.186024904278016,0.4911111717674518,0.49658058267849015,0.0600870108568452,0.08004704867498147,0.8722890722646486,0.08695886820021193,0.05446842356735648,0.06420236659057366,0.29215956584708214,0.09112672394529742,0.46270041383453764,0.0498136877380807,0.10217621666111298,0.3198680725772092,0.07367926840801808,0.41286392102512237,0.11557726087517428,0.0659275575328424,0.09135828503624255,0.05698670122277194,0.04783315325218307,0.05392931875515705,0.7191669878741882,0.05960071927132926,0.06530061893995442,0.11263358420756409,0.08977895371711309,0.14542783183178087,0.08835872234194642,0.47586884107377847,0.45701623703852945,0.13065374771423288,0.7400414719793486,0.4825335044546347,0.0765162327838389,0.3231001390685936,0.4393268298258649,0.042769102761790245,0.6272490672165836,1.090173386567035,0.07473674724732216,0.06267350229091839,0.11052607010190418,0.36931042923671054,0.0635208532914967,0.19892349480787752,0.3976896066043717,1.0161698601079232,0.0713541814667733
