,aardvark,alpaca,anteater,badger,bat1,beaver,bee,beetle,bison,boar,bug,butterfly,calf1,cardinal,caterpillar,catfish,chick,chihuahua,chipmunk,cobra,cockroach,coral,cow,crab,crow,deer,dolphin,dragonfly,duck,eagle,earwig,elephant,fish,fly,fox,gazelle,goat,goose,gorilla,grasshopper,guinea_pig,hawk,hippopotamus,hummingbird,iguana,kangaroo,koala,ladybug,leech,lightning_bug,lion,llama,maggot,meerkat,mongoose,moose,mosquito,moth,mussel,orangutan,otter,oyster,panther,peacock,penguin,pig,piglet,polar_bear,poodle,possum,praying_mantis,pug,rabbit,racehorse,rat,reindeer,rooster,scallop,sea_urchin,seahorse,shark,shrimp,sloth,snail,spider,squirrel,stingray,swordfish,tarantula,tiger,toucan,turtle,walrus,wasp,whale,worm,zebra
aardvark,5.551115123125783e-16,0.10672138019578603,0.14791028968107733,0.23881129851069127,0.1602805553713723,0.2505915585764982,0.3488100819879898,0.20199566601263064,0.07623149632426374,0.1920088674037146,0.5237300209874871,0.5420437922491066,0.11435723308332046,0.32574823140362097,0.49215033703188293,0.2980807868248023,0.1850508286457856,0.1053608509272893,0.1116115313930307,0.7688473744749903,0.21820861226478439,1.323999588935171,0.1651426850384624,0.4218847363021949,0.17724841060665586,0.11663523740537507,0.3552226986888891,0.5399152119962459,0.19143848622136272,0.3042124988471824,0.2592291566717293,0.11358812166772192,0.944844649781307,0.20813309997700224,0.11576064256903473,0.08555969480584535,0.131223771264819,0.15548195695501588,0.13380026760814367,0.3593204853221621,0.16581658617586492,0.14433433245627436,0.09754009523091067,0.11681626219233476,0.3891742791417707,0.11992088255315791,0.2537979525558882,0.2616488989895538,0.2796660227079123,0.3690168675606831,0.1695638170911674,0.10766200380981794,0.5857216103398344,0.23977851669639838,0.1230819249038434,0.15793824374464416,0.3534277478740411,0.3520066816144656,0.858175031368853,0.1945712184780577,0.30255889833102767,0.5455156083426824,0.17992325722730496,1.0139606340078615,0.34904139416056534,0.0962690729891893,0.11292927738084957,0.1542792825143069,0.14266757664449503,0.15421707426665765,0.41305252914265966,0.1475115444512497,0.31732348295898705,0.16938008270513571,0.2683170104910759,0.18785082243896112,0.15471726064275781,0.3173360009332332,0.9569527108642595,0.37122142328375607,0.31189372268046966,0.8438648720444544,0.38547903956508445,0.2902170751741018,0.5656154540728947,0.18268228694962174,0.660020545634399,0.3430706747810225,0.3082703610698604,0.49334094448450705,0.20642015601872243,0.265571721043796,0.17316096421162708,0.4233662954873594,0.4897112654672988,0.7749864366278612,0.4172632220629128
alpaca,0.10672138019578603,2.220446049250313e-16,0.20788382105571368,0.2767323191539419,0.17940297599997268,0.21408850300272264,0.3827086481587091,0.20622380584022437,0.08155884615912135,0.1645005780914206,0.6105065665913931,0.4703371204676172,0.13571238523650286,0.38904936201288953,0.4821732235805899,0.3486443281408703,0.2080885818382111,0.12792263315304042,0.12902976650121034,0.7515659203293937,0.23332973566411164,1.272393629788327,0.18168988053670831,0.4950599837466243,0.21495505846571183,0.12552827139686584,0.41663791106972936,0.6001881594787302,0.19942443654022746,0.34032771417022134,0.30933209680798635,0.14481766346583858,0.8373807137589557,0.273662718827676,0.12652766737358534,0.13719364502410647,0.12413902471460725,0.15207072112486053,0.1569215143336281,0.3783310612439459,0.17532851965153362,0.1635735908580188,0.10307245410432841,0.16591881266526143,0.34197257222015554,0.1487451006589824,0.24949531283603787,0.3030858723187574,0.338837735957913,0.4784579489536078,0.15744568862480324,0.0792999191917858,0.6280207881997981,0.297570615027846,0.13233885818176216,0.12938101626363308,0.3575149257320469,0.31465042897764584,0.8348950879185971,0.19892970426855483,0.26494135305644584,0.5872392586817072,0.17337271843752866,1.0072538592555906,0.35833880593442224,0.07854861550369852,0.14111029620637894,0.1840570188569436,0.1582437301559121,0.1524444381909308,0.49391737413239045,0.15837116089283454,0.24050031256446724,0.14469186334376394,0.21503200230984976,0.15008286163124174,0.11923368112089794,0.39556847248758453,0.8538972273640449,0.39877051604208613,0.35741823820297214,0.7839050841914394,0.33712330113631384,0.4053534902843158,0.6051728063339602,0.16548209893018417,0.6659950653312865,0.42710680926417666,0.30925408198112114,0.41478405440983146,0.24245109668114762,0.27493522551589433,0.17725213888985492,0.42062074954453066,0.5471323213178292,0.7573895123270551,0.3773629586109035
anteater,0.14791028968107733,0.20788382105571368,3.3306690738754696e-16,0.34426776926878044,0.22430626162691125,0.2315849334506217,0.4205900010762238,0.16436072786329614,0.14276362537837084,0.21713415818182158,0.7398722245982641,0.44357338557042225,0.1276639011704822,0.5293521206434788,0.43361403964295575,0.4920949209445301,0.3679056823554152,0.1664684396563325,0.1571559519187301,0.6463452486239236,0.16132819254893238,1.1255040203346929,0.1341072136467517,0.46286568325333377,0.21430968689749774,0.1672319653940696,0.46145556481604244,0.5338151372745035,0.2409952121472575,0.4342436666579593,0.2892827740551077,0.12006979889827996,0.9451493072074388,0.2856917443835214,0.12672702593215324,0.17343291025791374,0.20976233269869937,0.15404776570238143,0.11606616863452468,0.44360609354077674,0.1477850645080011,0.15297115590266752,0.14308945323053912,0.17626730009989833,0.29653778516367235,0.19324606275854705,0.24654923384790195,0.3161317867111243,0.2592433018309489,0.5200473700584775,0.14448398004319285,0.17018317057129928,0.42813678017286727,0.41238471687991163,0.12014062153622096,0.15524081585619331,0.3114387564121305,0.37107235674397576,0.6707469107870387,0.17684834990371578,0.34004363833238904,0.49712862521674994,0.18723657897822954,0.8342499595052958,0.43902360442499366,0.18536814093486653,0.2256065474963863,0.3305091149824241,0.1218692171743293,0.19384367248941958,0.5185649747819352,0.1573767881948066,0.3208413082418804,0.15976785055528908,0.3548071758751271,0.1917100261396254,0.2255282838263315,0.34074267509652323,0.7224199317629345,0.4876859639557589,0.4158411225906413,0.7510669390831058,0.3141668109761624,0.48346142564805494,0.3915706066359639,0.16335920639883117,0.8980165068763846,0.3710864712026788,0.2316834718277586,0.41628419871209155,0.21556671599372967,0.41502591432068325,0.2286329472276799,0.4695706662320147,0.5125319491379041,0.620649996317937,0.3198735000582035
badger,0.23881129851069127,0.2767323191539419,0.34426776926878044,0.0,0.27676198156019394,0.3565939140754413,0.4408336780033292,0.42033612697860434,0.24245922453471258,0.2677646523260079,0.5624674249277168,0.6619233985853272,0.31925649367770537,0.39744585278450506,0.5603386996844817,0.3599089681805623,0.25336120811168816,0.2610041399369004,0.22905075836761468,0.8595719336384812,0.4166605591612935,1.2983264561857362,0.39275033026778583,0.5063617137389607,0.32919658549486785,0.3530380175035486,0.5400505460548213,0.7506675984303685,0.31128645703535673,0.29197298411864736,0.40516704565349826,0.3445852670997951,0.906001917222891,0.3447843495490215,0.31454854740079075,0.2918528969960622,0.31467961276082335,0.325638444837945,0.2970164994088135,0.5552512621132564,0.3033081300031827,0.32575307707490675,0.3058746045375794,0.2873530623122198,0.5117024032337405,0.2862035700753517,0.31640487159602626,0.4328811499749997,0.39610007229881616,0.48656632146658874,0.32926370370909264,0.2920767621090895,0.8294054325815229,0.2887786391248467,0.3287139202445625,0.33445218578054337,0.53056898570889,0.4253144785370536,0.9818059176569761,0.32901113846514884,0.34104576551314236,0.7139748435277645,0.26025684912178626,1.003688416299936,0.37845073755836034,0.25928222031881987,0.22207394458012664,0.2571641343356138,0.2814211555333319,0.21781844773367165,0.5973436839950054,0.28808278816494404,0.35192339653376514,0.40582015736228905,0.25673224283791096,0.39083589449185974,0.27496799383111914,0.5455280972529788,0.9323897283183986,0.49229599658123924,0.44853492631892133,0.9550966694410078,0.47826306451706624,0.4331372180580303,0.809086816704739,0.2979871636124205,0.5943893008711489,0.5385642301959566,0.4873235058955764,0.6034570604045244,0.38432163833575106,0.3345443214877041,0.29074000675565215,0.5303474515003743,0.4994562241021513,0.8750131313966044,0.6141080625324145
bat1,0.1602805553713723,0.17940297599997268,0.22430626162691125,0.27676198156019394,-2.220446049250313e-16,0.31126781484606025,0.33105909926596533,0.19095156595128537,0.1479524963391844,0.2631837310627628,0.5612415460578422,0.403471550033243,0.1669123771034069,0.4212427448192836,0.4576450924286224,0.3656246715807747,0.3101006627167081,0.172321900294379,0.17676823556857169,0.7163258234375676,0.23481042319909007,1.233667195515797,0.20935155551569162,0.5095942664744636,0.24519518933633166,0.19230152540036705,0.5149205372743275,0.5114591288965857,0.23128713680932245,0.3898936144991093,0.330070847650367,0.17552236429234336,0.8175810710326872,0.25456896804613116,0.15662696608979532,0.20761976194149456,0.20674772531625374,0.20643506593070005,0.18664319950691366,0.40995561232865685,0.17246615598965964,0.1398589967871373,0.15532138226756498,0.15924330549652,0.35498262306034545,0.1799629105103796,0.2640613670021429,0.2400019045025752,0.36618449875606796,0.4422891806231183,0.21004566386212342,0.19734432493648357,0.6054902683410919,0.27856186024266283,0.19286356046626463,0.19654400067241118,0.2941717023753938,0.3030337004725918,0.7682097243833053,0.21217113328243242,0.3090197095269783,0.5278334832200522,0.21161090160084195,0.9275064748980869,0.34276433379213045,0.16291074442733933,0.16855315920804315,0.2768570783337787,0.20265018220504905,0.18611065042544594,0.4278832812609972,0.1764154237780411,0.3155894253795345,0.21051880728066075,0.2488917231163854,0.23273930164280243,0.22218671081608965,0.4204072729334969,0.8100523614208202,0.4124949710802168,0.4447952849445671,0.7833810755001743,0.3598221588478945,0.42131637233394925,0.4881456153047057,0.20678683795670538,0.7609997902184019,0.38713547676015037,0.28814920029870494,0.38714675853270764,0.24602269540298027,0.2650701635165008,0.24166100867279672,0.3744313937635926,0.5268397784272456,0.6922663851123525,0.4052332357621691
beaver,0.2505915585764982,0.21408850300272264,0.2315849334506217,0.3565939140754413,0.31126781484606025,2.220446049250313e-16,0.56106863744762,0.2859100801711947,0.1867870103044409,0.19420474886850625,0.8254926494173368,0.4616133543087212,0.2194388746400029,0.6366851622822391,0.3813193907166532,0.5188806668629589,0.41003651892591586,0.267352979607939,0.1894852374449949,0.631172222418025,0.28706838328681017,0.9785163901139021,0.29434392624452643,0.5232540117659192,0.33092891011236825,0.28485217717407196,0.6024331820935532,0.6014168489664036,0.3701920882634123,0.5064927439160867,0.45178606873574956,0.2497410386287937,0.8425031090936819,0.44607099952701956,0.23135117551018125,0.3310120993345913,0.3031582381426021,0.22494776835739816,0.19195380435640785,0.5479833935593752,0.18052584156641727,0.24090251541831653,0.24022098631197286,0.3064739158910932,0.2902191389902061,0.3029171970953406,0.25995939372008914,0.4581667161814509,0.3705279571634502,0.7202605750445521,0.2035080722201228,0.23428533936931517,0.6007662034895747,0.5141287771443062,0.20587892236701155,0.21484866262195224,0.4358710290953939,0.3008422165394191,0.6523634058871108,0.20851595954570623,0.2707453973031919,0.606299874059832,0.21521474795336415,0.8671408329881352,0.5901685336883766,0.26186141360005244,0.31149011301914364,0.4265248439115569,0.2180070739410651,0.18380312013307476,0.7275136769586366,0.24209138212351355,0.2563166114126313,0.2509570864891736,0.33124254487674853,0.30649117594278197,0.2398967102306847,0.48855749620255184,0.5842062358441871,0.6113869908792864,0.4556615446903546,0.8219226031255242,0.27315768839556953,0.6017261532006213,0.537005617037492,0.181392427673693,0.8693714753232809,0.5939925466969485,0.29361740548660076,0.33127401860591377,0.397613527773232,0.4566187870435944,0.19703402355629984,0.5704611552119222,0.615211171057616,0.6118526156706103,0.31609985231763926
bee,0.3488100819879898,0.3827086481587091,0.4205900010762238,0.4408336780033292,0.33105909926596533,0.56106863744762,0.0,0.3195197296083232,0.3597444016502148,0.5145457228975949,0.3850460158871346,0.5075892465672481,0.3496618353012175,0.28391760723014636,0.531364660009566,0.34146615200147235,0.2778915151058061,0.29051343744996494,0.3633858683181894,1.0088298408084446,0.3686787565607603,1.3706724471961922,0.2928333035234233,0.38602410360893213,0.3952111080716406,0.32255575266846204,0.42428344427960585,0.551540867638327,0.3565087476091354,0.3837618874680512,0.23521196013770906,0.3966484255030581,0.9619705796022866,0.2025488282415835,0.3185988796706797,0.28788986036842545,0.37675594739854534,0.3636695154913444,0.447792451766725,0.31267082334025764,0.4224911996672708,0.3606957470762693,0.36336662229807415,0.2894305511443255,0.6447264439284881,0.24982896995282267,0.5020771110691613,0.18863077580248833,0.48221255048865075,0.3035477709112243,0.3879020405159944,0.3732546029856789,0.6589427655640231,0.3509638748314353,0.40156666373646177,0.38958259582832466,0.32158285722750013,0.5119850309508464,0.904927978946287,0.4529175483511273,0.4897284054846639,0.5341686809095938,0.42645689200124015,1.0597317812906628,0.3655761912332959,0.32958631472064603,0.33525915123968275,0.3952910924584697,0.3969716443668637,0.4525503140785704,0.34404025820645856,0.3492317378901576,0.5775535254928761,0.3466329004061307,0.410435150332901,0.3635891042173378,0.40022435724474736,0.3449474152436016,1.1361089875248958,0.4458218425814592,0.3641847531112078,0.7541466981547124,0.6473924115574936,0.3645171460118538,0.7044409560540363,0.45585934214753243,0.5929679984350987,0.4283878335808894,0.43176616001113455,0.7060842601661252,0.32314023935648073,0.33486320412171466,0.4544321560892429,0.24070025884334434,0.5587188703887292,0.8828110324025367,0.6859331248553963
beetle,0.20199566601263064,0.20622380584022437,0.16436072786329614,0.42033612697860434,0.19095156595128537,0.2859100801711947,0.3195197296083232,1.1102230246251565e-16,0.17743614974174193,0.29103742373102015,0.5493766264858518,0.319563659428691,0.149563416273516,0.4073813054472908,0.37592345535737437,0.3888635317770798,0.35523699533659214,0.214319010228899,0.2002300086898645,0.7440154238722245,0.08136307244856755,1.20954305210366,0.10647440549148035,0.4125292343944217,0.1997205325617033,0.1564639229613991,0.4132153866120324,0.39847236813805975,0.19990158719182238,0.40803853067555984,0.19360982677474758,0.15336319889802652,0.8902795239725942,0.18039746509933996,0.16353467940086097,0.15856610653140246,0.2189968262922436,0.1444746447380827,0.18461553346317972,0.2949447690643703,0.19320401275429688,0.12120129338396679,0.13188721669701142,0.12812789043866157,0.298865956579923,0.17754601480178367,0.33993299833781243,0.17412809291263387,0.3264752013657112,0.4010712787460864,0.18276197135405237,0.17810949320857516,0.4602272826562299,0.3880292945562063,0.15305581547244396,0.15370453653329819,0.15584803205846143,0.32489662997901925,0.6642171286251541,0.20859083650970822,0.36415348365058053,0.45161001370487597,0.22158528405059175,0.9102579838851875,0.3932997939487728,0.19773190392203743,0.2441677180579247,0.3747560910095381,0.1743196991481628,0.26122397662949715,0.3309878496795574,0.16741089879139792,0.43840606532661,0.10903198258770064,0.40518213857912355,0.15837213387286353,0.24264285213143888,0.3255696056498316,0.7737733805567435,0.39173301397654614,0.33346986878589435,0.7688325193091292,0.41216853642302365,0.41308296332350114,0.32987531169732565,0.22241028507803784,0.7888339694570249,0.25757477074739354,0.2149595560707609,0.4269975239159568,0.16498351212371387,0.31132746172050363,0.24283892732992118,0.3078421362568674,0.520532871008839,0.6407149798019157,0.3202996225628555
bison,0.07623149632426374,0.08155884615912135,0.14276362537837084,0.24245922453471258,0.1479524963391844,0.1867870103044409,0.3597444016502148,0.17743614974174193,2.220446049250313e-16,0.12612475288551295,0.5958377938682861,0.44404072410910855,0.10021243665338087,0.3986556012246858,0.44254101382748423,0.3716029456009293,0.22569241132508733,0.10240869720044632,0.09340173341881397,0.711309250099627,0.19629354033708435,1.2033071693543302,0.14373201415448777,0.46507924876181106,0.1704128361120838,0.12360587111477261,0.42963863152035275,0.5584010324772932,0.19967516398327656,0.3257009504995174,0.29222552485916986,0.10446937793974764,0.8917480602329914,0.2465717367532424,0.0898339404364239,0.12341487795562234,0.12948890917009037,0.1402808823145808,0.12471287980329027,0.39737232350666807,0.12623704886344056,0.1141750442334919,0.08248854051300591,0.12127716508863029,0.2965798812681898,0.11294318671400683,0.22699094664946762,0.2675109074229144,0.30104607602625044,0.4674192780638965,0.12550426022002648,0.10574897483746237,0.5775700837246882,0.2809286104556916,0.11657313000264424,0.10673471841215587,0.34433737443487644,0.26646727672270987,0.7839772100215615,0.1606300573928341,0.24891661596836268,0.5505816722765493,0.15274983626126548,0.9649450644445545,0.3424979559932655,0.07474883489803019,0.1257632683514457,0.20303661443318943,0.09621257772599312,0.1085139047418805,0.46881105681798985,0.12568821904363792,0.26139992134777046,0.13653473575432362,0.22350866824447235,0.17142148111387978,0.1251763299489841,0.35290781023111795,0.8322171473498181,0.41839026341160823,0.3725042878031334,0.7919589022783451,0.31165533833868797,0.39677829041025336,0.5506907924349562,0.11739293350018243,0.7419530740048915,0.4010025372669236,0.2537923756940733,0.38608568434230783,0.23848299985885335,0.2924054100214927,0.1131863263630547,0.39598331416348653,0.4987528117507952,0.6940581903836511,0.37354113612725937
boar,0.1920088674037146,0.1645005780914206,0.21713415818182158,0.2677646523260079,0.2631837310627628,0.19420474886850625,0.5145457228975949,0.29103742373102015,0.12612475288551295,-4.440892098500626e-16,0.7397644939264858,0.5352685434299345,0.17887054083203568,0.5442466217318271,0.4903931367341383,0.5072927082259531,0.35681213430451497,0.23471037167955522,0.16126225617131706,0.7062189163489286,0.31921020874316275,1.0604141102043243,0.25272954869627795,0.5378330742733084,0.2689096062620365,0.22705981825464505,0.5763865392645684,0.7087024528426202,0.3139721823985945,0.39490515434312323,0.44273267583417764,0.21262325179458508,0.9134119412955146,0.40783905866334624,0.19503224155009535,0.26395013939509193,0.22990866774645902,0.2277294042090826,0.19353567437920416,0.5800204223396166,0.2075455646871096,0.2176048540505392,0.19340048842405666,0.27756215854941135,0.2938045201918805,0.24591616975790653,0.25167090412885273,0.459842874349202,0.4025029014888373,0.6816200712702958,0.220745084761233,0.18080335227258248,0.6789408780938156,0.38462431302443,0.17736396335369053,0.1660757231913048,0.4477767034718724,0.2880798898060313,0.7968972709085791,0.22198728826510383,0.27214267533795733,0.6629547689991384,0.20819916675168326,0.8758839560006813,0.4144439200947946,0.18139110455733076,0.22935901248175972,0.2915580063257016,0.1648517990142072,0.17911922989368523,0.6855491961925305,0.20057214712885552,0.23084603139935123,0.2515446864188027,0.2790102046648849,0.2511032301225832,0.21423817029647274,0.5456745617577334,0.7681187986597999,0.5534129718009532,0.5041894884483772,0.8021545850422566,0.3078880065870808,0.5820054830178122,0.6141281029988994,0.13748207142893742,0.8451246469437786,0.5774614342718158,0.3190863450128967,0.3515428063065369,0.3808904285891578,0.4363839001507883,0.19071526465479027,0.5417481324305793,0.5455755219871067,0.6439048767738662,0.34067044203849706
