,animal,body part,clothing,clothing accessory,container,dessert,drink,electronic device,food,furniture,home decor,kitchen appliance,kitchen tool,medical equipment,musical instrument,office supply,part of car,plant,sports equipment,tool,toy,vehicle,weapon
animal,2.220446049250313e-16,0.18916494014096707,0.2226108943930909,0.2379901334885176,0.2012405277803655,0.25501899164485964,0.23873691546613018,0.24624315855529644,0.1824900845278472,0.27418275925434543,0.18705605634552902,0.2958866656466106,0.2300826708991851,0.2098361859279554,0.25331341595637713,0.22855111308151121,0.24723566951649922,0.13001007673155318,0.20018835270623725,0.19983171023628554,0.16564189324498158,0.1831066305616179,0.1831956391812164
body part,0.18916494014096707,-2.220446049250313e-16,0.11015896840714778,0.12975044337191521,0.1386803841151667,0.2224446971008084,0.20571219564067011,0.17031351083437674,0.17462699210094967,0.18675624148129433,0.1501936255868035,0.2348774487522104,0.15605110279955448,0.08910313180226903,0.19333259565929417,0.1308534467201563,0.17100586100391713,0.16313426628910854,0.13179650567040457,0.12774305920502071,0.1200555499863285,0.21817439314991915,0.176370594210148
clothing,0.2226108943930909,0.11015896840714778,0.0,0.049478045205540666,0.09268961950728483,0.20148265932664766,0.19829133684868783,0.14359576696863152,0.19027392001698484,0.1116784476395214,0.09051932642677762,0.2085879198542474,0.12428261773173854,0.11411085225955364,0.14094141143958372,0.11916212701267492,0.15406059294333607,0.17940649111585327,0.11415826202397805,0.11667948628891112,0.08399105001722151,0.18492727281172505,0.1656446780341766
clothing accessory,0.2379901334885176,0.12975044337191521,0.049478045205540666,0.0,0.08183455096738701,0.2009395001120894,0.19126347207495364,0.13101596217082034,0.18469077295109904,0.12285520757521728,0.07718635154455367,0.19887218925459027,0.0918461013113333,0.09827426219260393,0.1295096716415367,0.07640026287950274,0.1364285536345088,0.173643031583659,0.11149145350227474,0.08842764513224599,0.07879199046605134,0.2015933202276442,0.1563979470715643
container,0.2012405277803655,0.1386803841151667,0.09268961950728483,0.08183455096738701,0.0,0.17129957850508004,0.14119949864904813,0.0647096873688926,0.13556157405999192,0.06386181168586069,0.052457763101667054,0.1005175393038168,0.051129557880846166,0.06890796722475279,0.11097079282874933,0.058874801297986945,0.11290668110902502,0.13211196682836024,0.09247625746440358,0.05709948877583737,0.06296811031300742,0.143923278089235,0.12107751420117274
dessert,0.25501899164485964,0.2224446971008084,0.20148265932664766,0.2009395001120894,0.17129957850508004,-2.220446049250313e-16,0.09425524540946306,0.22999300954620205,0.05764605347272311,0.23300309267567587,0.17250750819361915,0.23325231330039053,0.16576761298141462,0.22747201639203518,0.26516774527304443,0.20853089143131776,0.2707261709567743,0.20227190380667626,0.23136514506833927,0.21737040345387226,0.1877464402321295,0.2825338953066936,0.28398137489968456
drink,0.23873691546613018,0.20571219564067011,0.19829133684868783,0.19126347207495364,0.14119949864904813,0.09425524540946306,-2.220446049250313e-16,0.206442870740297,0.08986594459808339,0.22258074112121873,0.15685956996440753,0.21214637444095197,0.16636688187791004,0.19939673122935675,0.2505042582393193,0.19141180399420699,0.24308477983168286,0.16974616658352892,0.19749142660451213,0.20040635820335706,0.17599317126754122,0.23112483126074146,0.2582807126016371
electronic device,0.24624315855529644,0.17031351083437674,0.14359576696863152,0.13101596217082034,0.0647096873688926,0.22999300954620205,0.206442870740297,2.220446049250313e-16,0.19565587995324896,0.10354937421840182,0.12127275017419081,0.09045661829367535,0.09056366588194209,0.08798462354957992,0.12477452289543378,0.08094163689109768,0.09920065143380907,0.20067068456448212,0.10360378349164923,0.08138529160329655,0.09529701961260573,0.14184587814135408,0.13360247955717186
food,0.1824900845278472,0.17462699210094967,0.19027392001698484,0.18469077295109904,0.13556157405999192,0.05764605347272311,0.08986594459808339,0.19565587995324896,2.220446049250313e-16,0.219172261524901,0.1449342240961582,0.20180700940704088,0.12546895060446928,0.17726981781237716,0.23113876127611788,0.1715089579899859,0.23105745711666814,0.12171337491991863,0.188387641209248,0.1619772778398786,0.16076228516629243,0.23566928572524493,0.2195663645613275
furniture,0.27418275925434543,0.18675624148129433,0.1116784476395214,0.12285520757521728,0.06386181168586069,0.23300309267567587,0.22258074112121873,0.10354937421840182,0.219172261524901,1.1102230246251565e-16,0.07805294264537688,0.12654157676070965,0.1179283882484381,0.12822571576229524,0.15812247357030407,0.12263868313759618,0.1525828171450403,0.19453720762696647,0.1447738981057436,0.11454352810495505,0.12044019904743775,0.1904347834338822,0.19804233506341307
