,animal,body part,clothing,clothing accessory,container,dessert,drink,electronic device,food,furniture,home decor,kitchen appliance,kitchen tool,medical equipment,musical instrument,office supply,part of car,plant,sports equipment,tool,toy,vehicle,weapon
animal,0.0,0.21664341410923327,0.16827272202314048,1.010895762391162,1.5919669048727667,0.6415924355660105,1.2480564137912933,1.6662564795750239,1.1176807776255036,1.7801769079827006,1.0476855575135142,1.6046178403291775,1.3190330060136786,1.000826562655901,1.524101968737559,1.8082117149120223,1.767651916018666,1.5632514829350959,1.5448536844728573,1.6602198992363983,0.16762428152046005,1.4667637286920423,1.5466499913931864
body part,0.21664341410923327,0.0,0.22130397801956536,0.9839892312473235,1.3845676716602984,0.675409980436571,0.9852571507666491,1.5722214628511937,1.1197292168218427,1.761153836932721,1.352034062609011,1.6880425634387295,1.1223415379938595,0.8049925221216571,1.4592503616270411,1.5733788696359232,1.5811590465647476,1.7415940682506252,1.5720287804502076,1.5824403040035315,0.348433149156853,1.7835828468502628,1.6307106715240836
clothing,0.16827272202314048,0.22130397801956536,0.0,0.8900070691253268,1.3540080581234628,0.7171629882883102,1.1842043909785518,1.4788840497244176,1.16690211874204,1.67855146473601,1.010395309059311,1.5531582041806609,1.1060815756435212,0.7550109094348599,1.317021963137944,1.648626904021125,1.6519716900738133,1.6122484254531706,1.4230902249830373,1.5152407504978793,0.19197800647545393,1.514204472386991,1.5235377028404198
clothing accessory,1.010895762391162,0.9839892312473235,0.8900070691253268,0.0,0.6612638560079303,0.8772847142421909,0.8090102240437689,0.6697335294610369,0.9204874903953415,0.8396224883349644,0.8167445422312997,0.9168395229949048,0.5072287614115175,0.6360520137130314,0.6085480250332567,0.6784109918038987,0.6682589024672434,1.0448893193925213,0.5595440910850261,0.6916913206645197,0.8069057535620398,0.8820916733786703,0.7521763620495587
container,1.5919669048727667,1.3845676716602984,1.3540080581234628,0.6612638560079303,0.0,0.9852595450856653,0.5782194108147918,0.19459178192365234,0.8125470846208891,0.38038911689627375,0.664345058485067,0.42028069783171185,0.5147243964647487,0.6818889888897485,0.3154896945408514,0.31859754754808756,0.2588527331313005,0.6313981998470006,0.30636930751871605,0.458133731107643,1.338391110795099,0.5963784977373372,0.5199143195590272
dessert,0.6415924355660105,0.675409980436571,0.7171629882883102,0.8772847142421909,0.9852595450856653,0.0,0.4569628186087624,1.0925353543709597,0.20933329647744914,1.3785963540458217,0.7033596670169144,1.1661013571472303,1.2895738168815996,1.350703417672987,1.1769677764131161,1.4125443133546631,1.165438541313739,0.8508844471720655,0.992994911257178,1.3321194825019091,0.5478811330355697,1.2010066013630154,1.3204818122012256
drink,1.2480564137912933,0.9852571507666491,1.1842043909785518,0.8090102240437689,0.5782194108147918,0.4569628186087624,0.0,0.7451248481634535,0.39993144873436726,0.9567754734298058,0.9289669003449015,0.8952501163735741,0.9531367806030075,1.1243843703903833,0.9326088623656323,0.8274046705377223,0.6943687521564987,0.7915049880750791,0.7347748623011463,0.9320850435506752,1.04774327162367,1.17253160605156,1.10173746350136
electronic device,1.6662564795750239,1.5722214628511937,1.4788840497244176,0.6697335294610369,0.19459178192365234,1.0925353543709597,0.7451248481634535,0.0,0.8867234910522628,0.33679508316123463,0.554465905212712,0.26421011470595435,0.5969343006696245,0.7780574217959589,0.24833391101955626,0.30035536554476927,0.17864501703425606,0.5455002811061112,0.20988559927408412,0.4407739397053748,1.3466638589046729,0.3691525230166137,0.42099567928267956
food,1.1176807776255036,1.1197292168218427,1.16690211874204,0.9204874903953415,0.8125470846208891,0.20933329647744914,0.39993144873436726,0.8867234910522628,0.0,0.9589575297415429,0.6529086450666999,0.9036195208363998,1.2044720663603385,1.4641408917255017,0.9485670809287542,1.0686090171021865,0.8379515435316367,0.45384360252217004,0.758285498088888,0.9872822149664072,0.9598491625179235,0.9324060291156264,0.9971221623639216
furniture,1.7801769079827006,1.761153836932721,1.67855146473601,0.8396224883349644,0.38038911689627375,1.3785963540458217,0.9567754734298058,0.33679508316123463,0.9589575297415429,0.0,0.7723307195484064,0.3729256549017731,0.495117422171822,0.7541743196354336,0.3530712336248326,0.1833854038010171,0.2950059677448449,0.46807182511813195,0.33661246229603325,0.18724415880846457,1.6367961399203805,0.3517639467760597,0.18403254979138517
