,badger,barnacle,bat1,cardinal,cat,cheetah,chicken_wire,cockroach,duckling,ferret,flamingo,fox,giraffe,guinea_pig,oyster,rabbit,scallop,seahorse,snail,squid,tiger,walrus,worm
badger,0.0,1.122033364726412,0.31714449692708124,0.4066924588476214,0.354360630554719,0.7621875805019707,1.6414602548401898,0.4951375658270888,0.3365378971289962,0.28682322619628076,0.5031803277938299,0.3525261009680537,0.5331864764174068,0.3120157118731711,0.8638987481092639,0.41781151273588024,0.6535291485866024,0.5515725685075934,0.4389496587367746,0.4348405084187159,0.7822290923360622,0.3368963040772698,1.1238431961984598
barnacle,1.122033364726412,0.0,1.1904173460627197,1.5019525871397232,0.9665996885071455,0.5885915226846674,0.8446998039945991,1.232162251550287,0.9012103870785985,1.0225260853374032,1.365718053730513,1.0353911944911365,1.059284433855449,1.0803398351887552,0.6639195054046203,0.9388865776432573,0.8773298766960187,1.4372626395460475,1.402169562822452,1.0467708477331643,0.7790062770429034,1.0181702020679455,0.612374066200667
bat1,0.31714449692708124,1.1904173460627197,0.0,0.3826258999603519,0.2889866795335042,0.7959880727384646,1.573729435525875,0.4030477869660626,0.35444036980210636,0.31384225579723335,0.412200570060531,0.25976701192568663,0.5175119641499276,0.2904676577383527,0.7492072002478519,0.4988516509012251,0.5852458893646794,0.4690373371850586,0.36847062923227203,0.5071355789748545,0.6765373302717579,0.37838659689926346,1.0966504137968702
cardinal,0.4066924588476214,1.5019525871397232,0.3826258999603519,0.0,0.4881078426808406,1.0999936744401535,1.6525807408047937,0.3091544598584699,0.5902049043957149,0.5212316446553031,0.18185174207972132,0.41126167540124337,0.614681502143232,0.4738137481424257,0.8847187507948099,0.8034905321008248,0.5115258368311626,0.30848775307517706,0.19036073663134223,0.4221193517255538,1.0694264907261892,0.49810792711913743,1.3127446656867436
cat,0.354360630554719,0.9665996885071455,0.2889866795335042,0.4881078426808406,0.0,0.6581965925116839,1.6258689998134317,0.39420831052562977,0.22060240841841583,0.20637084289989704,0.44513724997129045,0.14572620021805416,0.46410487785461185,0.1979747386393773,0.6173680129992747,0.361736868905718,0.4675267443180715,0.6203458534334072,0.44169049579740316,0.460860097561513,0.6907786966890206,0.34106741604253743,1.1083951963947425
cheetah,0.7621875805019707,0.5885915226846674,0.7959880727384646,1.0999936744401535,0.6581965925116839,0.0,1.0799507402336768,0.9441974727478675,0.5791514512489034,0.6749833981601208,0.9561823395191394,0.6456325071424791,0.6520627831407905,0.708718228872608,0.8584085172962215,0.4977970296029679,0.9243162721179458,1.1442836295308423,1.1003757858725514,0.844404167332693,0.39148018425807485,0.6506278801787735,0.6513759794041506
chicken_wire,1.6414602548401898,0.8446998039945991,1.573729435525875,1.6525807408047937,1.6258689998134317,1.0799507402336768,0.0,1.490574065353269,1.6004356747943889,1.6227406299471,1.5984005928161147,1.7195209609776745,1.337781268696473,1.626807018600656,1.2084748806797574,1.328080641296299,1.559566509522476,1.4737714657913434,1.7159775543459155,1.6052724265427307,1.0069572773698725,1.5747179596603251,0.6852166026182432
cockroach,0.4951375658270888,1.232162251550287,0.4030477869660626,0.3091544598584699,0.39420831052562977,0.9441974727478675,1.490574065353269,0.0,0.46013618961496094,0.49183094498269997,0.2531960392939272,0.36824483371534145,0.47133382612040453,0.38864453431540513,0.8161130321883175,0.7849387323727297,0.5045859600655951,0.4346074607433068,0.30176063988407076,0.5541285329407835,0.988602507058525,0.45288393425632145,1.1742758183863615
duckling,0.3365378971289962,0.9012103870785985,0.35444036980210636,0.5902049043957149,0.22060240841841583,0.5791514512489034,1.6004356747943889,0.46013618961496094,0.0,0.20018354639111535,0.49310312156090996,0.21458024956622612,0.4922204669796876,0.21437966975318234,0.6370393203783905,0.3049319172560222,0.4772551271188309,0.7570889497922773,0.5078939475102711,0.4718294362886627,0.6380438327641738,0.2991175511368779,1.0004143601838507
ferret,0.28682322619628076,1.0225260853374032,0.31384225579723335,0.5212316446553031,0.20637084289989704,0.6749833981601208,1.6227406299471,0.49183094498269997,0.20018354639111535,0.0,0.46269848854267803,0.20788224794278787,0.4975860972037828,0.1931411834597484,0.6618714113995198,0.3206761397662179,0.49473679868206033,0.6197201688903329,0.435371880311645,0.45743544196805463,0.6621049501602139,0.28187824048628907,1.0669362369185955
flamingo,0.5031803277938299,1.365718053730513,0.412200570060531,0.18185174207972132,0.44513724997129045,0.9561823395191394,1.5984005928161147,0.2531960392939272,0.49310312156090996,0.46269848854267803,0.0,0.3423921949607075,0.5403216995130122,0.4460856790068455,0.7878270368145052,0.7343965469514435,0.45201833677552083,0.3385565518626764,0.26537844472594596,0.43289671695197796,0.9810766679154201,0.4951472480662651,1.242401745977478
fox,0.3525261009680537,1.0353911944911365,0.25976701192568663,0.41126167540124337,0.14572620021805416,0.6456325071424791,1.7195209609776745,0.36824483371534145,0.21458024956622612,0.20788224794278787,0.3423921949607075,0.0,0.4440747789259426,0.20856560640257493,0.6480664951724617,0.4136048424365525,0.3787657145286869,0.5529093326473438,0.36570259436356733,0.38436295529580145,0.6945030779077229,0.3140897386034094,1.0454064770055824
giraffe,0.5331864764174068,1.059284433855449,0.5175119641499276,0.614681502143232,0.46410487785461185,0.6520627831407905,1.337781268696473,0.47133382612040453,0.4922204669796876,0.4975860972037828,0.5403216995130122,0.4440747789259426,0.0,0.5006140880642056,0.9022158914774043,0.5610731342300834,0.8121186614179303,0.643915549799084,0.6336957212589711,0.6832325344210233,0.6805617968038139,0.4692125850238036,0.9877849605872968
guinea_pig,0.3120157118731711,1.0803398351887552,0.2904676577383527,0.4738137481424257,0.1979747386393773,0.708718228872608,1.626807018600656,0.38864453431540513,0.21437966975318234,0.1931411834597484,0.4460856790068455,0.20856560640257493,0.5006140880642056,0.0,0.7382522275844616,0.3833107508203867,0.5246422968556519,0.653746404920251,0.4264694580286469,0.5275317541936964,0.6431973873123027,0.2593339726223318,1.0883392857134726
oyster,0.8638987481092639,0.6639195054046203,0.7492072002478519,0.8847187507948099,0.6173680129992747,0.8584085172962215,1.2084748806797574,0.8161130321883175,0.6370393203783905,0.6618714113995198,0.7878270368145052,0.6480664951724617,0.9022158914774043,0.7382522275844616,0.0,0.8718243369244774,0.4579762517908168,0.8609430242489511,0.781619267903342,0.7110787949417672,0.8063393742827412,0.7926144925451164,0.8987963662082679
rabbit,0.41781151273588024,0.9388865776432573,0.4988516509012251,0.8034905321008248,0.361736868905718,0.4977970296029679,1.328080641296299,0.7849387323727297,0.3049319172560222,0.3206761397662179,0.7343965469514435,0.4136048424365525,0.5610731342300834,0.3833107508203867,0.8718243369244774,0.0,0.8135194720670191,0.922523053835072,0.8352146661286816,0.6371861285042959,0.4951601327515577,0.43987222707269047,0.9165625355965639
scallop,0.6535291485866024,0.8773298766960187,0.5852458893646794,0.5115258368311626,0.4675267443180715,0.9243162721179458,1.559566509522476,0.5045859600655951,0.4772551271188309,0.49473679868206033,0.45201833677552083,0.3787657145286869,0.8121186614179303,0.5246422968556519,0.4579762517908168,0.8135194720670191,0.0,0.677168426519167,0.39582560911702525,0.39318466208982616,0.9765242497382073,0.6081774338015384,0.9898729906770608
seahorse,0.5515725685075934,1.4372626395460475,0.4690373371850586,0.30848775307517706,0.6203458534334072,1.1442836295308423,1.4737714657913434,0.4346074607433068,0.7570889497922773,0.6197201688903329,0.3385565518626764,0.5529093326473438,0.643915549799084,0.653746404920251,0.8609430242489511,0.922523053835072,0.677168426519167,0.0,0.3330687096971363,0.5582873778417403,1.0860493052843943,0.6231973640207387,1.3752204381063304
snail,0.4389496587367746,1.402169562822452,0.36847062923227203,0.19036073663134223,0.44169049579740316,1.1003757858725514,1.7159775543459155,0.30176063988407076,0.5078939475102711,0.435371880311645,0.26537844472594596,0.36570259436356733,0.6336957212589711,0.4264694580286469,0.781619267903342,0.8352146661286816,0.39582560911702525,0.3330687096971363,0.0,0.39119536489621876,1.1180773154675243,0.4403143714987535,1.292334202833282
squid,0.4348405084187159,1.0467708477331643,0.5071355789748545,0.4221193517255538,0.460860097561513,0.844404167332693,1.6052724265427307,0.5541285329407835,0.4718294362886627,0.45743544196805463,0.43289671695197796,0.38436295529580145,0.6832325344210233,0.5275317541936964,0.7110787949417672,0.6371861285042959,0.39318466208982616,0.5582873778417403,0.39119536489621876,0.0,0.9488330735686793,0.4857576180311888,1.0388780783604592
tiger,0.7822290923360622,0.7790062770429034,0.6765373302717579,1.0694264907261892,0.6907786966890206,0.39148018425807485,1.0069572773698725,0.988602507058525,0.6380438327641738,0.6621049501602139,0.9810766679154201,0.6945030779077229,0.6805617968038139,0.6431973873123027,0.8063393742827412,0.4951601327515577,0.9765242497382073,1.0860493052843943,1.1180773154675243,0.9488330735686793,0.0,0.657832960455015,0.7057582548877117
walrus,0.3368963040772698,1.0181702020679455,0.37838659689926346,0.49810792711913743,0.34106741604253743,0.6506278801787735,1.5747179596603251,0.45288393425632145,0.2991175511368779,0.28187824048628907,0.4951472480662651,0.3140897386034094,0.4692125850238036,0.2593339726223318,0.7926144925451164,0.43987222707269047,0.6081774338015384,0.6231973640207387,0.4403143714987535,0.4857576180311888,0.657832960455015,0.0,1.1020333250849184
worm,1.1238431961984598,0.612374066200667,1.0966504137968702,1.3127446656867436,1.1083951963947425,0.6513759794041506,0.6852166026182432,1.1742758183863615,1.0004143601838507,1.0669362369185955,1.242401745977478,1.0454064770055824,0.9877849605872968,1.0883392857134726,0.8987963662082679,0.9165625355965639,0.9898729906770608,1.3752204381063304,1.292334202833282,1.0388780783604592,0.7057582548877117,1.1020333250849184,0.0
