,animal,body part,clothing,clothing accessory,container,dessert,drink,electronic device,food,furniture,home decor,kitchen appliance,kitchen tool,medical equipment,musical instrument,office supply,part of car,plant,sports equipment,tool,toy,vehicle,weapon
animal,0.0,0.25226524261311156,0.6750572455439728,0.5621808590005644,1.2462762896244106,0.4608815944537332,0.7370710556595756,1.5001429199739225,0.7424053943663645,1.403031315591822,1.5080571571467516,1.3895567154294055,0.6072785991506324,0.6851057158901626,1.4235242066728366,0.8902300489969246,1.5378390927310792,1.4974496771917656,1.0862459841898178,0.7500301343922248,0.4850266735269624,1.3702858002647982,0.7466750553904724
body part,0.25226524261311156,0.0,0.7078414726691986,0.7022568135962016,1.0296351319391137,0.5559630127133048,0.5673010895686486,1.4363285555622298,0.9312447004171935,1.3173001573603837,1.7604310432926642,1.4229753718082474,0.5021911603477652,0.4383231639981585,1.5378308822067353,0.5945498395350524,1.5272265167345145,1.764290174289453,1.1743213485940194,0.7498325419399992,0.7857715761827235,1.6592208470601202,0.8440156280249013
clothing,0.6750572455439728,0.7078414726691986,0.0,0.8031921471565182,0.7894879944759341,1.1882587667290703,0.8549919542831916,1.123468421270208,1.2676061407988497,1.216800340623878,1.028759843606498,1.1387779823363473,0.8625906094038998,0.780150515681698,0.9927686108185988,1.0131271483662032,1.2341436232752372,1.1789774814961989,0.9805391231204438,1.0335980897956014,0.7968961547926571,1.2714550102776125,1.194291485106592
clothing accessory,0.5621808590005644,0.7022568135962016,0.8031921471565182,0.0,0.8980272546668886,0.7632061015543536,0.7792450600307224,0.8225640620843292,0.8505875038112831,0.9035388145723096,1.1667843567962286,1.0478296190210132,0.3002067384992464,0.43188585958802483,0.6599495922872756,0.5826865849567205,0.8433813699206381,1.3208090401834747,0.3626036890703286,0.2771574187489946,0.33626033832097135,0.8117879796271862,0.32743298085847483
container,1.2462762896244106,1.0296351319391137,0.7894879944759341,0.8980272546668886,0.0,1.1074393059228334,0.5445168450043643,0.38426156691430946,1.2300282402248,0.4253745527858409,0.9238501495409897,0.5103914469308861,0.7838048075963358,0.6535779461245741,0.6128699907147221,0.6027843251088263,0.611426685870323,1.0916870390497817,0.5959924187190264,0.897241736071599,1.034969190918708,0.7521334622277933,0.9019086242970459
dessert,0.4608815944537332,0.5559630127133048,1.1882587667290703,0.7632061015543536,1.1074393059228334,0.0,0.5583722156226532,1.2875801728526688,0.1948540090326032,1.1881725563236571,1.3110604234425622,1.144949215505281,0.9127794609206686,0.986513442662444,1.3563431226287,1.0121161535943137,1.282719088884141,1.1551985378304728,1.1105303705877982,0.9238816631527684,0.5885803601689477,1.1859130420501869,0.7691242968584378
drink,0.7370710556595756,0.5673010895686486,0.8549919542831916,0.7792450600307224,0.5445168450043643,0.5583722156226532,0.0,0.969446131116865,0.7486280747631441,0.8739963792035311,1.393022017271486,0.8562030652579511,0.7170047885476856,0.6460281963622836,1.1023605291485394,0.6422956727605263,1.0294083540546635,1.4241229739508725,0.8430666426234097,0.8914508541981911,0.6358162663152801,1.2456132251862868,0.9568653121588488
electronic device,1.5001429199739225,1.4363285555622298,1.123468421270208,0.8225640620843292,0.38426156691430946,1.2875801728526688,0.969446131116865,0.0,1.2352827600939131,0.26951995512041715,0.6164298160632777,0.28552460580279615,0.8108821106605338,0.7708681209360133,0.2900499297545901,0.6473856239684028,0.20695741250941857,0.8747902413894222,0.3293237373775121,0.7359025508397742,0.968102181853181,0.2799362884141222,0.6627921339603331
food,0.7424053943663645,0.9312447004171935,1.2676061407988497,0.8505875038112831,1.2300282402248,0.1948540090326032,0.7486280747631441,1.2352827600939131,0.0,1.179985813603316,0.9338407195113815,1.0456399238598255,1.1420195587990052,1.2912515958488315,1.1053250721719925,1.2933567052384536,1.038669479743943,0.7415262882865565,1.0798376076621576,0.9860499452685342,0.5502977485413272,0.9473907085116712,0.8152293090882359
furniture,1.403031315591822,1.3173001573603837,1.216800340623878,0.9035388145723096,0.4253745527858409,1.1881725563236571,0.8739963792035311,0.26951995512041715,1.179985813603316,0.0,0.8324339185515742,0.43875220856884267,0.7301349250308021,0.6715077739516764,0.3956466916604886,0.5867829046997547,0.45217298734232514,1.0010274445164742,0.4329112410023115,0.6177979487310139,0.9354075508972448,0.38347621921418884,0.6073115152217459
home decor,1.5080571571467516,1.7604310432926642,1.028759843606498,1.1667843567962286,0.9238501495409897,1.3110604234425622,1.393022017271486,0.6164298160632777,0.9338407195113815,0.8324339185515742,0.0,0.6170649559625716,1.465473469694168,1.5046796427381945,0.43350189935911454,1.4402599333841217,0.5749273071663534,0.16494790743051102,0.860110171168873,1.2121843384720798,1.0424688999610219,0.35544898982467665,1.0754874496296691
kitchen appliance,1.3895567154294055,1.4229753718082474,1.1387779823363473,1.0478296190210132,0.5103914469308861,1.144949215505281,0.8562030652579511,0.28552460580279615,1.0456399238598255,0.43875220856884267,0.6170649559625716,0.0,1.095804025937146,1.0372201374037886,0.4983584910566363,0.9365327279416684,0.3893437258741598,0.7816745379709017,0.6541236765516243,1.0344599989664842,0.9857773934973848,0.4467407602345368,0.952355647290484
kitchen tool,0.6072785991506324,0.5021911603477652,0.8625906094038998,0.3002067384992464,0.7838048075963358,0.9127794609206686,0.7170047885476856,0.8108821106605338,1.1420195587990052,0.7301349250308021,1.465473469694168,1.095804025937146,0.0,0.13739344311976776,0.8074122807092298,0.29446233415612666,0.9092007119203207,1.6358341937877703,0.41599945213431744,0.13845673869865915,0.5499789184248025,1.0300471525044887,0.2827583255265592
