,animal,body part,clothing,clothing accessory,container,dessert,drink,electronic device,food,furniture,home decor,kitchen appliance,kitchen tool,medical equipment,musical instrument,office supply,part of car,plant,sports equipment,tool,toy,vehicle,weapon
animal,0.0,0.2967383722919057,0.2620133228915009,0.7866455560108659,1.1333421174438267,0.6245072903628395,0.8774151960248122,1.4726190705330835,0.9958005507714542,1.4358126373828646,1.2180514019677484,1.4678040370307945,0.8354604672793932,0.7517943393437203,1.3552901211625212,1.1683763660182227,1.5593284972846546,1.4549361390675486,1.2586585279134863,1.1522216120730948,0.3352328125184043,1.3737381831712847,1.1320688932290461
body part,0.2967383722919057,0.0,0.33675080104306443,0.9863595859186167,0.804205313422713,0.825290573975843,0.5628322153450298,1.450205504896088,1.2542365041716004,1.2298293900407697,1.6397700382696847,1.5944947102341107,0.6349752024314947,0.36536260069008786,1.5852200255439657,0.6706555199230688,1.6261701113528693,1.791634582418075,1.3192919268401986,1.1107054236845433,0.7075576080327031,1.761848071749198,1.2896684410672514
clothing,0.2620133228915009,0.33675080104306443,0.0,0.8764664509613349,0.8685843436574185,0.9351992163384831,0.9008043571142609,1.2560310198820748,1.2597229881759497,1.3016676303313963,1.1226852553342161,1.3939996827121315,0.8457219293962038,0.6250570273563572,1.227277934260587,1.0294338607487215,1.4351431451719783,1.4692200057664841,1.1517046205867025,1.218974633639178,0.47736119840771607,1.441775858917519,1.3120424359319978
clothing accessory,0.7866455560108659,0.9863595859186167,0.8764664509613349,0.0,0.8277591050642474,0.7235508344927197,0.86239955013889,0.663426041027966,0.7645926995593098,0.8249238246507524,0.8942703153799161,0.9127319110606894,0.45072080565539807,0.731280945081219,0.5403234485602046,0.7995973410394578,0.6963175795887233,1.046160532976562,0.4060050789656019,0.3918034295568018,0.4727304260684848,0.6360694579032269,0.40898097137678446
container,1.1333421174438267,0.804205313422713,0.8685843436574185,0.8277591050642474,0.0,1.1444526679058042,0.5148261573405506,0.4773610062061442,1.2872140321509842,0.3592299984789544,1.1854971398970438,0.7289018382083907,0.5254320015116858,0.4349701882820548,0.9011946416937688,0.3812530299208716,0.7771313457126068,1.2872705678830565,0.5725111997188979,0.697900791424428,1.0628714684655616,0.9789074272711651,0.8107004024010638
dessert,0.6245072903628395,0.825290573975843,0.9351992163384831,0.7235508344927197,1.1444526679058042,0.0,0.6357886076077026,1.1290781746073106,0.18534342799733572,1.2193110557428881,0.859317572324806,1.072854889538185,1.0434942960320415,1.2101971616730047,0.970961758984047,1.2106239029683852,1.0938127642737556,0.8321636300621006,0.9801449506984666,0.9830967967250446,0.4895609043929897,0.9553718598525641,0.8426945865715684
drink,0.8774151960248122,0.5628322153450298,0.9008043571142609,0.86239955013889,0.5148261573405506,0.6357886076077026,0.0,1.0101001234278573,0.8232028877110291,0.7968739772991803,1.3595200784861503,1.0807156908600697,0.6568835540653326,0.6015179365558797,1.1975009392498697,0.5834118065502194,1.1510534122082987,1.3461844406542278,0.8736309756586111,0.8779248642435468,0.8099469460341155,1.3295036485740561,1.0248257865366845
electronic device,1.4726190705330835,1.450205504896088,1.2560310198820748,0.663426041027966,0.4773610062061442,1.1290781746073106,1.0101001234278573,0.0,1.034062644174679,0.3302174375360988,0.6624784343475749,0.27984733264486306,0.7568889699037696,0.8873832723596692,0.3420432003373377,0.6721790667057506,0.1973941002662707,0.7917882637924621,0.2804573344832755,0.5755358030858078,1.0451179112402051,0.3386412956838756,0.4594619478463695
food,0.9958005507714542,1.2542365041716004,1.2597229881759497,0.7645926995593098,1.2872140321509842,0.18534342799733572,0.8232028877110291,1.034062644174679,0.0,1.1686115421421865,0.6031484077038509,0.8922189732811712,1.231037187801486,1.5030025086298144,0.7009998515211304,1.3820851001144068,0.8389125462450531,0.44160368138651074,0.8894564066705067,0.9060299771895404,0.6232441180656365,0.6676572525237277,0.7482593765418029
furniture,1.4358126373828646,1.2298293900407697,1.3016676303313963,0.8249238246507524,0.3592299984789544,1.2193110557428881,0.7968739772991803,0.3302174375360988,1.1686115421421865,0.0,1.0009318844411035,0.5325216177756371,0.5549678402765249,0.6263668653470862,0.6248674928344267,0.4132366513689567,0.5514982069039736,1.023872501340952,0.4450160276387747,0.4397951160382956,1.2018912622055375,0.6067264694567436,0.46730228081050496
