,badger,barnacle,bat1,cardinal,cat,cheetah,chicken_wire,cockroach,duckling,ferret,flamingo,fox,giraffe,guinea_pig,oyster,rabbit,scallop,seahorse,snail,squid,tiger,walrus,worm
badger,0.0,0.3519996226328025,0.19597810394061477,0.31064726334305715,0.2524174681341058,0.2386281454258118,0.3653368420393791,0.32296197324556475,0.23145581527710457,0.12989741521577325,0.33294929076022917,0.14009979802363626,0.2755142618372608,0.2171422923399421,0.3892735561098698,0.171278010497541,0.4560100009338839,0.3147966450614045,0.23372451532788896,0.2800465449491588,0.24270408182082748,0.24380995690839713,0.296879740094772
barnacle,0.3519996226328025,0.0,0.2885238900337246,0.35688766217114065,0.36326990390624747,0.37371493629182695,0.21653568002507917,0.2772708892801251,0.31984625173732195,0.372972684578027,0.31293212720045527,0.36597303183344176,0.34679003296921773,0.3754737938045689,0.18664387381064218,0.3061132320947507,0.33537505927061495,0.1907476037487733,0.19369832091046468,0.2114131669495274,0.396648360307171,0.29551130460354436,0.19273711513510483
bat1,0.19597810394061477,0.2885238900337246,0.0,0.24892216057551309,0.2775362164630515,0.27816117386525974,0.31494761104107816,0.24919302228973517,0.24800056185574093,0.21081760571795782,0.3031938112506133,0.19937773869893805,0.27504484408813845,0.25357317490943654,0.376760340899293,0.239345762341298,0.4549009279398496,0.23966748752494527,0.21305762238747583,0.22931838929484427,0.2767040433903082,0.24666845593306597,0.2511942378284865
cardinal,0.31064726334305715,0.35688766217114065,0.24892216057551309,0.0,0.3274042357742638,0.3103609664808239,0.36586070802826587,0.3362786472055389,0.26930010152770745,0.31616625081804794,0.21629372450531303,0.24947824687811238,0.32834190880592173,0.34044605585024657,0.40489728580059614,0.281485977205155,0.4645028630200353,0.3437621694067684,0.2849264318122119,0.3212487731959419,0.3090095945435707,0.3273948301231111,0.3304490077842168
cat,0.2524174681341058,0.36326990390624747,0.2775362164630515,0.3274042357742638,0.0,0.23150492596644534,0.31963231175035145,0.3263645220288379,0.25886977216364604,0.16706117137295418,0.336173120366548,0.22393768879635312,0.2906493926815563,0.18353308342064611,0.393929623312565,0.20351344314029163,0.4096527119225698,0.29597997037548496,0.2649496827973419,0.2886042387340312,0.225411150776469,0.31467955354272914,0.3560559490703781
cheetah,0.2386281454258118,0.37371493629182695,0.27816117386525974,0.3103609664808239,0.23150492596644534,0.0,0.34080758985784054,0.364601006280447,0.3075652117983567,0.24581088360490677,0.27742951562276463,0.19939091143749876,0.1364818624958528,0.3120148414620231,0.4413104768341647,0.24588532333096702,0.48093902236925,0.2842028777522154,0.3204856135930988,0.2821816370937109,0.13563043467384495,0.260778561185805,0.3580626330969019
chicken_wire,0.3653368420393791,0.21653568002507917,0.31494761104107816,0.36586070802826587,0.31963231175035145,0.34080758985784054,0.0,0.34494235620057034,0.33751761324462515,0.3593194914033496,0.35472691326231576,0.35020189020309733,0.31680094618734733,0.3627187446053717,0.33723418776571523,0.3252155566400622,0.37777503477613195,0.3114142365343625,0.26775383630945315,0.3063726774884832,0.3691391838061925,0.35483410890708045,0.29053794148916556
cockroach,0.32296197324556475,0.2772708892801251,0.24919302228973517,0.3362786472055389,0.3263645220288379,0.364601006280447,0.34494235620057034,0.0,0.3536756700308157,0.3041202240575489,0.39678477671992407,0.3244520789951587,0.36284447376088613,0.3301741988205046,0.380616509939942,0.2642264776113512,0.4408030812198177,0.24470646061377466,0.19776438466073887,0.19486529248274242,0.38513027340800066,0.33214395341071157,0.16629147915393705
duckling,0.23145581527710457,0.31984625173732195,0.24800056185574093,0.26930010152770745,0.25886977216364604,0.3075652117983567,0.33751761324462515,0.3536756700308157,0.0,0.2087253119206074,0.23243424705054583,0.22356629807011552,0.2748634399863771,0.22013439654985023,0.3555797930411678,0.19787211669796545,0.38510579998635974,0.2686118448133298,0.21314701426262428,0.2791577616402088,0.29470092684659266,0.2572352000650284,0.31853941034816946
ferret,0.12989741521577325,0.372972684578027,0.21081760571795782,0.31616625081804794,0.16706117137295418,0.24581088360490677,0.3593194914033496,0.3041202240575489,0.2087253119206074,0.0,0.33182389345004204,0.18341172761151736,0.2848478938146142,0.1301782396236424,0.40734528251624835,0.17950585056956536,0.43170928573512146,0.26831581785124436,0.22222401827673177,0.2674117079390371,0.25660323002854435,0.2593441552953457,0.28093604129808947
flamingo,0.33294929076022917,0.31293212720045527,0.3031938112506133,0.21629372450531303,0.336173120366548,0.27742951562276463,0.35472691326231576,0.39678477671992407,0.23243424705054583,0.33182389345004204,0.0,0.2699981406027544,0.2172474260661963,0.3391690982089619,0.34331648241049373,0.31237654762587963,0.3998985757218594,0.264058852218353,0.27075988507916915,0.2537409383847373,0.27394442563454147,0.23165803511863015,0.34632819621383726
fox,0.14009979802363626,0.36597303183344176,0.19937773869893805,0.24947824687811238,0.22393768879635312,0.19939091143749876,0.35020189020309733,0.3244520789951587,0.22356629807011552,0.18341172761151736,0.2699981406027544,0.0,0.26547308121556545,0.24715537924288866,0.40131453454705535,0.17102723169309142,0.44032999958511954,0.3030955578877086,0.26442051673891065,0.2803828521407967,0.2222023403107204,0.24465289603979368,0.3355656734685185
giraffe,0.2755142618372608,0.34679003296921773,0.27504484408813845,0.32834190880592173,0.2906493926815563,0.1364818624958528,0.31680094618734733,0.36284447376088613,0.2748634399863771,0.2848478938146142,0.2172474260661963,0.26547308121556545,0.0,0.30213753322584413,0.4162517012932525,0.265221121671398,0.46700214731508494,0.2637369720946702,0.27150707838690225,0.2791631017114421,0.19033134939827578,0.21819115460478367,0.3453419896665534
guinea_pig,0.2171422923399421,0.3754737938045689,0.25357317490943654,0.34044605585024657,0.18353308342064611,0.3120148414620231,0.3627187446053717,0.3301741988205046,0.22013439654985023,0.1301782396236424,0.3391690982089619,0.24715537924288866,0.30213753322584413,0.0,0.40401864077164673,0.16075509009157285,0.39034064586639106,0.3081235858357767,0.23298877683645214,0.28912440064309997,0.29147267919760733,0.27344478660351557,0.3325554586370215
oyster,0.3892735561098698,0.18664387381064218,0.376760340899293,0.40489728580059614,0.393929623312565,0.4413104768341647,0.33723418776571523,0.380616509939942,0.3555797930411678,0.40734528251624835,0.34331648241049373,0.40131453454705535,0.4162517012932525,0.40401864077164673,0.0,0.3564021221108048,0.19891765842267717,0.3064722634293794,0.27825876888167667,0.25659083510635317,0.4390801072180236,0.35587221670176383,0.34921383237248493
rabbit,0.171278010497541,0.3061132320947507,0.239345762341298,0.281485977205155,0.20351344314029163,0.24588532333096702,0.3252155566400622,0.2642264776113512,0.19787211669796545,0.17950585056956536,0.31237654762587963,0.17102723169309142,0.265221121671398,0.16075509009157285,0.3564021221108048,0.0,0.411090222518507,0.2908315255754562,0.20189791209712948,0.24823759189074457,0.2752655481733074,0.2564915551626997,0.2762582175540793
scallop,0.4560100009338839,0.33537505927061495,0.4549009279398496,0.4645028630200353,0.4096527119225698,0.48093902236925,0.37777503477613195,0.4408030812198177,0.38510579998635974,0.43170928573512146,0.3998985757218594,0.44032999958511954,0.46700214731508494,0.39034064586639106,0.19891765842267717,0.411090222518507,0.0,0.35802276512838116,0.3338059909731519,0.32926087450743147,0.4564941235176795,0.42113155328404805,0.4204591622629609
seahorse,0.3147966450614045,0.1907476037487733,0.23966748752494527,0.3437621694067684,0.29597997037548496,0.2842028777522154,0.3114142365343625,0.24470646061377466,0.2686118448133298,0.26831581785124436,0.264058852218353,0.3030955578877086,0.2637369720946702,0.3081235858357767,0.3064722634293794,0.2908315255754562,0.35802276512838116,0.0,0.18128686582128561,0.10810644329829822,0.28416442147380494,0.23676835314233047,0.17428318426452882
snail,0.23372451532788896,0.19369832091046468,0.21305762238747583,0.2849264318122119,0.2649496827973419,0.3204856135930988,0.26775383630945315,0.19776438466073887,0.21314701426262428,0.22222401827673177,0.27075988507916915,0.26442051673891065,0.27150707838690225,0.23298877683645214,0.27825876888167667,0.20189791209712948,0.3338059909731519,0.18128686582128561,0.0,0.18889019435648013,0.3141931076241624,0.23613180529457112,0.17506031780825826
squid,0.2800465449491588,0.2114131669495274,0.22931838929484427,0.3212487731959419,0.2886042387340312,0.2821816370937109,0.3063726774884832,0.19486529248274242,0.2791577616402088,0.2674117079390371,0.2537409383847373,0.2803828521407967,0.2791631017114421,0.28912440064309997,0.25659083510635317,0.24823759189074457,0.32926087450743147,0.10810644329829822,0.18889019435648013,0.0,0.30984309698652646,0.20327348450844196,0.1615342538249822
tiger,0.24270408182082748,0.396648360307171,0.2767040433903082,0.3090095945435707,0.225411150776469,0.13563043467384495,0.3691391838061925,0.38513027340800066,0.29470092684659266,0.25660323002854435,0.27394442563454147,0.2222023403107204,0.19033134939827578,0.29147267919760733,0.4390801072180236,0.2752655481733074,0.4564941235176795,0.28416442147380494,0.3141931076241624,0.30984309698652646,0.0,0.24409038576371778,0.37358506818478476
walrus,0.24380995690839713,0.29551130460354436,0.24666845593306597,0.3273948301231111,0.31467955354272914,0.260778561185805,0.35483410890708045,0.33214395341071157,0.2572352000650284,0.2593441552953457,0.23165803511863015,0.24465289603979368,0.21819115460478367,0.27344478660351557,0.35587221670176383,0.2564915551626997,0.42113155328404805,0.23676835314233047,0.23613180529457112,0.20327348450844196,0.24409038576371778,0.0,0.2868212286577033
worm,0.296879740094772,0.19273711513510483,0.2511942378284865,0.3304490077842168,0.3560559490703781,0.3580626330969019,0.29053794148916556,0.16629147915393705,0.31853941034816946,0.28093604129808947,0.34632819621383726,0.3355656734685185,0.3453419896665534,0.3325554586370215,0.34921383237248493,0.2762582175540793,0.4204591622629609,0.17428318426452882,0.17506031780825826,0.1615342538249822,0.37358506818478476,0.2868212286577033,0.0
