,animal,body part,clothing,clothing accessory,container,dessert,drink,electronic device,food,furniture,home decor,kitchen appliance,kitchen tool,medical equipment,musical instrument,office supply,part of car,plant,sports equipment,tool,toy,vehicle,weapon
animal,0.0,0.18939440168185007,0.2224055770967821,0.23827116771701295,0.201383698178358,0.25503921160940246,0.2390061522790703,0.24644869392759472,0.1826783989927463,0.2730642628024067,0.18710820242270954,0.2960921627488007,0.2303313042968571,0.2100681223584544,0.25356837077908223,0.22887838483372747,0.24729367755209242,0.13016822102644032,0.20041072009158722,0.20011480310692664,0.1658672332470864,0.1831091005705714,0.1833847135049368
body part,0.18939440168185007,0.0,0.1099115263854551,0.1298978542237459,0.1387701285358821,0.2224555034559067,0.20593650067619063,0.17044682749502882,0.17480392722676596,0.18563926326240798,0.15022757733828473,0.23503068922907966,0.15621382511315185,0.0891972730030135,0.19352057381372423,0.13101414752551244,0.17101757809318985,0.16332272147477622,0.1318213492603466,0.12789977662565521,0.12017746918368388,0.2182186220191692,0.176501074559121
clothing,0.2224055770967821,0.1099115263854551,0.0,0.04921121278346141,0.09258594400084152,0.20148874320780086,0.19813358214565147,0.1434948195900293,0.19013787576430796,0.11138851184578402,0.09047111544590636,0.20854375702846673,0.12410125809582173,0.11391351298028696,0.14079508627814485,0.11872623737959598,0.15404616018945594,0.1788671376873846,0.11318292065300317,0.11624799621951121,0.08337464411166151,0.1849205718884649,0.16477526002189224
clothing accessory,0.23827116771701295,0.1298978542237459,0.04921121278346141,0.0,0.0818768472559992,0.20094284328399947,0.19146799262537717,0.13111430212890507,0.1848758318657815,0.12172924833152066,0.07716981021340819,0.19899648348892396,0.09193965773045043,0.09837729508270765,0.1296320713905479,0.07647241369389524,0.1364223028734174,0.17383373243317157,0.11144927538214677,0.08851827527006262,0.07883234113631776,0.2016316681521937,0.15646190204765742
container,0.201383698178358,0.1387701285358821,0.09258594400084152,0.0818768472559992,0.0,0.17134122890781323,0.14129721547510088,0.06475338299203115,0.13565694463751177,0.06303209892234185,0.0524758182255336,0.100578163400737,0.051155408048047635,0.06894620852104805,0.11104766154195844,0.05881090536991673,0.1129402708854863,0.1320604079516433,0.09215545609888576,0.057036768125973025,0.06283443101315012,0.14397087698920774,0.12082532380921363
dessert,0.25503921160940246,0.2224555034559067,0.20148874320780086,0.20094284328399947,0.17134122890781323,0.0,0.09419941534836485,0.23005816362298948,0.05758647643343917,0.23253225320082838,0.1725611004872818,0.2333265056330116,0.16576791634313692,0.2275068700673053,0.26523902972132407,0.2084262143445612,0.27081013471978066,0.202052197841755,0.23095737605021405,0.21727860589522952,0.18753051180603142,0.2826210349417613,0.2836794676773998
drink,0.2390061522790703,0.20593650067619063,0.19813358214565147,0.19146799262537717,0.14129721547510088,0.09419941534836485,0.0,0.20660924436995398,0.08995311609734014,0.22157148524947146,0.1569126609070971,0.21228398505556,0.1665335459125683,0.19960046937773324,0.2507411580541973,0.19163117474022295,0.24316368634338825,0.16990598214419184,0.197601736303043,0.2006386541626104,0.17617035883844456,0.2311924584388526,0.2585274157917179
electronic device,0.24644869392759472,0.17044682749502882,0.1434948195900293,0.13111430212890507,0.06475338299203115,0.23005816362298948,0.20660924436995398,0.0,0.19581031074116884,0.1026908012128882,0.12132605288068976,0.09051127137810056,0.09063046039894118,0.0880481471817206,0.12487005616410507,0.08092587332416012,0.099221598686147,0.20075171670354675,0.10334521391544538,0.08137287755997258,0.09523663160384388,0.1418878278282526,0.1334152604253288
food,0.1826783989927463,0.17480392722676596,0.19013787576430796,0.1848758318657815,0.13565694463751177,0.05758647643343917,0.08995311609734014,0.19581031074116884,0.0,0.2182252216497117,0.14498784476208026,0.2019379261179829,0.12558847839757314,0.1774413922249194,0.23134820322740268,0.1716748029544639,0.23113655265800848,0.12176129411937242,0.18842740525982238,0.16213133522550127,0.16088240360905992,0.23574861284802906,0.2196788885513017
furniture,0.2730642628024067,0.18563926326240798,0.11138851184578402,0.12172924833152066,0.06303209892234185,0.23253225320082838,0.22157148524947146,0.1026908012128882,0.2182252216497117,0.0,0.07740200798028674,0.12579979909278016,0.11689310830217858,0.12717243513404708,0.15717526271325433,0.12108684363493949,0.1520297049808541,0.19276060470750744,0.14235293199290555,0.11299616916961874,0.11862943613404853,0.18989829481356535,0.19574632520634283
