,animal,body part,clothing,clothing accessory,container,dessert,drink,electronic device,food,furniture,home decor,kitchen appliance,kitchen tool,medical equipment,musical instrument,office supply,part of car,plant,sports equipment,tool,toy,vehicle,weapon
animal,0.0,0.989835652938422,1.2089118568966961,1.1474060269248427,1.1992429223832741,1.0114453098513592,1.065992493612695,1.2662990040097584,0.9683780287447915,1.2050318501423223,1.1264653820257926,1.1687147555382122,1.1297602348422395,1.2366412274588714,1.2279852368154511,1.1931131016820244,1.2263755476165752,0.81640556692074,1.1853124674081454,1.1209072350264435,1.180439963416595,1.1286407145294879,1.0780209657852764
body part,0.989835652938422,0.0,0.6772601569058772,0.6257854375817795,1.0036325301805216,0.8589068133692485,0.9042733542418653,1.093410430867562,0.8714838259958729,1.0489718187166268,1.031971279389889,1.1469497940497368,0.8477297397337529,0.6537590191054841,0.9904341691393649,0.8331807076492421,1.0886096053655883,1.018868186129851,0.9319489035808369,0.8840088091511167,0.8098484671309014,1.2772856341781231,0.9832731940302117
clothing,1.2089118568966961,0.6772601569058772,0.0,0.6146690020873122,0.8931415900698048,0.9895621040583017,1.043273135599177,1.0286241990451737,1.049259259626056,0.8570685295688358,0.8514617849847704,1.114808259412478,0.9490413521102185,0.7043672228472314,0.9231851259701026,0.9390870445352474,1.0263687012435607,1.026849782357849,0.7977358847023813,0.9095223923845271,0.6953673536681952,1.1417495030744826,1.006415877383196
clothing accessory,1.1474060269248427,0.6257854375817795,0.6146690020873122,0.0,0.7889858010821197,0.772405239955805,0.8580750142946246,0.9026386624722161,0.8033602008635984,0.9590579763307341,0.6657737530499735,1.0318612055794159,0.5050873746090605,0.5090420751750797,0.7065806603598382,0.4846239652043155,0.7976077372465487,1.003449363849572,0.638700265424941,0.5918547911830688,0.5374986482038825,1.128005907311528,0.7672669323717495
container,1.1992429223832741,1.0036325301805216,0.8931415900698048,0.7889858010821197,0.0,0.7327148964000931,0.5529942694456278,0.5983320209141492,0.8113764018813071,0.5534097575294201,0.6831960767013727,0.6456272964390246,0.6031985703505454,0.6377904996339818,0.7688383561076944,0.5879283520780317,0.8397043258529618,1.0291563318822776,0.7460901674512919,0.7381405303731524,0.7468840451296384,0.9817118689310849,0.8852910538310599
dessert,1.0114453098513592,0.8589068133692485,0.9895621040583017,0.772405239955805,0.7327148964000931,0.0,0.4234868762503653,0.9940172845252719,0.22239251574663277,0.9603957298298093,0.7560551357292353,0.9001243914716797,0.718683843801284,0.8985650847046548,1.0252543993820193,0.8087835025227665,1.0555841465084872,0.9620507037722777,1.0352880702753051,0.9142324836999018,0.8092590762573034,1.1774879653768633,1.0854113653253894
drink,1.065992493612695,0.9042733542418653,1.043273135599177,0.8580750142946246,0.5529942694456278,0.4234868762503653,0.0,0.9635984695264757,0.54966724980268,1.0145163616401984,0.7985367967603703,0.9016023091642386,0.6990002425775557,0.9164917140750012,0.937302590627699,0.8709439119504547,1.0307596231060676,0.9525206152541932,0.9544379650149265,0.9503930753877836,0.8112810933152179,1.1074284593840962,1.0948465361212043
electronic device,1.2662990040097584,1.093410430867562,1.0286241990451737,0.9026386624722161,0.5983320209141492,0.9940172845252719,0.9635984695264757,0.0,1.0379661288073039,0.7568795254036782,1.014274758378439,0.4102843464210213,0.7302465707442326,0.672124764050241,0.8070799571517507,0.5873889018835817,0.48149983502332205,1.2332229940841792,0.7892360516452801,0.7516754490136732,0.86428601613797,0.854358283781011,0.8317950480995518
food,0.9683780287447915,0.8714838259958729,1.049259259626056,0.8033602008635984,0.8113764018813071,0.22239251574663277,0.54966724980268,1.0379661288073039,0.0,0.9957497642518304,0.7544426124974,0.9494847311382406,0.7150274045956186,0.9262607839135899,1.0200255846436397,0.8328089318256426,1.0444656634724236,0.7768277196493919,1.0085485020894884,0.8881444928433644,0.8152606846788318,1.164985925103649,1.030376430323323
furniture,1.2050318501423223,1.0489718187166268,0.8570685295688358,0.9590579763307341,0.5534097575294201,0.9603957298298093,1.0145163616401984,0.7568795254036782,0.9957497642518304,0.0,0.6324754844130653,0.7564321521770634,0.8591065846838966,0.6921971363403006,0.8006802471953008,0.7683252542705625,0.9180404838672895,1.0135573331182242,0.8578159423333772,0.8400982997780795,0.8592041142935409,0.9672115215098145,0.917932847775959
