,badger,barnacle,bat1,cardinal,cat,cheetah,chicken_wire,cockroach,duckling,ferret,flamingo,fox,giraffe,guinea_pig,oyster,rabbit,scallop,seahorse,snail,squid,tiger,walrus,worm
badger,-4.440892098500626e-16,0.9030358214961218,0.0810241465671856,0.11146291918044615,0.0750712623252977,0.13167045931721844,1.8715201018893382,0.3615387001007685,0.053016251486224686,0.05837181767464705,0.19128422517919363,0.10521270720077558,0.22321974459326255,0.06574826339208895,0.4264895402271002,0.06455922144511839,0.5397376297132196,0.16261319293088616,0.30497034351511854,0.3034920768887943,0.09420026015402827,0.10132695097019073,1.1155392539782925
barnacle,0.9030358214961218,0.0,0.8728665801455935,0.9330600888181235,0.8240211905786967,0.724693784609878,1.097943246145586,0.8583792070903702,0.8351703991977796,0.869142302818185,0.8556062899013178,0.7785716276198562,0.8015121990855392,0.8267748991347361,0.5122770654011221,0.9009372650548844,0.8290536696496511,0.9082267126595438,1.0740663550247074,0.8780724800105159,0.7462599756398385,0.7860418209332175,0.588292702939751
bat1,0.0810241465671856,0.8728665801455935,-4.440892098500626e-16,0.08222615662124055,0.0672844646160572,0.13722186445783768,1.920882620342695,0.32905182376485287,0.056629144542747034,0.05767367964954617,0.14765078945640853,0.07824436174691374,0.21015173213520222,0.052613620431631536,0.35086003687966383,0.06448617691461678,0.4271129428478079,0.12299188761344104,0.24600797826468912,0.2519984055168878,0.08102434288580129,0.05525214450038196,1.1529850829987232
cardinal,0.11146291918044615,0.9330600888181235,0.08222615662124055,-2.220446049250313e-16,0.09823818667150541,0.12292428148964907,1.894496881054813,0.33112696294602284,0.08042116106957153,0.08176658460031172,0.12357889937531341,0.10557907674297173,0.15559368308593335,0.09082405984484487,0.38527106025541924,0.0793869355826915,0.480733386896782,0.07868176177055797,0.31720084013797234,0.2690302463507288,0.09139477147527242,0.08603897968655339,1.1151550619093764
cat,0.0750712623252977,0.8240211905786967,0.0672844646160572,0.09823818667150541,-2.220446049250313e-16,0.11833365725383027,1.8892321862309789,0.37346289666971766,0.05049747504860935,0.04012857337965947,0.1546715624319508,0.028187816414335654,0.1825694109729198,0.04800845604252579,0.3041971680355501,0.05000667315183971,0.3956827029561403,0.15148535563478216,0.3080087054213825,0.2962016772152404,0.07256890775226055,0.0679096126170664,1.1321640329502023
cheetah,0.13167045931721844,0.724693784609878,0.13722186445783768,0.12292428148964907,0.11833365725383027,-4.440892098500626e-16,1.8312061932670358,0.2617948434037064,0.08545280349217965,0.09973700471706681,0.10615151574608128,0.10088067288660563,0.1204935300958957,0.11894246792639429,0.33414353607689895,0.10458599975023009,0.4908709140587387,0.13514978148231493,0.3932404261969702,0.3050338084735489,0.06067550410762135,0.11108706981808669,0.8825285882109603
chicken_wire,1.8715201018893382,1.097943246145586,1.920882620342695,1.894496881054813,1.8892321862309789,1.8312061932670358,3.3306690738754696e-16,1.6459693464136809,1.9000290665847595,1.888927084788521,1.8480157553528886,1.8673918552430977,1.7857757953566444,1.8863272849309207,1.6154387854860055,1.8951877456039559,1.5504641199183637,1.8584103381548824,1.7629172224736211,1.7860569105661233,1.8712619380868207,1.902549771793193,0.8691003019347384
cockroach,0.3615387001007685,0.8583792070903702,0.32905182376485287,0.33112696294602284,0.37346289666971766,0.2617948434037064,1.6459693464136809,-2.220446049250313e-16,0.31081554144213064,0.36850581439716434,0.23948355112169506,0.35374531072645443,0.25911287481339085,0.38676887793200776,0.550823469407829,0.3202779737170385,0.6516168990186081,0.3268178654144728,0.46653377067012314,0.3412708426852249,0.28448585833749496,0.31491008762623485,0.763519844891031
duckling,0.053016251486224686,0.8351703991977796,0.056629144542747034,0.08042116106957153,0.05049747504860935,0.08545280349217965,1.9000290665847595,0.31081554144213064,-2.220446049250313e-16,0.03582254987363076,0.12970591344120053,0.05914098027571957,0.1671262363896887,0.03409912548298555,0.35981805317635085,0.0517197598321969,0.45547737385047316,0.12700530542376265,0.2913710124078126,0.2925140299193081,0.04400547744695105,0.06619708661877277,1.0468291872707458
ferret,0.05837181767464705,0.869142302818185,0.05767367964954617,0.08176658460031172,0.04012857337965947,0.09973700471706681,1.888927084788521,0.36850581439716434,0.03582254987363076,1.1102230246251565e-16,0.1488000965569537,0.05046538366345621,0.19777327346090112,0.03358794850335922,0.35999059819580226,0.0431482641707267,0.41985894400807655,0.12425322775987147,0.2915660624173053,0.3255255103185277,0.05207502832770938,0.06268308731322259,1.120975969911059
