,animal,body part,clothing,clothing accessory,container,dessert,drink,electronic device,food,furniture,home decor,kitchen appliance,kitchen tool,medical equipment,musical instrument,office supply,part of car,plant,sports equipment,tool,toy,vehicle,weapon
animal,1.1102230246251565e-16,0.6584500862217835,0.23574392817812284,0.5400035645918431,1.4183043836932465,0.38963405341002955,0.8890071533911548,1.4959551105850548,0.606208094020367,1.6171646092389822,0.7207359494714443,1.2543295009335718,1.1669050951603586,1.2551015611055818,1.021145699908411,1.5614670943281266,1.4279828211985528,1.008610660811321,1.0986881205291803,1.226200057282211,0.19228093520900014,1.0983360406172686,1.0289812456802423
body part,0.6584500862217835,2.220446049250313e-16,0.5196592106273459,1.1445611964512332,0.6798795639913614,1.053823288386053,0.5906628983516435,1.3538256999669878,1.3799720207449395,1.0251050883163149,1.6575608368271655,1.6111581361611882,0.5517214058623874,0.3442673079170372,1.6315351016104316,0.5666013115239552,1.6028538568411081,1.8058686529692243,1.3505014089957763,1.0505294729280936,1.0367239547957083,1.783331759694278,1.310673251621376
clothing,0.23574392817812284,0.5196592106273459,2.220446049250313e-16,0.7163984850424686,1.0892825756909632,0.7320941111991182,0.8990669890484674,1.310559462097369,0.9580805557865691,1.429331465019283,0.846984989156661,1.2982205809875145,1.0372017192612173,0.9714554556061004,1.0567980523880418,1.2969023364770433,1.398348870240506,1.2033037987695074,1.0796529950274245,1.2643466111303154,0.4055280655269985,1.2864483812926024,1.2454721769563362
clothing accessory,0.5400035645918431,1.1445611964512332,0.7163984850424686,3.3306690738754696e-16,1.1499624759781486,0.49857142696555945,0.8699311106255119,0.8279385310221903,0.517795019955993,1.1440951694361703,0.5918731603049823,0.8356425102223966,0.8163499355703153,1.161749869850412,0.43808109790461514,1.2901739377524857,0.7286443905900712,0.781455525353255,0.41186003309371355,0.5761725454892218,0.31595140465562666,0.5491615938630301,0.4343851468597085
container,1.4183043836932465,0.6798795639913614,1.0892825756909632,1.1499624759781486,2.220446049250313e-16,1.4240044724860184,0.6029315015465948,0.4539833142055285,1.5278226494927485,0.2573818431804873,1.472445855262228,0.8692989123233372,0.39820753401309295,0.2886094517256599,1.1296243893555835,0.2548608079798258,0.8230577254421388,1.4752004779166343,0.733196984358824,0.654775492060966,1.4317318799331968,1.1423122953700606,0.9060795750940472
dessert,0.38963405341002955,1.053823288386053,0.7320941111991182,0.49857142696555945,1.4240044724860184,2.220446049250313e-16,0.6975694614551851,1.2309791184128103,0.11368732081699717,1.4708781082458302,0.5112772404550018,0.9487527313050353,1.3109945076575742,1.5261313746775367,0.7430000346242303,1.5798507926258474,1.061423898464218,0.5829555200134275,0.882759668492227,1.0942140145623485,0.2760348379963594,0.7844506516143773,0.8025183021266342
drink,0.8890071533911548,0.5906628983516435,0.8990669890484674,0.8699311106255119,0.6029315015465948,0.6975694614551851,-2.220446049250313e-16,1.014877718980169,0.8487363668954914,0.840089533083768,1.253540674259066,1.0752964615094225,0.7059068339344121,0.7142881498026523,1.1731557703957949,0.7558640360486457,1.150489789288822,1.289549448398466,0.8715381034082974,0.8839603503466354,0.8547695935252639,1.307555536011255,1.021811732107444
electronic device,1.4959551105850548,1.3538256999669878,1.310559462097369,0.8279385310221903,0.4539833142055285,1.2309791184128103,1.014877718980169,-2.220446049250313e-16,1.1621672868644375,0.3313898607714162,0.8955638322758798,0.3456050183686067,0.6905611151763708,0.7763047579533716,0.4898818583134519,0.6316391293377372,0.2207633275581744,0.9289392530149915,0.3427472800250383,0.5541739730176329,1.1883369276022249,0.4471211237629862,0.501878381093414
food,0.606208094020367,1.3799720207449395,0.9580805557865691,0.517795019955993,1.5278226494927485,0.11368732081699717,0.8487363668954914,1.1621672868644375,0.0,1.4470559034156447,0.3490515665425882,0.8057892077732548,1.4501303837015445,1.7098731410230168,0.5418197038267056,1.6796916427104838,0.8623969984843181,0.3114858186151509,0.8100385133774037,1.0403123934651657,0.3340728552504222,0.5659804538094072,0.7302658761955674
furniture,1.6171646092389822,1.0251050883163149,1.429331465019283,1.1440951694361703,0.2573818431804873,1.4708781082458302,0.840089533083768,0.3313898607714162,1.4470559034156447,-4.440892098500626e-16,1.3516275023028712,0.7031515599297288,0.4216871559066794,0.41372978803010985,0.9105525233653313,0.27528506719441426,0.6306653012267374,1.2786955111938418,0.6238324994205232,0.4391353453428428,1.5066880666446343,0.8389037577635157,0.6153828086085513
