,badger,barnacle,bat1,cardinal,cat,cheetah,chicken_wire,cockroach,duckling,ferret,flamingo,fox,giraffe,guinea_pig,oyster,rabbit,scallop,seahorse,snail,squid,tiger,walrus,worm
badger,1.1102230246251565e-16,0.352407563378196,0.19614244424063354,0.3107136324417523,0.252646117129269,0.23924692744473464,0.36629516616123936,0.3232498741360674,0.23151714207716945,0.12991993387161838,0.332949011460526,0.1402999962799626,0.27557204378708744,0.21742935093589055,0.3895153080555628,0.1745252013583849,0.4560488289917367,0.3148047895198315,0.23398550305359356,0.28042077237536056,0.24273730236193725,0.24389003708182388,0.29692473948613163
barnacle,0.352407563378196,-2.220446049250313e-16,0.2883099229518521,0.35672831875408195,0.3628443655171333,0.37299455226894807,0.21612052887323574,0.27686918059444443,0.31978772180871184,0.3730582185665825,0.31347493337053767,0.36564064483600767,0.3466889023582964,0.3749861290672609,0.18638314814655255,0.305820526654917,0.3352217409423657,0.1909998841620576,0.19348286135644854,0.21107782420002685,0.39660370657827093,0.29542219176665774,0.19282815558549316
bat1,0.19614244424063354,0.2883099229518521,0.0,0.24880044871321227,0.27732769627821086,0.27798280490803273,0.3148965431021993,0.24900318864110782,0.2479019744430404,0.21082042063162987,0.3033804840459253,0.19924243941453723,0.2749271453093498,0.25337957366205444,0.3764482489327461,0.24053004866672523,0.45465908649907416,0.23965377764301865,0.21289908626977627,0.22915519993097722,0.2766309096204057,0.246548874833169,0.25110033412937005
cardinal,0.3107136324417523,0.35672831875408195,0.24880044871321227,-2.220446049250313e-16,0.32723182866591305,0.31028931684039085,0.365933282456987,0.3361073323153154,0.2691990807479413,0.3161090551506155,0.21642622904236153,0.24935530426249197,0.3282145504210914,0.34026530499314467,0.40466771908753274,0.28285988438901255,0.46430024669897463,0.3436932971888381,0.2847848948641538,0.3211019830160575,0.30891972843649107,0.3272567661602931,0.3303289524285412
cat,0.252646117129269,0.3628443655171333,0.27732769627821086,0.32723182866591305,0.0,0.23127069883587026,0.31936002916224604,0.32601761034780763,0.2587772088765242,0.16713636507468466,0.3364328606427184,0.22376218421440597,0.29052849884860144,0.1833519290707759,0.3935099772821311,0.20451432385735735,0.40941306542960043,0.29597854164736426,0.264693033197851,0.28828780098053974,0.22539191713203588,0.3145172706364475,0.3559112120124366
cheetah,0.23924692744473464,0.37299455226894807,0.27798280490803273,0.31028931684039085,0.23127069883587026,1.1102230246251565e-16,0.33992421958168706,0.3640377413736272,0.3075641994141144,0.24609682393722254,0.27811561292148657,0.19929813683795405,0.13667676767550485,0.3116091274396544,0.44062267216793927,0.24568681523645142,0.4806294074544145,0.2844342557206214,0.32008656471285535,0.28170696070188184,0.1359335393286818,0.26077247625413613,0.3580176710222356
chicken_wire,0.36629516616123936,0.21612052887323574,0.3148965431021993,0.365933282456987,0.31936002916224604,0.33992421958168706,-2.220446049250313e-16,0.34440652685282935,0.3377512171640421,0.3598271203623655,0.3558538190625733,0.3500303663786761,0.31705480614653303,0.36226007376048064,0.33672539007214364,0.3236822205594173,0.3777919348203632,0.3120008130632248,0.2675583681175159,0.30584050318674505,0.3694594910571597,0.35493439095122714,0.29089472131071825
cockroach,0.3232498741360674,0.27686918059444443,0.24900318864110782,0.3361073323153154,0.32601761034780763,0.3640377413736272,0.34440652685282935,0.0,0.35353729003167245,0.30417529286035494,0.39710910249175824,0.3241729240275756,0.3626876623391029,0.3297937549300798,0.38013549282868875,0.2645815577371038,0.4405282290680107,0.24479592789206717,0.19754660387776635,0.19460226799787617,0.3850417894989214,0.33197811590219073,0.16631501275728044
duckling,0.23151714207716945,0.31978772180871184,0.2479019744430404,0.2691990807479413,0.2587772088765242,0.3075641994141144,0.3377512171640421,0.35353729003167245,-2.220446049250313e-16,0.20869261020164942,0.23253571684450958,0.22348154638333506,0.2747669795888764,0.22007895701607738,0.3554390159410513,0.19979104928763536,0.38495687716639915,0.2685614958405833,0.2130907943101359,0.2791007705622939,0.2946194086144548,0.25713909421599335,0.3184334643673421
ferret,0.12991993387161838,0.3730582185665825,0.21082042063162987,0.3161090551506155,0.16713636507468466,0.24609682393722254,0.3598271203623655,0.30417529286035494,0.20869261020164942,4.440892098500626e-16,0.33185503779228565,0.183433974523024,0.28479683674746425,0.13030408462573206,0.4073251706265246,0.18200647460195052,0.43161851002766416,0.26827392656746996,0.22228336508638513,0.26753140449283686,0.25655777865130636,0.2593030701510234,0.28088505675033126
