,badger,barnacle,bat1,cardinal,cat,cheetah,chicken_wire,cockroach,duckling,ferret,flamingo,fox,giraffe,guinea_pig,oyster,rabbit,scallop,seahorse,snail,squid,tiger,walrus,worm
badger,3.3306690738754696e-16,0.8107889961097718,0.6168882725576079,0.9077539299634456,0.7641482987177418,0.8065784555187284,0.7713804777363008,0.8949393431934587,0.528342625161532,0.4345662486053776,0.8922322985023428,0.6406801822116662,0.8019838891945207,0.6150764694131705,0.8250932884829246,0.7135368248383537,0.8765023371299393,0.8348975245448673,0.8450978485548646,0.7721198550374052,0.817487316209551,0.7615666768230865,0.8162442016081491
barnacle,0.8107889961097718,-2.220446049250313e-16,0.6448724543278211,0.8583730006677337,0.7837719204729208,0.764064654675889,0.7186057582037882,0.7906631857218817,0.6742979528840553,0.7745156403891226,0.8051243328741511,0.835922079661582,0.8026805702826626,0.7609284895488085,0.41540955659869616,0.8153024106535698,0.5942051335130472,0.5677134475044738,0.6420412535542217,0.6476829868921464,0.899530820469029,0.6780397178389275,0.6721262408470076
bat1,0.6168882725576079,0.6448724543278211,-2.220446049250313e-16,0.6085272262186103,0.6274606336106798,0.8001544761576664,0.6674024296140654,0.6301968396645112,0.48047760779258586,0.5596265326284042,0.8205585398420713,0.6626680642277065,0.7209589292465439,0.6267704944557688,0.7183910589524651,0.6179268476933726,0.753983516499921,0.6208143988766732,0.6180993023234296,0.641243996120881,0.8203637511450105,0.6561187810260535,0.7635188773322409
cardinal,0.9077539299634456,0.8583730006677337,0.6085272262186103,1.1102230246251565e-16,0.8518522441955224,0.9337314095662708,0.7742183567865928,0.7779872627860526,0.6772357048667066,0.7928232315005592,0.7568398527290396,0.7931485527389136,0.8935949823752135,0.7207887257466539,0.8941802133170684,0.8418273905212827,0.8233491563893331,0.8122717768680221,0.8285217681629451,0.8080309754819116,0.8959579383779411,0.8827134981997016,0.9016360102732018
cat,0.7641482987177418,0.7837719204729208,0.6274606336106798,0.8518522441955224,1.1102230246251565e-16,0.7669242423928981,0.7599980049808175,0.8640817647038203,0.6616348592962753,0.679755036097195,0.8988362658175478,0.6664888168339042,0.7927303793980556,0.6141265428453966,0.7944186967958441,0.5288164617005194,0.7931380685305437,0.7978326968006471,0.7985702322150912,0.7866157626668946,0.7405676781718877,0.8421943347156536,0.8705771742706825
cheetah,0.8065784555187284,0.764064654675889,0.8001544761576664,0.9337314095662708,0.7669242423928981,1.1102230246251565e-16,0.7162054781556138,0.9467715559741602,0.7934557679618577,0.8539937967632958,0.913515150008377,0.7307627347354355,0.38205518804307637,0.9152195814680819,0.8736529360986883,0.8771559438320911,0.8691511177699702,0.7522144071725032,0.9083374713603648,0.8274296086132702,0.6732404401556218,0.8833327042005965,0.8672058019366901
chicken_wire,0.7713804777363008,0.7186057582037882,0.6674024296140654,0.7742183567865928,0.7599980049808175,0.7162054781556138,0.0,0.7514247631382445,0.7210178233817417,0.7619132534849444,0.7824938537897264,0.7552163001574064,0.7141260388482321,0.7556627976899053,0.8247899844193569,0.8215974989513495,0.8351940769351378,0.7434176904479146,0.7691256476335089,0.7502188272898632,0.8059944206458922,0.7773962836761036,0.8273825840904636
cockroach,0.8949393431934587,0.7906631857218817,0.6301968396645112,0.7779872627860526,0.8640817647038203,0.9467715559741602,0.7514247631382445,2.220446049250313e-16,0.8036739337385722,0.8498751370690426,0.8727831519182062,0.8338414856288836,0.8699515263261169,0.8360242145444076,0.7865852977886714,0.8585283630666021,0.8190493654493848,0.7372880438850022,0.5390152130161576,0.6497994073787856,0.8709444151693047,0.7863513936100862,0.7153319928663011
duckling,0.528342625161532,0.6742979528840553,0.48047760779258586,0.6772357048667066,0.6616348592962753,0.7934557679618577,0.7210178233817417,0.8036739337385722,-2.220446049250313e-16,0.4357565128505788,0.7175881526015842,0.5853238471521394,0.7924282431097368,0.48350060141226836,0.7312310640910161,0.6226871611257382,0.7366525205618238,0.6921170137235332,0.6941040120312907,0.6546581520406947,0.7881019081383341,0.7228091865033655,0.7523780779478018
ferret,0.4345662486053776,0.7745156403891226,0.5596265326284042,0.7928232315005592,0.679755036097195,0.8539937967632958,0.7619132534849444,0.8498751370690426,0.4357565128505788,0.0,0.8650538790536699,0.5917872005792617,0.8549438375807468,0.6083435834705389,0.7793462537613609,0.7413692835346496,0.8079559271135259,0.7872623487667759,0.8100686885191304,0.7675515950006948,0.8846922818975992,0.8088718977946554,0.7757523904930957
