,badger,barnacle,bat1,cardinal,cat,cheetah,chicken_wire,cockroach,duckling,ferret,flamingo,fox,giraffe,guinea_pig,oyster,rabbit,scallop,seahorse,snail,squid,tiger,walrus,worm
badger,0.0,6.389615350814094,2.4618819118496935,3.3262321878577374,5.239143461996717,3.082068715991302,10.345578075107575,4.73385129379225,4.011949816040365,4.618180630335118,3.759111203975716,6.525833565679733,3.914627251102029,5.417030374605596,5.121244946007178,2.4528280455846914,5.516102199130843,3.3653141417134442,4.651350565045603,4.532834927180076,3.5635935290155056,3.349236940954286,6.75175048373301
barnacle,6.389615350814094,0.0,6.249556405532177,7.467244466652656,10.232987438169529,5.6196719427981074,5.350594759001151,4.347728693995255,9.231742099699366,9.898817638782978,6.134872212740036,11.140115343059287,4.423334234169306,10.553078974010367,2.554567729633886,7.073929423322304,2.89634262218915,5.352604565519674,3.864721153407868,3.8118374183324324,7.7500427268392595,7.38392545105498,2.500442352223604
bat1,2.4618819118496935,6.249556405532177,0.0,2.922810479651996,5.195058314588296,3.1185413608034485,10.404057366637998,4.506367997371879,4.1122218056107815,4.6611927802052255,3.2806807047363926,6.281589899483429,3.7722812909163004,5.312065066591782,4.810143965984797,2.4616786804146678,5.181788448805477,2.937748314404254,4.357212360355623,4.235209658629285,3.404124756056183,2.6659328838021654,6.7541091377094835
cardinal,3.3262321878577374,7.467244466652656,2.922810479651996,0.0,4.966258944315349,3.515393014942918,11.464097851081243,5.440955845986127,3.8981441179286698,4.356212394965597,3.49590156449251,5.920086535400031,4.308117194729638,5.109523067431098,5.986521554283194,2.831442045263279,6.406217604804251,3.2627826225112737,5.6821716752026115,5.333463768856275,3.3422564371989107,3.0696227126486386,7.778001149745449
cat,5.239143461996717,10.232987438169529,5.195058314588296,4.966258944315349,0.0,5.943655567366849,14.559419367123667,8.475872261283468,3.299979977076936,2.910484915913719,6.200501157319421,2.7887196621284533,7.3472541229170645,3.280879096316616,8.764054924145805,4.395139751504477,9.28425316803501,6.681916057748111,8.662098683692573,8.413194933247738,4.20649771247977,4.33549857889435,10.876836655949939
cheetah,3.082068715991302,5.6196719427981074,3.1185413608034485,3.515393014942918,5.943655567366849,0.0,9.878111284657335,3.9108747981924874,4.6586528849355,5.344968631408848,2.7209867362044395,6.72040389951417,2.886132669662508,6.237491804056857,4.4870989279564135,3.091695627051957,5.0550554458124894,2.9019352179835134,4.644086017623146,4.226683856298223,3.2476202892903925,3.556165751825654,5.929351769679065
chicken_wire,10.345578075107575,5.350594759001151,10.404057366637998,11.464097851081243,14.559419367123667,9.878111284657335,0.0,7.717297747901657,13.543527496987714,14.105448448326202,10.13136153063188,15.522723523871006,8.265552562392731,14.86867326369068,6.477565731998299,11.134694340508975,5.915566714222416,9.191376438953503,6.942586417836872,7.369213695138001,12.159329073300874,11.769300303634907,4.763268383354133
cockroach,4.73385129379225,4.347728693995255,4.506367997371879,5.440955845986127,8.475872261283468,3.9108747981924874,7.717297747901657,0.0,7.182288502384045,8.027062644987694,3.937814209783427,9.3625602299522,2.952100782986954,8.8405353182064,3.639523133702473,5.103359110854203,3.7773539594629493,3.744771080736858,3.430723191328201,3.0515805835021332,5.860075174244666,5.597987396567964,4.044516899653527
duckling,4.011949816040365,9.231742099699366,4.1122218056107815,3.8981441179286698,3.299979977076936,4.6586528849355,13.543527496987714,7.182288502384045,0.0,2.642873609113023,5.0511983350991665,4.126503431406991,6.259065153326701,2.951418046383005,7.903643064029054,3.5395254855993747,8.378830879588397,5.519964200991766,7.577181344058755,7.383250443703975,2.8788465551071556,3.5382077417815854,9.662165097922356
ferret,4.618180630335118,9.898817638782978,4.6611927802052255,4.356212394965597,2.910484915913719,5.344968631408848,14.105448448326202,8.027062644987694,2.642873609113023,0.0,5.752928105131641,3.70109386880976,7.007952606337237,2.7816119087756443,8.48928911531149,3.8833162804329135,8.889334353291945,6.044730698224303,8.161518782110067,8.091593669983917,3.4560278068442,3.8905927348672487,10.405341500963637
flamingo,3.759111203975716,6.134872212740036,3.2806807047363926,3.49590156449251,6.200501157319421,2.7209867362044395,10.13136153063188,3.937814209783427,5.0511983350991665,5.752928105131641,0.0,6.949450148854414,2.8056275847286676,6.824039316632762,4.807496822025507,3.4266561135698224,5.167550300660818,2.720335797304515,4.607831479518089,4.1518880247730685,4.128064536794458,3.9937646127565114,6.326526349376347
fox,6.525833565679733,11.140115343059287,6.281589899483429,5.920086535400031,2.7887196621284533,6.72040389951417,15.522723523871006,9.3625602299522,4.126503431406991,3.70109386880976,6.949450148854414,0.0,8.242588567051216,4.016875886850668,9.714727029731675,5.618160546332312,10.273887649027563,7.756314582176875,9.771390406713847,9.543259164740942,4.93754358819581,5.216908841168366,11.789073078413493
giraffe,3.914627251102029,4.423334234169306,3.7722812909163004,4.308117194729638,7.3472541229170645,2.886132669662508,8.265552562392731,2.952100782986954,6.259065153326701,7.007952606337237,2.8056275847286676,8.242588567051216,0.0,7.976853596940782,3.294036026521007,4.128116826421444,3.679515186439889,2.755797065443041,3.3117681062015185,2.925265573655721,5.022590380737072,4.842610489189883,4.6254464687837595
