,animal,body part,clothing,clothing accessory,container,dessert,drink,electronic device,food,furniture,home decor,kitchen appliance,kitchen tool,medical equipment,musical instrument,office supply,part of car,plant,sports equipment,tool,toy,vehicle,weapon
animal,0.0,3.5868928640332003,3.464698851176053,5.458227061838138,6.153213990356001,4.865328556287279,5.725426560187697,6.551175663397865,5.522740900807758,6.883852454106206,5.482081909350163,6.885351244280767,6.14868570032148,6.0358673402462815,6.152690540959089,7.190091290057952,6.7700153142561,6.899803664155721,6.060949460844568,6.472373874273691,3.7916490917445054,6.795376443453321,6.304478153560914
body part,3.5868928640332003,0.0,1.5463174172613632,2.8035558910472855,3.3162308766999065,2.417860212537918,2.9187303903735633,3.7295665843924106,2.991581456090272,4.115236044777139,3.1152488938666214,4.2116475884511395,3.281444312740192,3.1270643178252784,3.3814689117590233,4.248969194312962,3.903878441359343,4.529059416705835,3.350764382445272,3.6895791401032225,1.8720552213601578,4.27252401797067,3.623543590456847
clothing,3.464698851176053,1.5463174172613632,0.0,2.406081456720435,3.0130690714262736,2.0713286754980262,2.717127457650973,3.4127577514657155,2.6672028874806246,3.783551082217678,2.5168540135331883,3.838013579016821,3.008936233817482,2.8704247023108507,3.0229484387886125,4.046783877207935,3.66597482016348,4.06106398531915,2.973422774270376,3.363015103976406,1.147011745267669,3.8127433522655085,3.2624385088780468
clothing accessory,5.458227061838138,2.8035558910472855,2.406081456720435,0.0,0.9759651611497959,1.2378126756269163,0.9771978938058592,1.324806325628698,1.202057198773687,1.6615639454618907,1.010064426732143,1.8271326020325986,1.0130626090425427,1.1160637399762214,0.9771190958558057,1.8809752510822393,1.4822258027640012,2.1854701989350307,0.8660787822940241,1.261121442764213,1.8796919618347494,1.8074238384709227,1.1868714405974972
container,6.153213990356001,3.3162308766999065,3.0130690714262736,0.9759651611497959,0.0,1.654784806852739,0.9472556903942067,0.6032255503676683,1.34717806167705,1.0001437428523747,1.1363352263004773,1.1815641257699925,0.6988827621807657,0.8288803414080536,0.5105368187730988,1.2213130122180476,0.8243711424550756,1.7794886958336795,0.49666182426823696,0.7822266209043262,2.5382363707159343,1.276123219268615,0.7718115126678815
dessert,4.865328556287279,2.417860212537918,2.0713286754980262,1.2378126756269163,1.654784806852739,0.0,1.1213106065514553,2.0440132828844924,0.7920837097696029,2.4288443873957317,1.21978458158817,2.4515707304339993,1.88247673004086,1.951602054265828,1.749777215006182,2.728393916231858,2.230641430090911,2.402244020465298,1.5854202556951151,2.0696887093574787,1.4546075785577262,2.4695457299296923,1.9591844187875032
drink,5.725426560187697,2.9187303903735633,2.717127457650973,0.9771978938058592,0.9472556903942067,1.1213106065514553,0.0,1.3262348426229282,0.9068833725986776,1.6899565175096258,1.2016985134555773,1.7882389766389395,1.2387300114361446,1.3624962661381272,1.1538114339683803,1.8848098470484151,1.4468350059910837,2.015521600919302,0.98656125653288,1.3755998019359053,2.1605887900585423,1.93896509087351,1.3819877434058714
electronic device,6.551175663397865,3.7295665843924106,3.4127577514657155,1.324806325628698,0.6032255503676683,2.0440132828844924,1.3262348426229282,0.0,1.6807005029770166,0.8329737912150259,1.3868153416190616,0.8962175298271743,0.9027108437720031,1.0291655917351112,0.6508385599645968,0.9768006418376805,0.5898083327359566,1.7149327380363508,0.6870006065650041,0.8168255090673803,2.9060197559928307,0.9909352625710058,0.8107806188875827
food,5.522740900807758,2.991581456090272,2.6672028874806246,1.202057198773687,1.34717806167705,0.7920837097696029,0.9068833725986776,1.6807005029770166,0.0,1.960307940155363,1.1225727155878071,2.04116929870801,1.6363511575978091,1.799763995244923,1.4347306987144322,2.286628439763359,1.794338203887805,1.823947284702137,1.2651716101079182,1.6741263521957217,2.0424651940424967,2.058544157575395,1.5902244419581912
furniture,6.883852454106206,4.115236044777139,3.783551082217678,1.6615639454618907,1.0001437428523747,2.4288443873957317,1.6899565175096258,0.8329737912150259,1.960307940155363,0.0,1.7413886844884359,1.0363743309744957,1.0563227536356228,1.2389730041085731,0.980907791553648,0.7574882761047017,0.8155199791670285,1.6672491625013,1.0364553696399301,0.7070511145364565,3.2952425276379436,0.9874721437678767,0.7678582054498533
home decor,5.482081909350163,3.1152488938666214,2.5168540135331883,1.010064426732143,1.1363352263004773,1.21978458158817,1.2016985134555773,1.3868153416190616,1.1225727155878071,1.7413886844884359,0.0,1.736085991613477,1.4141727695239918,1.5200791051681644,1.0862794952446888,2.151801923088165,1.6748295812095182,1.7069563163719979,0.9672467480952092,1.4471794941844018,1.913653102201582,1.6064942882660591,1.301412922937002
kitchen appliance,6.885351244280767,4.2116475884511395,3.838013579016821,1.8271326020325986,1.1815641257699925,2.4515707304339993,1.7882389766389395,0.8962175298271743,2.04116929870801,1.0363743309744957,1.736085991613477,0.0,1.4506831755715661,1.5899693834564745,1.2092643709462643,1.2464442394414725,0.9804545192950418,1.666917927766983,1.2115068279033296,1.2284990982629838,3.3090123482487015,1.050432635228912,1.1851281294798797
kitchen tool,6.14868570032148,3.281444312740192,3.008936233817482,1.0130626090425427,0.6988827621807657,1.88247673004086,1.2387300114361446,0.9027108437720031,1.6363511575978091,1.0563227536356228,1.4141727695239918,1.4506831755715661,0.0,0.5554816073188753,0.6718272702211538,1.2059655606066948,1.0413624041661222,2.13837066496407,0.6838232029522071,0.615914513279689,2.5608194584902546,1.445847657682596,0.718847841212909
medical equipment,6.0358673402462815,3.1270643178252784,2.8704247023108507,1.1160637399762214,0.8288803414080536,1.951602054265828,1.3624962661381272,1.0291655917351112,1.799763995244923,1.2389730041085731,1.5200791051681644,1.5899693834564745,0.5554816073188753,0.0,0.8068933111624293,1.3412860441536338,1.2156745939715465,2.3776754486007827,0.8876482479626491,0.9035476971819784,2.5123333454990258,1.554136372745209,0.9258833621642502
musical instrument,6.152690540959089,3.3814689117590233,3.0229484387886125,0.9771190958558057,0.5105368187730988,1.749777215006182,1.1538114339683803,0.6508385599645968,1.4347306987144322,0.980907791553648,1.0862794952446888,1.2092643709462643,0.6718272702211538,0.8068933111624293,0.0,1.247572480041395,0.8639351096258193,1.7741249539779647,0.43364630906497487,0.6503841117181068,2.5177941810504096,1.1598552226908254,0.6112015382777188
office supply,7.190091290057952,4.248969194312962,4.046783877207935,1.8809752510822393,1.2213130122180476,2.728393916231858,1.8848098470484151,0.9768006418376805,2.286628439763359,0.7574882761047017,2.151801923088165,1.2464442394414725,1.2059655606066948,1.3412860441536338,1.247572480041395,0.0,0.8288736351317365,2.0675538924071435,1.3406214619800128,1.0044815445167201,3.5897401814440597,1.3106869938983026,1.1446787551050623
part of car,6.7700153142561,3.903878441359343,3.66597482016348,1.4822258027640012,0.8243711424550756,2.230641430090911,1.4468350059910837,0.5898083327359566,1.794338203887805,0.8155199791670285,1.6748295812095182,0.9804545192950418,1.0413624041661222,1.2156745939715465,0.8639351096258193,0.8288736351317365,0.0,1.71542381034957,0.8920738480734962,0.8592511081189679,3.164081857030654,1.148223433732677,0.9003905761429886
plant,6.899803664155721,4.529059416705835,4.06106398531915,2.1854701989350307,1.7794886958336795,2.402244020465298,2.015521600919302,1.7149327380363508,1.823947284702137,1.6672491625013,1.7069563163719979,1.666917927766983,2.13837066496407,2.3776754486007827,1.7741249539779647,2.0675538924071435,1.71542381034957,0.0,1.6856341929175604,1.7818483657868092,3.466537381025116,1.466146421074215,1.728703923600098
sports equipment,6.060949460844568,3.350764382445272,2.973422774270376,0.8660787822940241,0.49666182426823696,1.5854202556951151,0.98656125653288,0.6870006065650041,1.2651716101079182,1.0364553696399301,0.9672467480952092,1.2115068279033296,0.6838232029522071,0.8876482479626491,0.43364630906497487,1.3406214619800128,0.8920738480734962,1.6856341929175604,0.0,0.674314144000088,2.4096436967229957,1.1743753703792552,0.6124781896135115
tool,6.472373874273691,3.6895791401032225,3.363015103976406,1.261121442764213,0.7822266209043262,2.0696887093574787,1.3755998019359053,0.8168255090673803,1.6741263521957217,0.7070511145364565,1.4471794941844018,1.2284990982629838,0.615914513279689,0.9035476971819784,0.6503841117181068,1.0044815445167201,0.8592511081189679,1.7818483657868092,0.674314144000088,0.0,2.8516272041162365,1.1573327122513004,0.47173056964808346
toy,3.7916490917445054,1.8720552213601578,1.147011745267669,1.8796919618347494,2.5382363707159343,1.4546075785577262,2.1605887900585423,2.9060197559928307,2.0424651940424967,3.2952425276379436,1.913653102201582,3.3090123482487015,2.5608194584902546,2.5123333454990258,2.5177941810504096,3.5897401814440597,3.164081857030654,3.466537381025116,2.4096436967229957,2.8516272041162365,0.0,3.252778436350883,2.7192650813766077
