,badger,barnacle,bat1,cardinal,cat,cheetah,chicken_wire,cockroach,duckling,ferret,flamingo,fox,giraffe,guinea_pig,oyster,rabbit,scallop,seahorse,snail,squid,tiger,walrus,worm
badger,0.0,4.572578773990906,3.1471712904554794,6.780346682239432,3.739540775603253,5.423584340187377,5.290291647962553,4.291145327407436,3.9342732289021543,3.308935656664801,4.796134922690978,3.9085884906224093,3.6399333467702966,3.523578027785628,3.5061515501732807,3.392721993143278,4.63776294715593,3.651202066610048,4.349114755501797,3.459057564063757,5.960082608625116,3.985221456445075,4.601878551986244
barnacle,4.572578773990906,0.0,4.67436692527494,9.205162954565838,3.700656957084239,3.487800024347225,6.983969824431848,4.827241497195915,4.140989456236907,5.293969277021312,6.876462374128934,4.449931334973731,3.6103029757839518,3.9282407375332986,4.047495426791908,5.109355524688863,4.452315033253204,5.805756716882154,6.914145766968856,4.926348418772761,3.6930303414781918,5.797311092297247,3.146987545343938
bat1,3.1471712904554794,4.67436692527494,0.0,6.396756699754256,3.9025963356023525,5.865024587917486,5.8325049100027835,4.208062220424857,4.339582917591828,3.8924743435686513,4.768598266528388,3.6448505354841654,4.312271988052658,3.483469278113604,3.4157329829883687,3.8969655033197155,3.935562285254057,3.569042532964881,4.235441682545168,3.1659632104325266,6.19731298764273,4.358079990399055,5.092309982009498
cardinal,6.780346682239432,9.205162954565838,6.396756699754256,0.0,7.372568807045332,10.097818970223015,6.543233059348159,6.377604278798409,7.439696110399462,5.943741016505705,4.142724536490367,6.829027756829927,8.270240408743517,6.996165758840287,6.7107821734659785,6.374254483379743,6.764409126421525,4.9099081761382495,3.97098640763283,5.899999457575586,10.294837489294387,5.70737016365022,9.088116779257748
cat,3.739540775603253,3.700656957084239,3.9025963356023525,7.372568807045332,0.0,4.432974633662633,5.392696406310152,3.602261140168168,2.9655465284542255,3.812669765877982,4.98443437545438,3.3012626505130154,3.158612410078773,2.6261816234238844,3.27552153800617,3.884698641835701,3.445569504664684,4.489326224464712,5.1634633930713365,3.583357993108089,4.444563393403797,4.27635073896568,3.5910250694947567
cheetah,5.423584340187377,3.487800024347225,5.865024587917486,10.097818970223015,4.432974633662633,0.0,7.129279750187753,6.010324755583027,4.993906608734715,5.960264712063054,7.928142323539405,5.522737538230966,4.029849186781754,4.599718197839265,5.055081951992771,5.562312434303706,5.480683457257868,6.508558991422104,7.76106280632145,5.92593764707659,3.8472567287418378,6.023289956535912,3.1950603963781354
chicken_wire,5.290291647962553,6.983969824431848,5.8325049100027835,6.543233059348159,5.392696406310152,7.129279750187753,0.0,5.227174629035669,5.0337781979774,4.100692838024291,4.79250753007332,5.852010921394734,5.496649026492321,5.141393013208489,5.550186474961118,4.229084043795109,6.0793915049232465,5.376335240626773,5.31842749870282,5.415044893348911,7.715337283565154,4.1687862288235,6.129214644443991
cockroach,4.291145327407436,4.827241497195915,4.208062220424857,6.377604278798409,3.602261140168168,6.010324755583027,5.227174629035669,0.0,3.7744987503626506,4.216085721599245,3.9951444995634056,3.9879617733982133,4.43540617393788,3.793920636489574,4.2531965150862,4.499328553281662,3.9732164291062975,4.464109282068056,5.010922166360034,4.057003382029469,5.909794427353562,4.434230551465216,5.005789417939129
duckling,3.9342732289021543,4.140989456236907,4.339582917591828,7.439696110399462,2.9655465284542255,4.993906608734715,5.0337781979774,3.7744987503626506,0.0,3.5020262456730133,4.7796922665483175,3.349987121981002,3.362874520909509,3.0105412503802227,3.47722741977138,3.6401139861465928,3.716665954634654,4.751450945285237,5.221945119955325,3.752692334536231,4.8973265106929675,4.389659519717688,3.584745161563998
ferret,3.308935656664801,5.293969277021312,3.8924743435686513,5.943741016505705,3.812669765877982,5.960264712063054,4.100692838024291,4.216085721599245,3.5020262456730133,0.0,3.995483367745854,3.683561415834918,4.047393796574284,3.2442288244274975,3.3518017110780076,2.5902393131151795,4.2190752173010715,3.5665386507125065,3.6786537360198253,3.4217693584428694,6.331046738034217,3.3329853055556096,4.664214723151261
flamingo,4.796134922690978,6.876462374128934,4.768598266528388,4.142724536490367,4.98443437545438,7.928142323539405,4.79250753007332,3.9951444995634056,4.7796922665483175,3.995483367745854,0.0,4.590047582137806,5.7483958313715835,4.881568927721769,4.789983398584709,4.427137206899886,4.760418255908871,4.021502035371828,3.4848398252639092,4.006446180373858,7.956222023315994,4.173547013007341,6.712052039696106
