,aardvark,alpaca,anteater,badger,bat1,beaver,bee,beetle,bison,boar,bug,butterfly,calf1,cardinal,caterpillar,catfish,chick,chihuahua,chipmunk,cobra,cockroach,coral,cow,crab,crow,deer,dolphin,dragonfly,duck,eagle,earwig,elephant,fish,fly,fox,gazelle,goat,goose,gorilla,grasshopper,guinea_pig,hawk,hippopotamus,hummingbird,iguana,kangaroo,koala,ladybug,leech,lightning_bug,lion,llama,maggot,meerkat,mongoose,moose,mosquito,moth,mussel,orangutan,otter,oyster,panther,peacock,penguin,pig,piglet,polar_bear,poodle,possum,praying_mantis,pug,rabbit,racehorse,rat,reindeer,rooster,scallop,sea_urchin,seahorse,shark,shrimp,sloth,snail,spider,squirrel,stingray,swordfish,tarantula,tiger,toucan,turtle,walrus,wasp,whale,worm,zebra
aardvark,0.0,2.448277366723288,2.8169826116586894,3.4981042180170476,2.9319994696181304,3.507940281413161,4.020985985377312,3.482491527265901,2.4242259504461785,3.2282332032384895,5.10715012680549,4.761874851565247,2.989066741933855,4.233032205397438,4.563869798771212,3.791065182470204,3.150696287185249,2.577039773332774,2.5192902522629095,5.39527698047723,4.253479510230227,7.372976148551399,3.062389756984062,4.326403051423417,3.0128436078008605,2.8920347648247113,4.049238355739488,4.711101087894019,3.130479334102114,3.8343548309504154,3.5760894901248315,2.8822637700787244,5.49743515270473,3.966002711134895,2.955273894956447,3.3957554202645794,2.9079933641371554,2.9752858354391325,2.7570851247631256,4.090176953782273,3.1465512198399557,2.9365895164157934,2.4779078121871287,2.899960059255946,4.240875756561557,2.7409988311152254,3.5279497800141675,3.750723606649495,3.8379671048926096,4.3336736361271875,3.0734172262032198,3.05736582640697,5.059449838995622,3.442414485425251,2.722673994868084,3.06772240133345,4.313022801069182,4.038981223968608,5.807286822627042,3.3791759685693616,3.8093483257464187,4.719445723765269,3.0378277387631076,5.768235199769106,4.040575465980238,2.4436476736718986,2.497857411739584,2.8302555187658496,2.749133484511356,2.843109196321398,4.3481569193133,2.8158597153826284,3.8878041664578387,3.9922415110607923,3.610909883557503,4.02384792719035,2.8571747534673304,3.875753859840039,6.378737726075038,4.1253881701371675,3.845179782065878,5.593364376742177,4.198580545817258,3.7379674656393305,5.324409860712099,3.2209277934536855,5.1622256119100856,4.174523669936139,3.9680217037651526,4.703154578780765,3.2811432798896614,3.5957460665480228,3.0347992404093787,4.3304903509270165,4.568149361198169,5.494622106432947,4.541462900420146
alpaca,2.448277366723288,0.0,3.3362215699902387,3.6897845880152844,3.0658590928225804,3.288060305874971,4.171881001889477,3.519380715804762,2.494939925209026,2.990300306873466,5.509589008934831,4.508268562821049,3.22155548936722,4.627638008183541,4.536807668070562,4.023798369054108,3.3412439026427667,2.831934105736539,2.709532541074465,5.350588718256182,4.380117208787829,7.238233393575884,3.2132145625645996,4.580166133915709,3.2976337367720197,2.990617493942319,4.315786344061575,4.894501309518894,3.186580302120835,3.994471705424404,3.8830066731402857,3.2190323660815165,5.312483123528633,4.498767444901959,3.074209089628077,3.9512804840896725,2.831627565125189,2.9434820073490138,2.986730815654554,4.186048829974394,3.2356346506459017,3.1252104984550764,2.5451888537774385,3.4092286956501483,4.009355986334509,3.045090615803249,3.504205086409954,4.0373747790949475,4.056452461984858,4.926797249549631,2.9627325105391855,2.7107554113218764,5.224904006786341,3.779832416291457,2.8225041849136074,2.779742248844062,4.339642534027762,3.87976050580204,5.7411885801738975,3.4176700528227477,3.6313020599470107,4.838353504411588,2.9925402813676114,5.7582374775689305,4.080849887313962,2.2140728718466116,2.7929896864325463,3.0789420956465348,2.893806409097481,2.8289705080018166,4.7127320459730395,2.918184438551796,3.4488489519257377,3.751990383416653,3.296501988327692,3.6653195359446036,2.518242801117241,4.228972181432035,6.048878735278221,4.236948019280157,4.064199963677093,5.435199826878745,3.971880896093242,4.341531984487581,5.507369633718466,3.0666673599140863,5.184745873557588,4.650468015033763,3.9762307993256782,4.3560591113543286,3.5521660176634198,3.652464162932442,3.0646224314121446,4.322852005511122,4.72662337189424,5.445473883820291,4.32757776357387
anteater,2.8169826116586894,3.3362215699902387,0.0,3.7849100002119886,3.163030786118993,3.2078631887001565,4.111544147728485,3.102432868718737,3.219235176913135,3.3345093899047686,5.865075227594365,4.178469892886614,3.1740722442395937,5.249950685162285,4.136084876450008,4.391460670158862,4.305072152162358,3.188572403076787,2.9279641463145683,4.803633780829224,3.7821541488342265,6.587089024447614,2.705977773882863,4.231489632493382,3.1446541242600023,3.4138644727319054,4.278556030413195,4.449359811477668,3.268619934344421,4.149630110130422,3.597696723922245,2.9851295958048953,5.228803529756456,4.5568303188784345,3.108711406061389,4.367891661217077,3.609671926961884,2.902011538716981,2.521186115740862,4.291583396058164,2.934130437015004,2.982052816017095,2.963368370964958,3.501324114202488,3.5780092802455474,3.4186283953606496,3.306866750074372,4.0018618620381305,3.5136944833227783,4.967843816625088,2.77016858604942,3.7336351506196133,4.2008975699177515,4.1773693808105765,2.667066481727459,2.9997519756342856,3.9247843167974046,3.897678739095752,4.994451711211274,3.167409002323146,3.7661069845688107,4.33211889001905,2.9207992107063045,5.13135050914472,4.156043929059958,3.3251775023805803,3.4375001614608007,3.931789256297149,2.447251646500919,3.058642979679299,4.614151657099909,2.815964247241911,3.723304114192811,3.95908461335053,3.88304918357837,4.087068712182883,3.3202928078478773,3.7703765774624847,5.378784608800625,4.337424917347593,4.1139857497219126,5.097475796699906,3.654179494844607,4.510944844853503,4.292610054421346,2.982264404945705,5.6428190355471655,4.1907793285599535,3.323164576507,4.163801018910636,3.232224280164149,4.1907211121352805,3.1901126267983972,4.283453173279304,4.376715839894591,4.783731057580508,3.842462069637717
badger,3.4981042180170476,3.6897845880152844,3.7849100002119886,0.0,2.7393476899360185,3.1131745177345276,3.1667646008430546,4.5799104369035035,4.275924661609935,3.495623703859705,4.366874471840703,3.7478269768275476,4.781256664304769,4.148226306547003,3.2371902103813968,2.8519380250839617,3.364621080514267,3.9787659074779405,3.4999642902006665,4.081871122130429,5.5734387278414,5.695342571152568,4.258675917624418,3.1738659557860656,3.3318119203520045,4.739005841671983,3.512750102530953,3.762083367566287,2.9615460059738203,2.520151798367441,3.53733102772413,4.74202437730632,3.6674809646637563,4.980163630340425,4.683914957901449,5.618471998484981,4.313260729705542,3.97345288856524,3.8321338405155596,3.8124953623732587,4.042027451654353,4.143304305289878,4.1820895724291685,4.451210551940163,3.6844963646350117,4.093829051563529,3.0185699024147317,4.192970234238323,2.7710362201936896,4.1587167704058245,3.9021688841170468,4.867298369977491,4.581358269989168,2.83210378652922,4.176475435587131,4.176398042398717,4.481771188650121,3.054932671228571,4.639222879231902,4.103118020553429,2.7885967488611842,3.5763299547363276,2.8072184443686563,4.039617690971722,2.810662810675198,3.920315009961352,3.342132770737746,3.0934478223662873,3.404125122343081,3.0071736710944945,3.9520495770511923,3.5359500788866094,3.132628928200271,5.764345619540647,2.640590224466948,5.516025894928897,3.3559033126960105,3.5499096349160957,4.89957625616067,3.2220409880438794,3.2784614132061822,4.2886388442326435,3.44822039423482,3.463168695532098,5.208034825671298,3.835638092456341,3.563120292281361,4.336256866185543,4.161890203312472,3.960815988225923,3.817960791230316,3.0416762939378,2.764841504249457,3.3896876959607276,2.998062526907497,4.271767084243167,4.486526341716071
bat1,2.9319994696181304,3.0658590928225804,3.163030786118993,2.7393476899360185,0.0,3.0732953499255076,2.9871774322333335,3.3686280693459207,3.552301162584478,3.4533311716712456,4.544944272169748,3.2201544624398095,3.817289129815126,4.321381451875455,3.301425044466665,3.1284990933120542,3.661535624657633,3.3509352287700502,3.0915425017244687,4.099426122410566,4.5910771341374295,5.948383637509777,3.2997466730947576,3.5193470525126753,2.972120001168553,3.7953361647344828,3.71203796530213,3.481935343840524,2.6797818121688888,3.1883316585915495,3.33432293973447,3.726598356237974,3.966354496870397,4.4299334020887144,3.6761857699004494,4.998556897128883,3.6475746557056055,3.290099535099488,3.154528559516794,3.489339642591221,3.223895424666897,2.9946040637026847,3.22613025257425,3.5902370821285947,3.2624460514664677,3.3958371765766158,2.887054632402023,3.2845637115948434,3.0119654086147243,4.110521568901173,3.234938215443888,4.210685540059573,4.18866710611388,2.9222472869093843,3.374465682218823,3.3743489455551803,3.5167464068040455,2.835247796140111,4.445341292226588,3.4289857709961473,2.8908872710375317,3.484586503211049,2.6234172990056743,4.324501442235877,2.967933406492657,3.2411388967192925,2.9283950654473965,3.236322275355765,2.951673482023415,2.7827394618956838,3.564543898355478,2.862790859448131,3.123387001582825,4.678177400248473,2.7372024952460166,4.627522640310214,3.060644335283037,3.3733759152730483,4.8815546080682255,3.2466986920124956,3.5134172123989846,4.267174172299636,3.2045976241434886,3.6084159371337647,4.275914463764936,3.2837089120868392,4.376901170298715,3.8429401020633165,3.3546318824904464,3.3830944962158234,3.1743557439614096,2.852004547505365,2.6719532896161944,3.125412532030604,3.4598229971942693,4.144379255834719,3.8320907473473347
beaver,3.507940281413161,3.288060305874971,3.2078631887001565,3.1131745177345276,3.0732953499255076,0.0,3.8832223562467525,3.9347454509496713,3.7984291143237043,3.0298697824067173,5.504696339287554,3.4507786420569615,4.137014244622676,5.240643358768878,3.077990059521984,3.72838541905208,4.166259748567184,3.931675828707249,3.1719807991154227,3.886231569054435,4.8774981213334385,5.318693901635287,3.7986018851483827,3.5823949915149007,3.443104599640268,4.336184609785067,4.0278699855751485,3.76472999374515,3.4006740535027578,3.6334432159853653,3.9047315289605047,4.173950302670356,4.0351909439547855,5.41170050139524,4.137019326558348,5.6643047567457145,4.204426680712768,3.403134415803615,3.185484332204101,4.0492424694217695,3.271750400845942,3.65081154909599,3.764032927886412,4.463557689200819,2.960918692261339,4.124783661489173,2.8734583626434334,4.405773922521162,3.0474851513613177,5.217368142990049,3.190850763751838,4.4231859706058945,4.188602641871629,3.983605363858645,3.4528323789743123,3.485862894391031,4.225538242949512,2.8417157248870364,4.122892765524897,3.4021766251181176,2.7265702249526202,3.7184278069656282,2.65227379220473,4.227250031946212,3.850026292545191,3.8552953168169832,3.7909267478299045,3.9888689362082554,3.0494776158607624,2.7671405422877666,4.6650513495986745,3.2806613332923105,2.8245460758382954,4.902105094807128,3.1693653054755107,5.030121948264894,3.1698057252513965,3.6485262674351855,4.161658672005341,3.93504627294809,3.5712948617101192,4.386308759602728,2.806722654082467,4.326984796587185,4.488912781554878,3.1142924127422225,4.69118351095815,4.734768781170022,3.3890432412871916,3.1417618597747006,3.9750448808799637,3.755944634065877,2.422736492090891,3.845032448945891,3.7097862244291924,3.9254028957990585,3.4049259465404984
bee,4.020985985377312,4.171881001889477,4.111544147728485,3.1667646008430546,2.9871774322333335,3.8832223562467525,0.0,4.141890648221892,4.817460585118183,4.551456155572586,3.6797860309214396,3.2831288798458877,4.916670619534919,3.637954144379287,3.155920033262352,2.777244099654636,3.486149189207738,4.120602092740788,4.13655461769007,4.414852721358674,5.371963619210199,5.850101776167483,3.8112628226287333,2.7808408345627247,3.61755677707883,4.603623168747264,3.1128459899228766,3.241894732504276,3.160151849980108,2.8870508438800555,2.7580770483307466,4.966833581278713,3.7571350903238905,4.310530760496415,4.702569155314122,5.601205229578107,4.588916988539458,4.143247988922537,4.487316048737875,2.876088309582274,4.564060050652298,4.299337564200972,4.440689790213267,4.461281889706874,4.127470462252458,3.918037267330663,3.7661452240815168,3.0423434030823415,3.040603526073905,3.386615557158951,4.1600774214374345,5.2273851347782605,4.085871778789922,3.1103752897573815,4.494468274755234,4.41779262496574,3.623766846353291,3.350442415272623,4.452937376928707,4.630952363486086,3.3408336556931477,3.123517077429303,3.5394216225504502,4.140407808156727,2.762243872475337,4.251212134041544,3.891951645931349,3.72463486317575,3.9242148902103007,4.077432222685413,3.0131867832826176,3.8179027385122573,3.9830543919504606,5.513655789055666,3.31528285349843,5.400483377197276,3.920971010239235,2.822358704735911,5.4037836268116015,3.0664494309794286,2.9544582684533283,3.8186905837477747,4.007420607261969,3.185723108615991,4.881039099617002,4.518613718025099,3.5579412765159897,3.912972212907248,3.9434245052005665,4.2798265735766625,3.547946483854487,3.0426845826813285,3.4409626745088704,2.2864007321379503,3.150749467094589,4.289552111418922,4.724359768950192
beetle,3.482491527265901,3.519380715804762,3.102432868718737,4.5799104369035035,3.3686280693459207,3.9347454509496713,4.141890648221892,0.0,3.572976796521659,4.118150554779887,5.432149943729837,4.174994264253077,3.366497364597874,4.892619333912981,4.478249877111684,4.44814514204026,4.518164071047877,3.726774828151644,3.4833272168119764,5.604548608479725,2.7718055339768846,7.340942540149738,2.5453468288972876,4.566681858248135,3.3692897262827364,3.3363441584811677,4.550586017640452,4.538679351269299,3.4077014054767054,4.529951928457978,3.3324137406779086,3.324623790111928,5.706864813593221,3.7298903457356705,3.4703596830673327,4.09621244007092,3.8040813454972224,2.96325272970642,3.3445740805136395,3.9868366935086246,3.483189564380807,2.7582704369546636,2.921108996633458,3.0328077176419,4.007031557355092,3.390007050254257,4.234775073417558,3.1949603865186775,4.290525940908803,4.6983821377319535,3.3056985593719284,3.781817671701622,4.780741910318547,4.472786570304025,3.1062370671881103,3.104038772459725,3.0181503038562925,4.180908981072774,5.464436367384206,3.5972688229873238,4.340896073526447,4.734912636749438,3.534412123121186,5.850210246029554,4.4805537132171205,3.5589666854146804,3.8024739234775713,4.522532529997051,3.179681240599363,3.84015784798819,4.176627788403604,3.131603441771386,4.721325742645351,3.2943207682111257,4.548373124186228,3.7188715557709484,3.7197231017808896,4.164633480207283,6.024324969635789,4.470779373695706,4.193518791988482,5.669927247825922,4.559409440973913,4.59986252379612,4.2661793244485455,3.6687544915125225,5.8337524297589916,3.800294902034742,3.4940129945403813,4.642156635239014,3.094106785301949,4.074783990838592,3.697931829841572,4.112883387080617,4.9416026815106155,5.349073381525279,4.182723053129771
bison,2.4242259504461785,2.494939925209026,3.219235176913135,4.275924661609935,3.552301162584478,3.7984291143237043,4.817460585118183,3.572976796521659,0.0,3.042330548604646,6.066293427768768,5.181032809369774,2.8275464720233967,5.176872699172329,5.233129913791653,4.871346138855373,3.9420894391129147,2.7478664036630924,2.6396054473301547,6.04334625918728,4.125460079239586,7.852543123487736,3.2133708107897134,5.275269393550355,3.5428378729116465,3.0790404512929457,5.112241878923654,5.5814839683331225,3.8577266860188524,4.697960171703918,4.396353330181661,2.84114604855271,6.284301149743885,4.46974056459987,2.6548582336612903,3.6139699629559265,3.0932658497357917,3.1774366321854255,3.0095892928378443,4.964893762171265,3.0293073547071967,2.8875173165608725,2.4743562174558407,3.052540609996199,4.451205447548938,2.8813163857958326,4.018231244932669,4.263990677474329,4.741778242639049,5.449295827823812,3.0228115143835215,2.9825305944794196,5.744851846792229,4.354862085207476,2.9170912991126894,2.7964904442398493,4.773943172197808,4.428145005762223,6.364978073745098,3.394163716644052,4.305638419352354,5.565261931947668,3.490181388921683,6.528227819923636,4.800211205202812,2.3605914894441815,3.0289374743846302,3.7726629234753584,2.7610466232957767,2.9180409246229684,5.296193673000421,3.0473527966115475,4.238669851949227,3.57772312951012,4.033822636438087,3.886353187439783,3.067883229991605,4.780851066018467,6.718877147335259,5.086450980148949,4.857048165104308,6.269158838140867,4.5551674630358905,4.966666106200513,5.863259767011799,2.9274363071552134,6.206382267934527,5.0745118838987935,4.141940416692811,4.910508067064127,4.032749517567544,4.418742111831235,3.346785338698667,4.98866395502811,5.435054682727613,6.037491596608874,4.890380011936092
boar,3.2282332032384895,2.990300306873466,3.3345093899047686,3.495623703859705,3.4533311716712456,3.0298697824067173,4.551456155572586,4.118150554779887,3.042330548604646,0.0,5.925404558214815,4.583408564655295,3.649574113145706,5.369999811853819,4.392183748171812,4.519748971569787,4.279475972643485,3.771884494687825,2.9828974686014376,5.055006413194928,5.0176414728281715,6.477819495037427,3.7267940819784258,4.556257225241464,3.5587924175485637,3.9249123256715843,4.783355538169088,5.033384145607176,3.7464115565567258,4.065959579981699,4.474406188579381,3.8345561426395225,5.2613137041369775,5.379169925804415,3.738365163850232,5.077417954536206,3.783418925931783,3.5436365163437333,3.264194914306708,4.928448179998231,3.4746740085307506,3.5551317103587965,3.429006111435688,4.317304510868642,3.6234141180229122,3.8545235683964747,3.3940611066667974,4.871022983552574,4.107644147463558,5.742885435028755,3.4454418368018103,3.8179094996698786,5.266648827133372,4.103687231076546,3.2269707143443385,3.111249508039097,4.751642249636058,3.605705843549528,5.465071095075401,3.5595897227572206,3.5165284819699436,4.868034733455753,3.119625286174737,5.3048608172094,4.138549825033352,3.301951367812579,3.493755111873422,3.7398925735098354,2.8769832577636065,2.9761905558132846,5.3299697026661015,3.209235182149922,3.2626553970290737,4.706463925858072,3.542818583541205,4.558731731084965,3.2714858947628005,4.679558111691051,5.607417115552725,4.6411344206903005,4.546996675841147,5.315690536457259,3.686700604314784,4.990925063411321,5.425493057042993,2.7541179496110617,5.569386659613624,5.2768277576027485,3.939520118935286,3.9176033040147398,4.337754169037696,4.351308819505532,3.0164954951061063,4.618678662042616,4.547442479069119,4.933268801075399,4.011718528372302
