,animal,body part,clothing,clothing accessory,container,dessert,drink,electronic device,food,furniture,home decor,kitchen appliance,kitchen tool,medical equipment,musical instrument,office supply,part of car,plant,sports equipment,tool,toy,vehicle,weapon
animal,0.0,3.2775507168150018,3.0474124299494054,2.7958707262560623,3.730504416768565,2.6353041249665012,3.060150164686106,4.04137019276343,2.892493787661234,4.050729387267209,3.651196362523077,3.99779821981976,3.33638584897646,3.93830989736276,3.7097028018327878,4.607370983816996,4.158799072718751,4.455378603596089,3.456128356953019,3.3046692611559303,2.3857101798759146,3.840286239505999,3.2020249797489857
body part,3.2775507168150018,0.0,2.4028274591804606,2.516740434529334,2.48031474611368,2.428650580757592,2.331631322717958,2.9296680910839785,2.8845566393722573,2.8587989691146003,3.4012305657571575,3.3646260814341287,2.074504740695008,1.9751847886514617,3.052552676202658,2.3881908171279616,3.1061277988471288,4.417411816857778,2.657654713665019,2.399670102402422,2.9005038976611224,3.4795910803575025,2.5274331221512663
clothing,3.0474124299494054,2.4028274591804606,0.0,1.2691002045620596,1.1604339184512418,1.8042643453363327,1.4128397937562893,1.5500021390432852,1.7826234064970625,1.664369091923024,1.4329186486464784,1.8801747043475643,1.518238288654821,1.8755666322901827,1.3260411519718367,2.39209686839926,1.7264237423325668,2.552282420233731,1.1878504526416322,1.4610742721877807,1.5017007958247375,1.8178024170902056,1.5248796257873647
clothing accessory,2.7958707262560623,2.516740434529334,1.2691002045620596,0.0,1.4765015954608078,1.533196264266067,1.4461760430240442,1.602980119714102,1.5407097476897471,1.718314427177914,1.6563673097158562,1.9594472607566704,1.1720565569610188,1.8318377505219854,1.2638060391550328,2.423370533983117,1.7040299479642063,2.7735818675691943,0.9767040056867221,0.9642119526341705,1.0606330570430706,1.609926222202345,0.9478569238604001
container,3.730504416768565,2.48031474611368,1.1604339184512418,1.4765015954608078,0.0,1.8567349487356068,1.317797457187534,0.7860591526142475,1.883315996394576,0.8621417113649997,1.4439336352485115,1.3954691210705716,1.3151813279263604,1.4453200997197788,1.0229245230409827,1.700402187483828,1.0733584692533884,2.5086946199289595,0.8608452014608549,1.2791110062218145,1.937779230128074,1.4439016840888603,1.3054169502546495
dessert,2.6353041249665012,2.428650580757592,1.8042643453363327,1.533196264266067,1.8567349487356068,0.0,1.4019774422996103,2.157825318184142,0.8392213891577117,2.154387371715379,2.0219200865911784,2.2680980664552735,1.965049733630632,2.4543842716286335,2.027721233914165,2.8623692627262667,2.25685509130222,2.8129903220974914,1.7582003452689552,1.80573086874521,1.4460269637821537,2.162177404720599,1.6109002209325451
drink,3.060150164686106,2.331631322717958,1.4128397937562893,1.4461760430240442,1.317797457187534,1.4019774422996103,0.0,1.740544315726305,1.56156296262267,1.7280148222870213,1.9441929574644912,1.8494648325906018,1.6111711029466487,1.9673146063004645,1.6802897443643436,2.3971125698709512,1.8755515879210065,2.9775598298964314,1.400429423874664,1.611138246697131,1.492155188448527,2.0643120507584722,1.6207980567977707
electronic device,4.04137019276343,2.9296680910839785,1.5500021390432852,1.602980119714102,0.7860591526142475,2.157825318184142,1.740544315726305,0.0,2.0919512200096055,0.7484876275677341,1.4027287383941802,1.1699259940551092,1.4702658573221639,1.603703605119621,0.868469442655033,1.7514863796454645,0.6957137390330363,2.4616606328799513,0.8372823614967494,1.3299479766354243,2.079449110269085,1.083647025856155,1.3039639942742125
food,2.892493787661234,2.8845566393722573,1.7826234064970625,1.5407097476897471,1.883315996394576,0.8392213891577117,1.56156296262267,2.0919512200096055,0.0,2.1225466004430307,1.6488926684410987,2.1285954726606255,2.1219349421270017,2.671016185685119,1.8000054219032355,3.043956590003575,2.0594826705138765,2.289670400938027,1.6878450714172153,1.8140083481556186,1.3009519212061256,1.8978336025553066,1.6077255261410288
furniture,4.050729387267209,2.8587989691146003,1.664369091923024,1.718314427177914,0.8621417113649997,2.154387371715379,1.7280148222870213,0.7484876275677341,2.1225466004430307,0.0,1.6200494697298096,1.3836867474087504,1.4318978970600162,1.5110844544288462,1.0303303125806704,1.6748316964418617,1.0351961359215043,2.6124839670386613,0.984443674725001,1.2735102731968224,2.133939588687872,1.2434758516010869,1.3086279413211868
home decor,3.651196362523077,3.4012305657571575,1.4329186486464784,1.6563673097158562,1.4439336352485115,2.0219200865911784,1.9441929574644912,1.4027287383941802,1.6488926684410987,1.6200494697298096,0.0,1.5385029888757271,2.115722783223964,2.5245797789687163,1.0290364867740291,2.8045607913283166,1.441683406302793,1.4539602193319492,1.3087992956324748,1.7591811314020382,1.7151235666061695,1.0951112936467864,1.6149602686921993
kitchen appliance,3.99779821981976,3.3646260814341287,1.8801747043475643,1.9594472607566704,1.3954691210705716,2.2680980664552735,1.8494648325906018,1.1699259940551092,2.1285954726606255,1.3836867474087504,1.5385029888757271,0.0,2.1000948163910436,2.321640423760323,1.3403041378511098,2.518834879322842,1.3186362900306041,2.4427255615703882,1.4576785807683612,1.9193205979412733,2.1272678435329158,1.3774495291923146,1.8309611314371605
kitchen tool,3.33638584897646,2.074504740695008,1.518238288654821,1.1720565569610188,1.3151813279263604,1.965049733630632,1.6111711029466487,1.4702658573221639,2.1219349421270017,1.4318978970600162,2.115722783223964,2.1000948163910436,0.0,0.9828209240927858,1.4675904154811021,1.657914009888252,1.638327712251688,3.257945675070413,1.0525098726433828,0.674576985596446,1.811623926452148,1.9228347637319758,0.962967044747976
medical equipment,3.93830989736276,1.9751847886514617,1.8755666322901827,1.8318377505219854,1.4453200997197788,2.4543842716286335,1.9673146063004645,1.603703605119621,2.671016185685119,1.5110844544288462,2.5245797789687163,2.321640423760323,0.9828209240927858,0.0,1.8593536503459998,1.0010971894176772,1.8434339143068854,3.634788234323842,1.4866960257745596,1.3136995405687457,2.474030703801411,2.287009091796933,1.5730722650006952
musical instrument,3.7097028018327878,3.052552676202658,1.3260411519718367,1.2638060391550328,1.0229245230409827,2.027721233914165,1.6802897443643436,0.868469442655033,1.8000054219032355,1.0303303125806704,1.0290364867740291,1.3403041378511098,1.4675904154811021,1.8593536503459998,0.0,2.2066166957860087,0.9515237131190981,2.1200733108756524,0.6909166669662327,1.1474844646720976,1.6516750055104903,0.8940776905275488,1.1253528371617967
office supply,4.607370983816996,2.3881908171279616,2.39209686839926,2.423370533983117,1.700402187483828,2.8623692627262667,2.3971125698709512,1.7514863796454645,3.043956590003575,1.6748316964418617,2.8045607913283166,2.518834879322842,1.657914009888252,1.0010971894176772,2.2066166957860087,0.0,1.9386823201567862,3.7589814105951054,1.891942357293515,1.9011654130662234,3.0798720549876846,2.530159146900826,2.1034090520982582
part of car,4.158799072718751,3.1061277988471288,1.7264237423325668,1.7040299479642063,1.0733584692533884,2.25685509130222,1.8755515879210065,0.6957137390330363,2.0594826705138765,1.0351961359215043,1.441683406302793,1.3186362900306041,1.638327712251688,1.8434339143068854,0.9515237131190981,1.9386823201567862,0.0,2.326245631863701,0.9749619044894664,1.4251935019295139,2.1615737137709465,1.146478272002514,1.4138696314351353
plant,4.455378603596089,4.417411816857778,2.552282420233731,2.7735818675691943,2.5086946199289595,2.8129903220974914,2.9775598298964314,2.4616606328799513,2.289670400938027,2.6124839670386613,1.4539602193319492,2.4427255615703882,3.257945675070413,3.634788234323842,2.1200733108756524,3.7589814105951054,2.326245631863701,0.0,2.472509864434938,2.8470244888362726,2.756649795507673,1.977637373656981,2.6995653904388255
sports equipment,3.456128356953019,2.657654713665019,1.1878504526416322,0.9767040056867221,0.8608452014608549,1.7582003452689552,1.400429423874664,0.8372823614967494,1.6878450714172153,0.984443674725001,1.3087992956324748,1.4576785807683612,1.0525098726433828,1.4866960257745596,0.6909166669662327,1.891942357293515,0.9749619044894664,2.472509864434938,0.0,0.8104431212761984,1.479232753047381,1.092300871000224,0.8254676593467981
tool,3.3046692611559303,2.399670102402422,1.4610742721877807,0.9642119526341705,1.2791110062218145,1.80573086874521,1.611138246697131,1.3299479766354243,1.8140083481556186,1.2735102731968224,1.7591811314020382,1.9193205979412733,0.674576985596446,1.3136995405687457,1.1474844646720976,1.9011654130662234,1.4251935019295139,2.8470244888362726,0.8104431212761984,0.0,1.5596693435934326,1.533920891770471,0.5688583114306515
toy,2.3857101798759146,2.9005038976611224,1.5017007958247375,1.0606330570430706,1.937779230128074,1.4460269637821537,1.492155188448527,2.079449110269085,1.3009519212061256,2.133939588687872,1.7151235666061695,2.1272678435329158,1.811623926452148,2.474030703801411,1.6516750055104903,3.0798720549876846,2.1615737137709465,2.756649795507673,1.479232753047381,1.5596693435934326,0.0,1.8347301251122863,1.4164606628435294
vehicle,3.840286239505999,3.4795910803575025,1.8178024170902056,1.609926222202345,1.4439016840888603,2.162177404720599,2.0643120507584722,1.083647025856155,1.8978336025553066,1.2434758516010869,1.0951112936467864,1.3774495291923146,1.9228347637319758,2.287009091796933,0.8940776905275488,2.530159146900826,1.146478272002514,1.977637373656981,1.092300871000224,1.533920891770471,1.8347301251122863,0.0,1.3384342403898477
weapon,3.2020249797489857,2.5274331221512663,1.5248796257873647,0.9478569238604001,1.3054169502546495,1.6109002209325451,1.6207980567977707,1.3039639942742125,1.6077255261410288,1.3086279413211868,1.6149602686921993,1.8309611314371605,0.962967044747976,1.5730722650006952,1.1253528371617967,2.1034090520982582,1.4138696314351353,2.6995653904388255,0.8254676593467981,0.5688583114306515,1.4164606628435294,1.3384342403898477,0.0
