,badger,barnacle,bat1,cardinal,cat,cheetah,chicken_wire,cockroach,duckling,ferret,flamingo,fox,giraffe,guinea_pig,oyster,rabbit,scallop,seahorse,snail,squid,tiger,walrus,worm
badger,0.0,9.1487099145289,4.844540787909385,8.616536612190819,7.5767972486348905,7.275645571197589,13.962584674332783,8.4785904220968,6.965436259261256,6.555648936011391,7.550567306935617,8.933231612850477,6.182505728446358,7.622191687252471,7.163126721965131,5.22879450215459,8.033560047783222,5.91930434529842,7.248682545758715,6.32442096116163,7.994363441466924,5.89438094181089,9.220163492251283
barnacle,9.1487099145289,0.0,9.328539401552428,13.83339853810469,12.40791988390168,7.508613334982782,10.42745178487008,10.058427491451377,11.746026751692847,12.53666414416339,11.479138798491647,13.814689532940603,7.1951961511186955,12.892386455814695,5.746902599493634,9.914820354389146,6.761345084247687,9.389803111298265,9.83791956118182,7.300817468914908,9.589740971198614,10.512037028638634,5.2725587317260345
bat1,4.844540787909385,9.328539401552428,0.0,8.254432447384117,7.21236328016714,7.6020506528836,14.284028429364428,7.687205567064274,6.911642919085052,6.719298270473731,6.887928378974598,8.139880153056929,6.411550196961312,7.123629355353506,6.851792457666474,5.567921373486568,7.329341518515309,5.6488478610786705,7.067172799276797,6.2606866988956575,7.838372407070595,5.765361543350524,9.419420927698125
cardinal,8.616536612190819,13.83339853810469,8.254432447384117,0.0,10.433684464369989,12.34611046034284,16.22189940457262,10.117211583293573,10.306960081043009,9.026470094191529,6.6340303027909595,10.657179577006291,10.555517503580269,10.307664903406941,10.463878782901896,9.010109991105647,10.381415997728906,6.98866571581078,7.56484881225705,9.023899298661721,12.494630546991164,8.004430795001474,13.575811974803392
cat,7.5767972486348905,12.40791988390168,7.21236328016714,10.433684464369989,0.0,8.582763011256006,18.048264393633207,10.080446034107972,5.155339635753157,5.44422620822924,8.917001840243989,4.97494061757364,8.819846306217014,4.877390333458951,10.37725826103065,6.773389462695924,10.702781858967754,9.389142610076899,11.216819632465421,10.270168544499578,7.400535781184617,6.951858512594737,12.588418870859673
cheetah,7.275645571197589,7.508613334982782,7.6020506528836,12.34611046034284,8.582763011256006,0.0,13.800707597071819,9.385685734904264,8.015672438651706,8.948450336826584,9.890960007027868,10.028003175271083,5.777885590874381,8.949784427187549,7.538982276477828,7.02963791035821,8.426307327751912,8.396617255059084,10.453528539286221,8.120389231716615,5.612942703926755,7.740602138411035,7.358944767757567
chicken_wire,13.962584674332783,10.42745178487008,14.284028429364428,16.22189940457262,18.048264393633207,13.800707597071819,0.0,13.69086766044136,17.13731716499219,17.099895781387126,14.567733832751893,19.465400567203613,12.081982007440974,18.24100510321489,10.550705256866449,14.029460013726984,11.356797295074715,12.844234522338654,12.195520593428771,11.392470540948109,15.832283764418543,14.72402158325781,9.47832148312261
cockroach,8.4785904220968,10.058427491451377,7.687205567064274,10.117211583293573,10.080446034107972,9.385685734904264,13.69086766044136,0.0,9.172441208665768,10.19876221255567,6.713724000241949,10.958763414363853,7.219420608532678,10.39282686625601,8.259415329470187,8.858390746835088,7.62243852436334,8.060553410484015,8.245200132954944,7.966546513345568,10.159873192585318,8.59480601581058,9.11094592528438
duckling,6.965436259261256,11.746026751692847,6.911642919085052,10.306960081043009,5.155339635753157,8.015672438651706,17.13731716499219,9.172441208665768,0.0,5.103650065528788,8.146696370011892,6.044468829279605,8.08971067775781,4.903264081813254,9.80566597177738,6.036606213445691,10.086286131676236,8.993838257292914,10.616642968146051,9.609533009755367,6.972372179092249,6.53588669932789,11.483889988010732
ferret,6.555648936011391,12.53666414416339,6.719298270473731,9.026470094191529,5.44422620822924,8.948450336826584,17.099895781387126,10.19876221255567,5.103650065528788,0.0,8.063581081231423,6.056316074600761,8.786680949906692,4.981868044381287,10.00129627222609,5.495086861607119,10.51803113092152,8.258517386737582,9.97988169479162,9.694742140537153,8.15919375297195,5.818319904280483,12.359299738620384
flamingo,7.550567306935617,11.479138798491647,6.887928378974598,6.6340303027909595,8.917001840243989,9.890960007027868,14.567733832751893,6.713724000241949,8.146696370011892,8.063581081231423,0.0,9.197967926154355,7.603290198975114,9.308506175004874,8.39081261552201,7.368010323205353,8.125706672492027,6.313367531377298,7.084639888210368,7.373695126908813,10.342979493641028,7.046357630967734,10.85653626267828
fox,8.933231612850477,13.814689532940603,8.139880153056929,10.657179577006291,4.97494061757364,10.028003175271083,19.465400567203613,10.958763414363853,6.044468829279605,6.056316074600761,9.197967926154355,0.0,10.061891051541306,5.850119856191693,11.560974897133015,7.851036422084221,11.625975188442405,10.365173944372385,12.030814037984522,11.41978000279165,8.79996114655804,7.919624782552245,13.863095224457814
giraffe,6.182505728446358,7.1951961511186955,6.411550196961312,10.555517503580269,8.819846306217014,5.777885590874381,12.081982007440974,7.219420608532678,8.08971067775781,8.786680949906692,7.603290198975114,10.061891051541306,0.0,9.466571790738229,5.927775054515877,6.371891060832504,6.661172510605499,6.569527660148074,7.8399277786626484,5.996302164550063,7.275809165025905,7.288595421346084,6.5878504472637855
guinea_pig,7.622191687252471,12.892386455814695,7.123629355353506,10.307664903406941,4.877390333458951,8.949784427187549,18.24100510321489,10.39282686625601,4.903264081813254,4.981868044381287,9.308506175004874,5.850119856191693,9.466571790738229,0.0,10.796302982606312,6.99503007358757,11.09281073511148,9.52314622432378,11.32796099143596,10.587959816636449,7.364813286847756,6.709617679148545,12.765493145006644
oyster,7.163126721965131,5.746902599493634,6.851792457666474,10.463878782901896,10.37725826103065,7.538982276477828,10.550705256866449,8.259415329470187,9.80566597177738,10.00129627222609,8.39081261552201,11.560974897133015,5.927775054515877,10.796302982606312,0.0,7.727025978081873,4.686148365059134,6.551726763583257,6.713347526234812,5.051783323043125,9.09290281810793,8.25761310169908,5.927820034647809
rabbit,5.22879450215459,9.914820354389146,5.567921373486568,9.010109991105647,6.773389462695924,7.02963791035821,14.029460013726984,8.858390746835088,6.036606213445691,5.495086861607119,7.368010323205353,7.851036422084221,6.371891060832504,6.99503007358757,7.727025978081873,0.0,8.469082486397012,6.7539057323255145,8.301137088341559,7.224423182667724,7.483933008023887,5.377063044214734,9.516016321735423
scallop,8.033560047783222,6.761345084247687,7.329341518515309,10.381415997728906,10.702781858967754,8.426307327751912,11.356797295074715,7.62243852436334,10.086286131676236,10.51803113092152,8.125706672492027,11.625975188442405,6.661172510605499,11.09281073511148,4.686148365059134,8.469082486397012,0.0,7.1036909527645,6.544317733818599,5.2901361796344855,9.743080553052172,8.864726296793464,6.631957205985626
seahorse,5.91930434529842,9.389803111298265,5.6488478610786705,6.98866571581078,9.389142610076899,8.396617255059084,12.844234522338654,8.060553410484015,8.993838257292914,8.258517386737582,6.313367531377298,10.365173944372385,6.569527660148074,9.52314622432378,6.551726763583257,6.7539057323255145,7.1036909527645,0.0,5.804669036920492,5.530445710238713,9.41327475395104,6.629558374791345,9.238203516756387
snail,7.248682545758715,9.83791956118182,7.067172799276797,7.56484881225705,11.216819632465421,10.453528539286221,12.195520593428771,8.245200132954944,10.616642968146051,9.97988169479162,7.084639888210368,12.030814037984522,7.8399277786626484,11.32796099143596,6.713347526234812,8.301137088341559,6.544317733818599,5.804669036920492,0.0,5.4869020985079295,11.777303643796273,8.016131296245847,9.386204056257164
squid,6.32442096116163,7.300817468914908,6.2606866988956575,9.023899298661721,10.270168544499578,8.120389231716615,11.392470540948109,7.966546513345568,9.609533009755367,9.694742140537153,7.373695126908813,11.41978000279165,5.996302164550063,10.587959816636449,5.051783323043125,7.224423182667724,5.2901361796344855,5.530445710238713,5.4869020985079295,0.0,9.604641785071387,7.610486721976001,7.185649954898575
tiger,7.994363441466924,9.589740971198614,7.838372407070595,12.494630546991164,7.400535781184617,5.612942703926755,15.832283764418543,10.159873192585318,6.972372179092249,8.15919375297195,10.342979493641028,8.79996114655804,7.275809165025905,7.364813286847756,9.09290281810793,7.483933008023887,9.743080553052172,9.41327475395104,11.777303643796273,9.604641785071387,0.0,8.115318058565931,9.525065893438041
walrus,5.89438094181089,10.512037028638634,5.765361543350524,8.004430795001474,6.951858512594737,7.740602138411035,14.72402158325781,8.59480601581058,6.53588669932789,5.818319904280483,7.046357630967734,7.919624782552245,7.288595421346084,6.709617679148545,8.25761310169908,5.377063044214734,8.864726296793464,6.629558374791345,8.016131296245847,7.610486721976001,8.115318058565931,0.0,10.44214799966426
worm,9.220163492251283,5.2725587317260345,9.419420927698125,13.575811974803392,12.588418870859673,7.358944767757567,9.47832148312261,9.11094592528438,11.483889988010732,12.359299738620384,10.85653626267828,13.863095224457814,6.5878504472637855,12.765493145006644,5.927820034647809,9.516016321735423,6.631957205985626,9.238203516756387,9.386204056257164,7.185649954898575,9.525065893438041,10.44214799966426,0.0
