,animal,body part,clothing,clothing accessory,container,dessert,drink,electronic device,food,furniture,home decor,kitchen appliance,kitchen tool,medical equipment,musical instrument,office supply,part of car,plant,sports equipment,tool,toy,vehicle,weapon
animal,0.0,7.146783287108821,5.03852279369461,6.273750773539474,7.726402016838052,5.65614587352374,7.007804554339928,7.950263959963898,6.399044891305821,8.492850055639842,6.736626169465581,8.208540203740487,7.592027553166763,8.560840148543543,7.276086129190426,9.759045080594293,8.099641704239048,8.681468164539957,7.173746590191624,7.530827926840403,4.619072980547524,7.93305643086487,7.216642632180288
body part,7.146783287108821,0.0,4.666921061949782,5.9250625927156495,5.020249169384552,6.170156950944618,4.835298450423116,6.138278061341371,7.208756258270432,5.79744885515862,7.568417320925504,7.4880285435430824,4.741259042259907,4.000288300688851,6.785231322568286,5.068420143835379,6.820894782458924,9.938125218417994,5.8640343751719515,5.664788838384266,6.430072155473565,8.078660275176414,6.101740070071562
clothing,5.03852279369461,4.666921061949782,0.0,3.0829809856273553,3.492964692184968,3.5545858341429803,3.4344146118125742,3.898183077082522,4.335807609487585,4.421899221379631,3.859043113249581,4.79307438829696,3.734214830253531,4.571626935946662,3.717165964425002,5.653455784652406,4.323767155475332,6.464767254414216,3.3332482461964044,3.8410040621802914,2.9294891921298953,4.982767008115768,3.84382896817001
clothing accessory,6.273750773539474,5.9250625927156495,3.0829809856273553,0.0,2.7191098103964504,2.5604973711004106,2.655575123371524,2.417213110325405,2.8987356536434588,3.1971108633128633,2.8051169798419098,3.292175004786186,2.643962114537101,4.345849711235363,1.8969704526912536,4.9599789277148325,2.512123204825032,5.110680493756706,1.6173904411934057,2.0245783393545316,2.546942691015068,2.931232782840487,1.777960538014507
container,7.726402016838052,5.020249169384552,3.492964692184968,2.7191098103964504,0.0,3.8311501256343434,2.013934460129429,1.589401204450318,4.3148948706525765,1.4930767022681624,3.9404797450150064,3.17000362072602,1.731327843170166,2.6719892206151648,2.743833084425405,3.0153261952604664,2.4356066662827254,6.067085027293734,1.7362016046560278,1.9100656384727204,4.3694623910972235,3.785050930416902,2.275505259001644
dessert,5.65614587352374,6.170156950944618,3.5545858341429803,2.5604973711004106,3.8311501256343434,0.0,2.988281188117541,3.708620780544792,1.516344950761287,4.401737702885914,2.952302254095275,4.0347874621059026,4.096055038488817,5.636405709080804,3.0868944982903654,6.143915406188859,3.713707386771738,4.7486830074390785,3.0181747564234707,3.5216927964826965,2.41517520905475,3.8409140680402594,3.089459531096315
drink,7.007804554339928,4.835298450423116,3.4344146118125742,2.655575123371524,2.013934460129429,2.988281188117541,0.0,2.699125884525937,3.582069029629336,2.7623846503126828,3.9799572545460413,3.7184792171476078,2.477996888269272,3.5510110092501908,3.1288674146184294,4.017689788602475,3.178971015591214,6.068356008531661,2.251571111572476,2.525736516704104,3.7445740426300875,4.308930619132378,2.742611865685626
electronic device,7.950263959963898,6.138278061341371,3.898183077082522,2.417213110325405,1.589401204450318,3.708620780544792,2.699125884525937,0.0,3.9544384603663096,1.6756985747228672,3.266179944481791,2.2512731498718757,2.305920660261545,3.5900163711839066,1.901505810062537,3.7270986595145117,1.355312263967779,5.330392861030918,1.3235652005758614,1.8454001181916042,4.1561409282469945,2.689516024034665,1.7786159989818153
food,6.399044891305821,7.208756258270432,4.335807609487585,2.8987356536434588,4.3148948706525765,1.516344950761287,3.582069029629336,3.9544384603663096,0.0,4.711000577297905,2.616050974080993,3.968387019164919,4.6473707696425075,6.311526536584348,2.9628826795652734,6.670861149501751,3.6661097256143305,3.753351521058508,3.2792131454762488,3.7777406759899073,2.7553150815571863,3.4589574308385016,3.2836977638774374
furniture,8.492850055639842,5.79744885515862,4.421899221379631,3.1971108633128633,1.4930767022681624,4.401737702885914,2.7623846503126828,1.6756985747228672,4.711000577297905,0.0,4.272533615299209,3.135982582294199,2.005588067949096,2.8801193433781003,2.891532158732675,2.835423440701156,2.4635387779847764,6.164093262489763,2.107247777845176,1.9117521676000986,4.968685292792839,3.6134062859325073,2.2613977597163815
