,badger,barnacle,bat1,cardinal,cat,cheetah,chicken_wire,cockroach,duckling,ferret,flamingo,fox,giraffe,guinea_pig,oyster,rabbit,scallop,seahorse,snail,squid,tiger,walrus,worm
badger,0.0,0.7711420396019105,0.5814634755187216,0.7432869749676327,0.653599662223802,0.6484305107670093,0.7833062442458091,0.752416883761278,0.6352955079024631,0.4698730250449006,0.7615664773868553,0.4992592271660344,0.6960236791257384,0.6145723532322968,0.821626707724198,0.5540663719798307,0.8800228227312502,0.7416892788752645,0.6387303060760398,0.6828223194087357,0.6576558970607113,0.6522119920588495,0.7108806230371956
barnacle,0.7711420396019105,0.0,0.6903250028641077,0.7814227243693191,0.7657693329310857,0.7938235459566328,0.5882248288404579,0.6828629153247601,0.7318103985291478,0.7775509949997295,0.7242654171365631,0.7906091572636184,0.7655223556962675,0.7907495027027329,0.5571212356913852,0.7193533338174274,0.73838492610194,0.5667569978871863,0.5696481183280662,0.578457517987778,0.8246658936028729,0.7036367030774745,0.5605428899967363
bat1,0.5814634755187216,0.6903250028641077,0.0,0.6593883746940866,0.6774563874602445,0.6925735410833812,0.7186942008159058,0.6542897472794953,0.6512114910832225,0.5914796714224114,0.7201053905612456,0.5898653529218489,0.6888717337924081,0.6570970462925251,0.7999920567564387,0.6445749433902096,0.8698858683691059,0.6411194500630581,0.6035622387037125,0.6105487669175681,0.6959630856268788,0.6496079215846887,0.6470586577375267
cardinal,0.7432869749676327,0.7814227243693191,0.6593883746940866,0.0,0.7489561101889355,0.7432087801490549,0.7886457842052973,0.7722187944124468,0.6895970134806649,0.7370224474484871,0.6181650089939491,0.6696462064933206,0.7644824464374665,0.773893676132508,0.8430094963519874,0.7099055324935537,0.8940565774780227,0.7800365229827622,0.709326332104205,0.7359622352585548,0.7464524737819929,0.760467343390224,0.7550444284779488
cat,0.653599662223802,0.7657693329310857,0.6774563874602445,0.7489561101889355,0.0,0.6258768037370828,0.7154961484077903,0.7412524679606701,0.6588204291159145,0.5207765706099783,0.7506987017710663,0.6195484012445641,0.7013438182457954,0.5536029722104266,0.8095102079100526,0.5890164095737139,0.8165161398606622,0.7054562875041724,0.6663617736595913,0.6764070078351061,0.6229256676937496,0.7263833636284646,0.7619750896702348
cheetah,0.6484305107670093,0.7938235459566328,0.6925735410833812,0.7432087801490549,0.6258768037370828,0.0,0.7552050922414965,0.7989608689485966,0.7326793872585422,0.6462975046020704,0.6964731826360558,0.5953397543644801,0.4904718186937888,0.7361601855330265,0.8743984973741407,0.6577826093181912,0.9039806311275694,0.7054379959443289,0.7475119291822688,0.6848769863932733,0.4924956134173815,0.6748225600438005,0.7809883073408617
chicken_wire,0.7833062442458091,0.5882248288404579,0.7186942008159058,0.7886457842052973,0.7154961484077903,0.7552050922414965,0.0,0.7586446848337837,0.7492916546819846,0.7605490612318948,0.7687345775253627,0.7709380254773182,0.7295891979411436,0.774329638269815,0.7456615564166572,0.7373885161708739,0.7807200515468853,0.7212544322426507,0.6672149694478338,0.6931912274690236,0.7933045729443426,0.7682859527892922,0.6857359809513583
cockroach,0.752416883761278,0.6828629153247601,0.6542897472794953,0.7722187944124468,0.7412524679606701,0.7989608689485966,0.7586446848337837,0.0,0.7841423614529877,0.7169165948499133,0.8307525650062082,0.7579754682327741,0.7976002966123832,0.7559805133772378,0.8107304918989431,0.6814385020647373,0.8638873941999123,0.6532926322486895,0.5862148629981604,0.5688042448862372,0.8273295788124101,0.760051040501685,0.5316934742536771
duckling,0.6352955079024631,0.7318103985291478,0.6512114910832225,0.6895970134806649,0.6588204291159145,0.7326793872585422,0.7492916546819846,0.7841423614529877,0.0,0.5924854739690981,0.6342016387410593,0.6280071429931251,0.6926265276752542,0.6160779982678973,0.7820630093418682,0.5908068406052621,0.805577610755898,0.6826551433832806,0.6073887621792702,0.6783640129556114,0.7221378629823181,0.6673291221742458,0.7333316926239296
ferret,0.4698730250449006,0.7775509949997295,0.5914796714224114,0.7370224474484871,0.5207765706099783,0.6462975046020704,0.7605490612318948,0.7169165948499133,0.5924854739690981,0.0,0.7465126943240398,0.5618816558833453,0.6952332888949998,0.4674319298006614,0.8246464123696435,0.5564056141328033,0.8395087064339959,0.6725115775395234,0.6114953453109577,0.6525905991970794,0.6650524747978411,0.660474776427746,0.6778348971224306
