,animal,body part,clothing,clothing accessory,container,dessert,drink,electronic device,food,furniture,home decor,kitchen appliance,kitchen tool,medical equipment,musical instrument,office supply,part of car,plant,sports equipment,tool,toy,vehicle,weapon
animal,0.0,0.44880015684484387,0.4113337625285984,0.39191760887740673,0.3329606184671991,0.45747734437951937,0.5195270532512224,0.39566540113523185,0.39273558941789327,0.4589324779480628,0.3172820618183224,0.5007600691269013,0.40532627709255303,0.3609085028705998,0.39136591390415554,0.3998539872290109,0.3957288678539364,0.42219463568720894,0.3211917953386533,0.38242775868165707,0.31605130887191735,0.37952177538868104,0.34669271216149716
body part,0.44880015684484387,0.0,0.4313758965774174,0.4104783771870088,0.47088125457422847,0.5371333702035075,0.592102025703051,0.5263387438279787,0.501072580954983,0.569180019252044,0.4726616717803084,0.6344931462707077,0.48418056129505066,0.4005350796013867,0.5044411858223982,0.47075071099562404,0.5300409051196205,0.5832650218444434,0.4507115369172321,0.48057525798278233,0.42332133754663054,0.5712877496159533,0.48641573681126365
clothing,0.4113337625285984,0.4313758965774174,0.0,0.3546189956371907,0.38089509169996705,0.5229153191123339,0.58353694155592,0.4475750965617368,0.4887082347261678,0.462740566562188,0.3687788156201603,0.5689364161809924,0.4528924819354408,0.35269431994512657,0.4261747770509587,0.4386542484162892,0.4520656288476311,0.5310553555090145,0.3556643262356112,0.42705078113949,0.3319819448290786,0.4754909951078066,0.42644168029547097
clothing accessory,0.39191760887740673,0.4104783771870088,0.3546189956371907,0.0,0.35041778599820844,0.4581084237146177,0.5273851087866742,0.4112294746532437,0.4211125154186427,0.48179386367111526,0.3204395640241213,0.5409671403032019,0.3248640982355871,0.2941175046964907,0.3664852134236486,0.3093285507871325,0.39119694187678444,0.5176483966791984,0.3126923457369632,0.3379740970490634,0.2875592125085684,0.46383944450241,0.3651320321588645
container,0.3329606184671991,0.47088125457422847,0.38089509169996705,0.35041778599820844,0.0,0.4169369927100757,0.4219244494150926,0.29649007550480017,0.3826151065199235,0.34520942142861566,0.2709910216473307,0.41121276052769756,0.32173329205891393,0.28199412765523757,0.337507463946132,0.3053877000229675,0.3546202561070305,0.47917478353884396,0.2805424085144559,0.33466748708586586,0.2772453894328166,0.3809762812865925,0.33979783330750407
dessert,0.45747734437951937,0.5371333702035075,0.5229153191123339,0.4581084237146177,0.4169369927100757,0.0,0.40980449353390636,0.5075802290916351,0.26129263571066347,0.5489112062242584,0.420077217305653,0.5659731598578184,0.4510369455573962,0.466054621850835,0.5170137141718464,0.4686218206865117,0.5267834071263373,0.5712054830765084,0.476205855873433,0.49298650270620203,0.4282824535397772,0.5540012549208824,0.5141233387213568
drink,0.5195270532512224,0.592102025703051,0.58353694155592,0.5273851087866742,0.4219244494150926,0.40980449353390636,0.0,0.5477785403068413,0.44160109264586833,0.6084143707804357,0.4802428856832332,0.6059599990793558,0.48797800737691555,0.5196528644379383,0.5416928819456851,0.5316798381631515,0.5684053066352527,0.6107856550938711,0.5117376932425252,0.5494079425614184,0.4800115948795316,0.5864225865880756,0.5662036587195877
electronic device,0.39566540113523185,0.5263387438279787,0.4475750965617368,0.4112294746532437,0.29649007550480017,0.5075802290916351,0.5477785403068413,0.0,0.4674522374778188,0.4210775620883395,0.37781957684615985,0.3506308774015131,0.3815278960262686,0.32617784792268834,0.3811141280384677,0.33224646300738686,0.2962457702730924,0.5606940035579057,0.3327007825837399,0.37119790795668467,0.34432199392895474,0.393297002802453,0.3689844687553558
food,0.39273558941789327,0.501072580954983,0.4887082347261678,0.4211125154186427,0.3826151065199235,0.26129263571066347,0.44160109264586833,0.4674522374778188,0.0,0.5140061889168306,0.36753354127023347,0.5405717036194666,0.4078732450714842,0.4212360641619228,0.4646218233446625,0.4294702708700044,0.47345548753225974,0.47724216565388833,0.4160962565425629,0.4387777191036512,0.3759147958139716,0.49858285824124715,0.4498349821645958
furniture,0.4589324779480628,0.569180019252044,0.462740566562188,0.48179386367111526,0.34520942142861566,0.5489112062242584,0.6084143707804357,0.4210775620883395,0.5140061889168306,0.0,0.36312307519987874,0.4994255229617494,0.4668265237576217,0.38855795908042456,0.43514386759467927,0.43235811962999354,0.46668006696712566,0.5620476938813711,0.41138887659409723,0.4478147761552541,0.4092117797571951,0.4776510847909261,0.44846196708648023
home decor,0.3172820618183224,0.4726616717803084,0.3687788156201603,0.3204395640241213,0.2709910216473307,0.420077217305653,0.4802428856832332,0.37781957684615985,0.36753354127023347,0.36312307519987874,0.0,0.45622089902490137,0.3656670095455667,0.33958981607291333,0.3388477549235615,0.33852150359410477,0.4101059135607415,0.4127886694931244,0.316887521648982,0.35217672019534235,0.26336082676285155,0.4100290679741618,0.34413343393812407
kitchen appliance,0.5007600691269013,0.6344931462707077,0.5689364161809924,0.5409671403032019,0.41121276052769756,0.5659731598578184,0.6059599990793558,0.3506308774015131,0.5405717036194666,0.4994255229617494,0.45622089902490137,0.0,0.5045404809937477,0.4798679776611244,0.48659832469536235,0.49854880817348257,0.44321853158285074,0.6429660014850057,0.49331595465695005,0.5107749482942052,0.4932375445671751,0.5309257293624267,0.5093079736147009
