,aardvark,alpaca,anteater,badger,bat1,beaver,bee,beetle,bison,boar,bug,butterfly,calf1,cardinal,caterpillar,catfish,chick,chihuahua,chipmunk,cobra,cockroach,coral,cow,crab,crow,deer,dolphin,dragonfly,duck,eagle,earwig,elephant,fish,fly,fox,gazelle,goat,goose,gorilla,grasshopper,guinea_pig,hawk,hippopotamus,hummingbird,iguana,kangaroo,koala,ladybug,leech,lightning_bug,lion,llama,maggot,meerkat,mongoose,moose,mosquito,moth,mussel,orangutan,otter,oyster,panther,peacock,penguin,pig,piglet,polar_bear,poodle,possum,praying_mantis,pug,rabbit,racehorse,rat,reindeer,rooster,scallop,sea_urchin,seahorse,shark,shrimp,sloth,snail,spider,squirrel,stingray,swordfish,tarantula,tiger,toucan,turtle,walrus,wasp,whale,worm,zebra
aardvark,0.0,0.6756785562630969,0.4378247191858947,0.5628910625224118,0.49433239486140423,0.6311334691723571,0.8244714413766352,0.8072422314903933,0.5669430283479142,0.3565892303786269,0.8308335792023049,0.8653022042938652,0.5410375989658183,0.8687610083166875,0.7931918815706336,0.6296970096003958,0.6905048393051876,0.6035095986779883,0.5950405139701822,0.8144562527651058,0.8434340987259351,0.8393129356363138,0.6427181394633223,0.7849239811715227,0.7482446012737973,0.5252797178105304,0.6921151835612025,0.8786023796805184,0.7634579327676609,0.8162960275390051,0.837102335257747,0.586540538330341,0.6934597934600716,0.8799527769208244,0.6535665513957202,0.6590056303459453,0.3992140783119493,0.7398537955206939,0.7661014142082042,0.824969907568044,0.6992767465495396,0.821221370387392,0.39154989250129923,0.8235804419599075,0.7129301334955375,0.4648328734605498,0.714031439545997,0.8680237874582075,0.6879149432461842,0.7913764478060018,0.7455158768167128,0.6311070190003651,0.8204484560211615,0.6973300629057138,0.5352057806963701,0.4109449390935067,0.8772625521957469,0.6767325824386294,0.8028417203277538,0.7969677659277525,0.6969941836707714,0.7820979484491495,0.6503133327185531,0.8073921779534798,0.7357242306461556,0.2902870819298444,0.24443776077176316,0.6927147786291907,0.8357097323579752,0.5953330137851803,0.829331360182713,0.8306993752702427,0.5202354898702922,0.7423147655793352,0.6060062821961529,0.5246701851200075,0.7846400132854374,0.8667494968027819,0.8457833184960347,0.7396118582591813,0.7514289883962926,0.8351959578211047,0.7047203946342007,0.6835845264914817,0.9103762789618209,0.613843691302747,0.686967815341945,0.7107832058070674,0.8137062235250279,0.8382702712193182,0.8410690245049933,0.7390568511058309,0.5886063167984259,0.8769650471745696,0.7446878587011392,0.7579400804922205,0.7638981642223488
alpaca,0.6756785562630969,2.220446049250313e-16,0.5527674186011651,0.7644296539093588,0.6991852788835784,0.7494166943396827,0.8643466308725889,0.8848318799859388,0.5213096215370074,0.6781635231727992,0.8775539507063345,0.9105046241680864,0.5144917602838331,0.9005059679351842,0.838495365324109,0.8623473642280703,0.7549898196991764,0.7558155419836876,0.7892452930432459,0.8116808700081046,0.9215030286966736,0.8179400655637596,0.576977930025609,0.885246969875918,0.7933711956067346,0.5916360884472417,0.8484420917892471,0.9039707882795971,0.7657330899408056,0.8429592416173483,0.9019151599653434,0.7573051155684929,0.8585793213901978,0.9089655430531317,0.7548333233545318,0.7053486924466363,0.5036649736974846,0.6719870462724877,0.7561299542456812,0.9027989446116602,0.7965157400642775,0.8320143519304846,0.8121810472428985,0.8503451475524052,0.8519684746937409,0.5277015283409864,0.6908436584484602,0.9003297604128099,0.8486275202156202,0.8610503886843315,0.6475711420689412,0.19567856423304775,0.8744225055540126,0.6614632330456468,0.6634776374430272,0.601290842464933,0.9109685796103597,0.8017572624123648,0.9004120934970035,0.8093488784063996,0.7647027859354409,0.885342218626214,0.7186765383198069,0.7526697673381825,0.7064704548481855,0.7105789734981232,0.7154500646948111,0.6440515523499615,0.5186695711474818,0.773059541433075,0.8989788424327101,0.7848481403683338,0.7227215503474448,0.7153213274699052,0.8297740067015603,0.5585416717600333,0.7833489853660552,0.8762666475222981,0.8784802701940163,0.8230921264125749,0.8819925070450385,0.9035573751841436,0.7696410738802505,0.8533965646977548,0.9161880338153849,0.789741638103383,0.8595921896090436,0.8652608064174665,0.8735675258559834,0.8015218831760882,0.8774360936763771,0.8790017649609861,0.773531195203018,0.9081215141588392,0.8039693481726005,0.8751623156564112,0.7049166714235504
anteater,0.4378247191858947,0.5527674186011651,2.220446049250313e-16,0.3690389191372303,0.5277334938821123,0.5777407722295409,0.8017463651542025,0.811745964949587,0.5347085362332344,0.44100487622674134,0.8127181646034759,0.8503687752793667,0.5676346331331275,0.9038549507878062,0.7480342068605503,0.7181294947192106,0.7533750174516515,0.7548593781653792,0.6686422885716391,0.7645714655006395,0.8770701493043473,0.8358221481596296,0.6320847084226404,0.8289802666774737,0.6655878353448514,0.6188628652763639,0.7602567911802263,0.8394363504684819,0.6895834499449721,0.7805589941987647,0.8419540949328387,0.6272553956919167,0.7751293894763798,0.863746559115983,0.7010061396909615,0.6996944690765405,0.5568440753570945,0.6533439884042038,0.6087469573302379,0.8414190854264018,0.6972397809485735,0.7787305783388432,0.6026813653856451,0.7643624387052905,0.771150971066498,0.5280186205572971,0.533108015571865,0.8536918395514046,0.712597458098049,0.7959548481071412,0.6772925658613289,0.5334308594821172,0.8549377616827987,0.6108298847856091,0.5690471600286016,0.4947273345459857,0.8767242499826138,0.6947354693772047,0.8021293461125395,0.7597776962148297,0.6273243405696701,0.8098342626683743,0.539855550051465,0.7663943799049928,0.6082020421628616,0.6284761503400151,0.5265603761082094,0.66339756053883,0.7109770032173768,0.5651729286221049,0.8576245025592423,0.768611948612429,0.6798970294059035,0.7515889951363574,0.6979328418785267,0.5984876438945564,0.8432773237410904,0.8610000308665884,0.8601065131954544,0.7909443316770766,0.8235973913118352,0.8347760439518432,0.6071524641850932,0.8107388339613294,0.8989763608219089,0.6798104148115979,0.7410921394663439,0.7867177355805279,0.7824565141371609,0.7248400540968285,0.7933492232495667,0.7786693081323562,0.632461562580188,0.8477551889186832,0.658768986366645,0.8129755900878818,0.682994237006322
badger,0.5628910625224118,0.7644296539093588,0.3690389191372303,3.3306690738754696e-16,0.6168882725576079,0.6181434215197668,0.8025901322153948,0.8417759260580515,0.7291942392889812,0.5577896349160207,0.8267528398299208,0.8778125499994971,0.7065357812829027,0.9077539299634456,0.7641619295697367,0.7421325341390457,0.6980028165192635,0.7496825488989676,0.5976527439456973,0.7775786193926064,0.8949393431934587,0.8645446851595193,0.8037839413207669,0.8576643465467958,0.8050338974259621,0.7463116327276709,0.8381217900874949,0.899207290648422,0.7704703809970721,0.8097904007901748,0.8522898041649082,0.848632322396411,0.7788445758270439,0.9043952778189951,0.6406801822116662,0.7474475935904431,0.6821906314479129,0.7319661707747631,0.8830983169023645,0.8778297107312357,0.6150764694131705,0.7798299097664256,0.7930536921163855,0.8027986316226474,0.870797745639921,0.7430299527662558,0.6360584930982822,0.7758777029380752,0.7538863653316822,0.8204532063069307,0.8617810331300899,0.6749109346195926,0.8783872692371951,0.5534692371967433,0.48500439860748445,0.7013769033562492,0.8815746980240495,0.7639803222804685,0.8592953637590685,0.8876100845093381,0.5604214938840084,0.8250932884829246,0.7838015732037633,0.8703901455964598,0.7393813832720877,0.7216804667287164,0.507413778634833,0.7314171833829108,0.8462750844796415,0.37081824476385905,0.9051305325924038,0.8715819211189991,0.7135368248383537,0.892147598139457,0.6332576533204857,0.7272552243239399,0.9021855803788932,0.8765023371299393,0.8356244396617105,0.8348975245448673,0.8415904700502734,0.8533882666982526,0.647651650626331,0.8450978485548646,0.9132272582234164,0.6741853261171956,0.8450162130678891,0.8559736039437305,0.8125496926083299,0.817487316209551,0.8402636023443425,0.8401679094416185,0.7615666768230865,0.8589484148487473,0.7718647754700985,0.8162442016081491,0.7602666302275122
bat1,0.49433239486140423,0.6991852788835784,0.5277334938821123,0.6168882725576079,-2.220446049250313e-16,0.518989984735546,0.48448273151866394,0.6119503462253061,0.6940656347689096,0.6366439515649711,0.5504049456807416,0.6816366530083265,0.6314597310619041,0.6085272262186103,0.5774400673522071,0.569648579797827,0.5675390406362845,0.6112796317133754,0.5036657297909054,0.7544893745806592,0.6301968396645112,0.7975649119784542,0.7211451561486486,0.697653524697944,0.5454543471031138,0.5714574963513501,0.7037607211027298,0.5996057667856938,0.6445643011135664,0.6747468467409801,0.6272038691173714,0.7686594845483222,0.6512430674623052,0.5792553769503269,0.6626680642277065,0.6520548306728269,0.612057058413298,0.6866352690284561,0.6936708977864607,0.6424950609343055,0.6267704944557688,0.5843526530220227,0.7001904504097922,0.5189456781676077,0.6843422808672672,0.5433511890500837,0.5292406648445298,0.6683836750827725,0.6213034407573336,0.50782240227131,0.7316663269420862,0.6472188888947894,0.7971144961388823,0.5256405342353025,0.513048494177145,0.5372422346435743,0.6296848196273093,0.4580785481285924,0.6358713172979142,0.5857302714803937,0.5774930364972299,0.7183910589524651,0.5667771029758886,0.7433441521910982,0.6467833071282715,0.7066461026633983,0.5523860227392776,0.7569278248733309,0.7406495443109608,0.525356817754449,0.65371178787208,0.7752715129814625,0.6179268476933726,0.6537796391292208,0.537197539989929,0.560572207214361,0.7435226154551969,0.753983516499921,0.7226971014011032,0.6208143988766732,0.7413378670916277,0.7875089366578427,0.4806386514457358,0.6180993023234296,0.7130670587326273,0.5195984301223029,0.6611363583684091,0.6136213734840213,0.5996933914911382,0.8203637511450105,0.704641891800406,0.7278597292759437,0.6561187810260535,0.6323985276197217,0.6611007031926702,0.7635188773322409,0.78880963257508
beaver,0.6311334691723571,0.7494166943396827,0.5777407722295409,0.6181434215197668,0.518989984735546,-4.440892098500626e-16,0.7366863557973904,0.7956952871936325,0.7025270327292574,0.5040417269977813,0.7587328029459617,0.8337461366535176,0.7321037075005432,0.7874918495269808,0.6894566203377959,0.6807174620823898,0.6597660114482256,0.8586771466723054,0.48903954701122554,0.8241626502113537,0.7927691201829874,0.7582232226007035,0.819944857313309,0.8229729244692999,0.7073041503647042,0.8184893480864077,0.7591042768349998,0.8308434225170833,0.6608366513843013,0.7840995552524956,0.8206123735248502,0.8121895169099952,0.7645128642008315,0.7772529169664477,0.7368825664639033,0.8802072618842461,0.7577147552344663,0.7563473057563499,0.83040422769611,0.7931744947056489,0.5073367475387061,0.7300156596143466,0.704554373358436,0.7931680175932395,0.8392227023919945,0.7667913468599198,0.702970409913569,0.8325555423027782,0.7499061114837219,0.7788121389114968,0.7748055415863582,0.75864137148844,0.8120522237153284,0.696120037994298,0.60189356292515,0.6746435699186251,0.7682740066079936,0.6664971990802544,0.7768453200950223,0.7687147456562627,0.31296692004081317,0.7590400266905188,0.7237347407614485,0.8275043588796593,0.7843159592623932,0.7378930935732224,0.6314950617380324,0.6794152471643669,0.840668262341825,0.519389308995448,0.8382220362284725,0.8939208965583404,0.6755338087126548,0.8587803444798294,0.41389294742237337,0.7945634709527298,0.8304439173704982,0.7946777074727893,0.6689924170267465,0.8183356827719903,0.8099918779821532,0.8078675359333845,0.680223318643068,0.7741603181170049,0.8254765250845154,0.5251924144940416,0.704866616217179,0.7926596324087916,0.7497870904244014,0.8779639692197774,0.8852865578031397,0.767616863095566,0.6313804998307828,0.8237246216477287,0.6670344985066246,0.8408452601742114,0.8874506183268329
bee,0.8244714413766352,0.8643466308725889,0.8017463651542025,0.8025901322153948,0.48448273151866394,0.7366863557973904,2.220446049250313e-16,0.5475774109108958,0.844443872625876,0.8174802136960684,0.4084320086026013,0.5680823745575936,0.8111284022117493,0.7754681957368152,0.37514689084524777,0.7582059162200117,0.7499093655572998,0.7424029955605871,0.6865598025529984,0.8132228507883812,0.5572637551451789,0.720953829145186,0.8309775848409287,0.6713674351629131,0.77431168744968,0.8005741668541686,0.8819431941064102,0.4904287954899851,0.8010588675617828,0.8201159689336195,0.3908875166408572,0.907773570124871,0.7030748129377333,0.40642905358280534,0.8151127194282001,0.7776986942061068,0.8461631182723626,0.838617293325834,0.8549499438754069,0.5529424670555432,0.743325420011721,0.6836094730067739,0.8942324342464656,0.6023029589035249,0.7908718790348677,0.8150517210018073,0.8321426291530639,0.5190419509330999,0.6853313849567815,0.45210951653168485,0.8285293119414348,0.827933599877398,0.7380764206334642,0.7338438014699091,0.7721759577552239,0.7836173417779289,0.4651675173540273,0.5484327164019716,0.6327143055364128,0.795551271210213,0.7513523550533386,0.6990696601097481,0.7857545757991866,0.8331647850121385,0.7950903144700325,0.9142409528163566,0.814284364279339,0.8782569573306714,0.8397381230585841,0.7704705432407375,0.6796836914652142,0.7400015151698678,0.8231104959602205,0.782280545659581,0.7963940976038388,0.754147548546321,0.8212601340812166,0.7322413613141574,0.737945072767531,0.5951861311010231,0.8655532776786691,0.787944113241507,0.7546150796042537,0.6337803176315583,0.6341181500063577,0.7425453231900443,0.849921013554453,0.7856193060997037,0.4789514305106207,0.8185224865198522,0.876382456212413,0.7468237177457945,0.8429410727580524,0.24781080111822773,0.8212832614715062,0.7781752492919417,0.8558052606094265
beetle,0.8072422314903933,0.8848318799859388,0.811745964949587,0.8417759260580515,0.6119503462253061,0.7956952871936325,0.5475774109108958,2.220446049250313e-16,0.798673963084261,0.841999668200932,0.25228847721390346,0.6343175341640923,0.7821134006333345,0.7777786301542509,0.5505560561432391,0.7249240987298862,0.8331265449630105,0.7969113207243063,0.8135755959574287,0.8746562366003443,0.2825594458517039,0.8184447909238135,0.7618346419184768,0.6109425197467442,0.6924840982382755,0.798155035398357,0.831350544413237,0.636772929304514,0.7757429052165249,0.8690923079620949,0.31057151383099113,0.8802103390850551,0.7368699687043114,0.3897178355272599,0.8656455304954032,0.818615138755469,0.8232396274671733,0.8257642935467778,0.8975850774966894,0.5348272865335721,0.838309353245398,0.796960789101175,0.7991177076242115,0.7232506834998127,0.8069416238541067,0.8271190994698329,0.8815382596793415,0.45356428161639606,0.5892830542505654,0.33501627968416203,0.9340586863667194,0.842375508495516,0.7969024504458101,0.8669746363088123,0.8107637760251354,0.735364997875264,0.43034249184208617,0.5339396484506254,0.6450512316156111,0.8672230846012128,0.8384453596418624,0.7579409098759831,0.8007524659822919,0.7632082381963158,0.7497564007398577,0.8642506236958789,0.8335041338873787,0.9028176512000893,0.8611349056246865,0.853808511971444,0.6443276275089878,0.8242145926386132,0.8586448982431142,0.6844886388190463,0.8603489590497404,0.7279072042827706,0.7814155088903691,0.8250404707024779,0.78276888849588,0.7451004503340892,0.8393856025284488,0.8336876333894851,0.839513378070467,0.6293388912305187,0.6760558843860852,0.8433124762376099,0.7573060091582544,0.7724715286068361,0.7486996361311842,0.8985533359985298,0.8126545600542576,0.6989383808741056,0.7967327722411758,0.5398751903157604,0.8148468421531923,0.746794157745614,0.8734105879859391
bison,0.5669430283479142,0.5213096215370074,0.5347085362332344,0.7291942392889812,0.6940656347689096,0.7025270327292574,0.844443872625876,0.798673963084261,1.1102230246251565e-16,0.4413176925673432,0.8321509009658362,0.8962390875041459,0.4205455993681865,0.9311613394806163,0.8062697591462962,0.8209148831869902,0.8425812962289874,0.891468799097922,0.8690454138515737,0.9148915855281426,0.8712558665595839,0.8415437029167326,0.43964785387619854,0.866547622877387,0.772402890930912,0.6700219076971758,0.8789497963101034,0.9237185408056999,0.8300432115117802,0.8105450231019369,0.8511976400299548,0.6387735189379447,0.8520931370868737,0.8840987280573047,0.8439337447483957,0.7961501188700184,0.609201755930481,0.8148001538264501,0.6779719749782745,0.8834772458261088,0.8127521202576804,0.865553751077144,0.624185786801106,0.9248493620637768,0.855767620347347,0.7213366811052568,0.7730465655407817,0.8745953023735688,0.8501627562789213,0.856351172299503,0.5990536429372313,0.626489839940719,0.9016272441555062,0.8716767817730018,0.7987414887776016,0.32020056244366113,0.8812564275756487,0.8146242158460056,0.8927358286453169,0.757373497326889,0.8318090429967127,0.8770109597653468,0.6341663665918674,0.8431012454016529,0.8175282495495593,0.5615831794278123,0.6594729308539001,0.7476178586667726,0.7633775145250825,0.8363357669500382,0.916152217474967,0.8186680679547564,0.8371008427066571,0.7240777939403416,0.866243693994593,0.5070896952912227,0.8360828754694114,0.9254253628898532,0.8681845687643986,0.841448799480479,0.9130578031990639,0.9252917393540567,0.8013915036423641,0.8639756561492431,0.9110375725818843,0.8571247758828211,0.819500912438716,0.9148154355912619,0.8632695593380243,0.8241682413640221,0.8767188326199412,0.844983031235912,0.6891648941730768,0.8702217182152597,0.8486819947544051,0.8910917934955895,0.7618945032491027
boar,0.3565892303786269,0.6781635231727992,0.44100487622674134,0.5577896349160207,0.6366439515649711,0.5040417269977813,0.8174802136960684,0.841999668200932,0.4413176925673432,-4.440892098500626e-16,0.8199356187361787,0.8659271313191961,0.5838056281692048,0.9139266793795727,0.7563900409454831,0.8048227399938284,0.7558168022383149,0.8046492986698297,0.6609205843688273,0.8682005762751066,0.8871342439460268,0.8298562241476365,0.683085679588094,0.8357575955882788,0.7815830027656969,0.6926015776367616,0.8750172294908631,0.9029580881651527,0.827567693570299,0.834858102837426,0.8677423211901871,0.6876421881025636,0.8218565912948178,0.8803975828053927,0.6231994417192399,0.8334233103489029,0.5801005481652808,0.8235557841111695,0.7969327595329239,0.843262485670784,0.7206381992748134,0.8209675396307882,0.6208143085440783,0.8895473597795344,0.7902273708925652,0.6262865668606745,0.704700917539015,0.8797399881391926,0.7780130678828915,0.8631551622672892,0.7089666363089355,0.6845637914239391,0.8487323864631356,0.7144091806839084,0.5628058100042588,0.4298790944868124,0.8684241913517631,0.7672408420180692,0.8704263073597118,0.8295793024843808,0.7044193154625515,0.8337576229502796,0.6364306950492906,0.8337897272251904,0.8266901696345295,0.4302941981597269,0.40443608169657297,0.6915436719488741,0.8363463226296473,0.6056872322510162,0.8957542775559594,0.8641045583987137,0.7444859986786001,0.8459564279049488,0.6448415023804739,0.5977116623600407,0.8511642855256223,0.874859144311278,0.8465761360545847,0.7884954818118506,0.9038384999277412,0.8564569986656311,0.7402759393846041,0.8181083265085615,0.8782241278327664,0.6718060115916217,0.8342092585105626,0.8952469094735904,0.7945243620075139,0.7962501342705525,0.9144375396646817,0.8089232160980102,0.709437043160503,0.8567096279106584,0.8072160383275611,0.8132995023323963,0.7925666382196628
