,animal,body part,clothing,clothing accessory,container,dessert,drink,electronic device,food,furniture,home decor,kitchen appliance,kitchen tool,medical equipment,musical instrument,office supply,part of car,plant,sports equipment,tool,toy,vehicle,weapon
animal,-4.440892098500626e-16,0.4431288857498056,0.46053034294552575,0.42165372340902796,0.35309004993032744,0.4630708472581009,0.5464556082881635,0.44727880405988785,0.4056527615195842,0.5022797603442392,0.31883577508056016,0.5368392275731875,0.42326953239605203,0.3887527838538357,0.47013061270072,0.4260193039279201,0.45315434504212504,0.3546031476141914,0.3365054840587911,0.40066829922307723,0.3250635967703843,0.41664834598983336,0.358502041858787
body part,0.4431288857498056,0.0,0.36564085737395424,0.33206981158294313,0.4708685123952465,0.5089309017811521,0.5770290335612808,0.5630250158125087,0.4896766452437613,0.5943102272274494,0.47392848780511443,0.6882599449903399,0.45146542046728433,0.3256163254501564,0.5342796091770526,0.4335105850038964,0.574811498744427,0.577764828083937,0.4326230827979678,0.4589777660730229,0.37710699953029414,0.67120453285646,0.49022046414116494
clothing,0.46053034294552575,0.36564085737395424,-2.220446049250313e-16,0.29099250948659205,0.36779948749454416,0.5414514576613421,0.6220949708883358,0.4750849831058849,0.5380827206352359,0.44448915269415734,0.3436418515206574,0.6183860544304433,0.4547922240135639,0.3033879500249751,0.4505710834181208,0.436356188914775,0.4886018916297008,0.5327015436507332,0.32363674674662635,0.4222188904294276,0.2805040176085073,0.5416037440205048,0.4451419360318629
clothing accessory,0.42165372340902796,0.33206981158294313,0.29099250948659205,0.0,0.31405748581870163,0.4161134778250567,0.5074480058762911,0.40481811971994863,0.4028574176745018,0.48568656001233157,0.2611580382523815,0.561432623471446,0.23550599560589347,0.2127252376537967,0.33594852957908905,0.21875396482141996,0.3692659169089072,0.5085365787254199,0.2514718767577774,0.26683940044265764,0.21123701243335535,0.5203084720498493,0.3291994480924205
container,0.35309004993032744,0.4708685123952465,0.36779948749454416,0.31405748581870163,0.0,0.3624474460812721,0.3274934385844408,0.2315828266374963,0.3622905236646986,0.2591645106114564,0.21315629863197383,0.3319070092652294,0.24730898372359023,0.21897212619404094,0.32048259424140424,0.22977724141143885,0.33649365511123364,0.4600490171878596,0.23338572731896934,0.28611668216272934,0.22760668570249187,0.38970713969040083,0.31900404347336453
dessert,0.4630708472581009,0.5089309017811521,0.5414514576613421,0.4161134778250567,0.3624474460812721,-2.220446049250313e-16,0.2753305614231105,0.5227515747923175,0.12848339057379987,0.5527715694642676,0.36796943476990385,0.5476201300633852,0.39120627171646405,0.44810906684755913,0.5625749951175054,0.4296206733215375,0.5676992698574572,0.5541739859949018,0.48733401126111886,0.48360952128641543,0.3869601305756961,0.6303959284061795,0.5501788360324114
drink,0.5464556082881635,0.5770290335612808,0.6220949708883358,0.5074480058762911,0.3274934385844408,0.2753305614231105,0.0,0.5583186998775921,0.34487082976999406,0.6313093091308003,0.4386645008532667,0.5877800963913155,0.4206761298670594,0.5096150084888893,0.5624158524311709,0.5093374657168628,0.6066771740911376,0.5937228235706377,0.5098878220119402,0.5526984391918704,0.4415691663902013,0.6484442056632624,0.6121790383397124
electronic device,0.44727880405988785,0.5630250158125087,0.4750849831058849,0.40481811971994863,0.2315828266374963,0.5227515747923175,0.5583186998775921,0.0,0.5084089668390044,0.3766820492328262,0.3774135642635913,0.22894153005635598,0.33224658802829743,0.2701437482676735,0.374771485099091,0.25813219788621633,0.21759267812399175,0.6104599767084348,0.2964644406549354,0.32994761336446665,0.3175830756247091,0.3842594539302152,0.34628837035594395
food,0.4056527615195842,0.4896766452437613,0.5380827206352359,0.4028574176745018,0.3622905236646986,0.12848339057379987,0.34487082976999406,0.5084089668390044,0.0,0.5411385891619231,0.3329597552791699,0.549708819148361,0.3627171250917478,0.4247584943400694,0.525083964579651,0.410982230530195,0.5256867730085187,0.4225742062433382,0.4358875116035956,0.4375912946171153,0.353202103255997,0.5841713562621572,0.4854625068520625
furniture,0.5022797603442392,0.5943102272274494,0.44448915269415734,0.48568656001233157,0.2591645106114564,0.5527715694642676,0.6313093091308003,0.3766820492328262,0.5411385891619231,-2.220446049250313e-16,0.28881560864946587,0.4419168759625237,0.440171864705431,0.3261604043450169,0.4168396309783917,0.38408327692986877,0.4674965444975221,0.5564583051010152,0.38084068398851045,0.41907474453672156,0.37627805972396833,0.4908602786838073,0.43912513843969414
home decor,0.31883577508056016,0.47392848780511443,0.3436418515206574,0.2611580382523815,0.21315629863197383,0.36796943476990385,0.4386645008532667,0.3774135642635913,0.3329597552791699,0.28881560864946587,0.0,0.41720744915160757,0.32229780212356707,0.3173208982315846,0.3221781313052374,0.28381243370492815,0.44988648049710844,0.33045617411566386,0.29688923809841505,0.316855241965616,0.20470495513034537,0.4507212842726731,0.32640098724089506
kitchen appliance,0.5368392275731875,0.6882599449903399,0.6183860544304433,0.561432623471446,0.3319070092652294,0.5476201300633852,0.5877800963913155,0.22894153005635598,0.549708819148361,0.4419168759625237,0.41720744915160757,2.220446049250313e-16,0.4722991235664339,0.45464120772278827,0.4727295393459956,0.4681238409671391,0.3791082672495193,0.6817922662730209,0.4998501359326206,0.4990897070659609,0.49930764516854576,0.553889605602718,0.5159440959147628
kitchen tool,0.42326953239605203,0.45146542046728433,0.4547922240135639,0.23550599560589347,0.24730898372359023,0.39120627171646405,0.4206761298670594,0.33224658802829743,0.3627171250917478,0.440171864705431,0.32229780212356707,0.4722991235664339,-4.440892098500626e-16,0.14626102079303527,0.25965979324564104,0.12817969006488927,0.3602912809742408,0.5543145830510838,0.2301313912343964,0.07384164389053882,0.23656940471486898,0.505079507322661,0.21221116685751773
medical equipment,0.3887527838538357,0.3256163254501564,0.3033879500249751,0.2127252376537967,0.21897212619404094,0.44810906684755913,0.5096150084888893,0.2701437482676735,0.4247584943400694,0.3261604043450169,0.3173208982315846,0.45464120772278827,0.14626102079303527,-2.220446049250313e-16,0.26662464038002165,0.13136393973057703,0.29830132424603883,0.5021973344855682,0.159623736538972,0.12636711168925696,0.1604253835998377,0.3982130629282722,0.20694752971343877
musical instrument,0.47013061270072,0.5342796091770526,0.4505710834181208,0.33594852957908905,0.32048259424140424,0.5625749951175054,0.5624158524311709,0.374771485099091,0.525083964579651,0.4168396309783917,0.3221781313052374,0.4727295393459956,0.25965979324564104,0.26662464038002165,0.0,0.28580359901145935,0.37681035044214883,0.6088516482278887,0.28780559957640384,0.23727215100043575,0.3070330037555441,0.46184640778482877,0.24733815165207107
office supply,0.4260193039279201,0.4335105850038964,0.436356188914775,0.21875396482141996,0.22977724141143885,0.4296206733215375,0.5093374657168628,0.25813219788621633,0.410982230530195,0.38408327692986877,0.28381243370492815,0.4681238409671391,0.12817969006488927,0.13136393973057703,0.28580359901145935,0.0,0.35785735501050486,0.5242586263482956,0.22757826901404954,0.12814567713045,0.19983214835108942,0.46963082938817957,0.24844680257129137
part of car,0.45315434504212504,0.574811498744427,0.4886018916297008,0.3692659169089072,0.33649365511123364,0.5676992698574572,0.6066771740911376,0.21759267812399175,0.5256867730085187,0.4674965444975221,0.44988648049710844,0.3791082672495193,0.3602912809742408,0.29830132424603883,0.37681035044214883,0.35785735501050486,1.1102230246251565e-16,0.5884088564674519,0.26804388296549264,0.35354193694840885,0.35385839169474076,0.29695173047775003,0.3229195599099951
plant,0.3546031476141914,0.577764828083937,0.5327015436507332,0.5085365787254199,0.4600490171878596,0.5541739859949018,0.5937228235706377,0.6104599767084348,0.4225742062433382,0.5564583051010152,0.33045617411566386,0.6817922662730209,0.5543145830510838,0.5021973344855682,0.6088516482278887,0.5242586263482956,0.5884088564674519,-2.220446049250313e-16,0.44040845652197025,0.5172280454486133,0.3926475501303174,0.5240991823777019,0.48486330380249365
sports equipment,0.3365054840587911,0.4326230827979678,0.32363674674662635,0.2514718767577774,0.23338572731896934,0.48733401126111886,0.5098878220119402,0.2964644406549354,0.4358875116035956,0.38084068398851045,0.29688923809841505,0.4998501359326206,0.2301313912343964,0.159623736538972,0.28780559957640384,0.22757826901404954,0.26804388296549264,0.44040845652197025,3.3306690738754696e-16,0.18408814178082955,0.11048823103509775,0.3059949923769505,0.21038577099147138
tool,0.40066829922307723,0.4589777660730229,0.4222188904294276,0.26683940044265764,0.28611668216272934,0.48360952128641543,0.5526984391918704,0.32994761336446665,0.4375912946171153,0.41907474453672156,0.316855241965616,0.4990897070659609,0.07384164389053882,0.12636711168925696,0.23727215100043575,0.12814567713045,0.35354193694840885,0.5172280454486133,0.18408814178082955,1.1102230246251565e-16,0.19089171915752623,0.4607109862423441,0.13053694986989262
toy,0.3250635967703843,0.37710699953029414,0.2805040176085073,0.21123701243335535,0.22760668570249187,0.3869601305756961,0.4415691663902013,0.3175830756247091,0.353202103255997,0.37627805972396833,0.20470495513034537,0.49930764516854576,0.23656940471486898,0.1604253835998377,0.3070330037555441,0.19983214835108942,0.35385839169474076,0.3926475501303174,0.11048823103509775,0.19089171915752623,0.0,0.3604255550636475,0.24824759283198417
vehicle,0.41664834598983336,0.67120453285646,0.5416037440205048,0.5203084720498493,0.38970713969040083,0.6303959284061795,0.6484442056632624,0.3842594539302152,0.5841713562621572,0.4908602786838073,0.4507212842726731,0.553889605602718,0.505079507322661,0.3982130629282722,0.46184640778482877,0.46963082938817957,0.29695173047775003,0.5240991823777019,0.3059949923769505,0.4607109862423441,0.3604255550636475,0.0,0.32131176243122317
weapon,0.358502041858787,0.49022046414116494,0.4451419360318629,0.3291994480924205,0.31900404347336453,0.5501788360324114,0.6121790383397124,0.34628837035594395,0.4854625068520625,0.43912513843969414,0.32640098724089506,0.5159440959147628,0.21221116685751773,0.20694752971343877,0.24733815165207107,0.24844680257129137,0.3229195599099951,0.48486330380249365,0.21038577099147138,0.13053694986989262,0.24824759283198417,0.32131176243122317,-2.220446049250313e-16
