,aardvark,alligator,alpaca,ant,anteater,antelope,badger,bat1,bear,beaver,bird,bison,blowfish,boar,bull,calf1,camel,cardinal,cat,catfish,cheetah,chick,chihuahua,chinchilla,chipmunk,cobra,cockatoo,cougar,cow,coyote,crayfish,crow,dalmatian,deer,dog,dolphin,donkey,duck,duckling,eagle,elephant,ferret,fish,flamingo,fox,frog,gazelle,giraffe,goat,goldfish,goose,gopher,gorilla,groundhog,guinea_pig,hamster,hawk,hedgehog,hippopotamus,horse,hummingbird,hyena,iguana,kangaroo,kitten,koala,lamb,leech,leopard,lion,lizard,llama,lobster,manatee,meerkat,mole,mongoose,monkey,moose,mouse1,octopus,orangutan,ostrich,otter,owl,oyster,panda,panther,parrot,peacock,pelican,penguin,pheasant,pig,pigeon,piglet,platypus,polar_bear,pony,poodle,porcupine,possum,puffin,pug,puppy,rabbit,raccoon,racehorse,ram,rat,rattlesnake,reindeer,rhinoceros,rooster,sardine,scallop,scorpion,sea_urchin,seagull,seahorse,seal,shark,sheep,skunk,sloth,slug,snail,snake,spider,squid,squirrel,starfish,stingray,swan,swordfish,tarantula,tick,tiger,toad,toucan,turkey,turtle,vulture,walrus,warthog,wasp,weasel,whale,wolf,worm,yak,zebra
aardvark,0.0,4.643781946894407,2.448277366723288,4.446835154676368,2.8169826116586894,2.5268408540629586,3.4981042180170476,2.9319994696181304,3.0016320280795052,3.507940281413161,3.2893268724896085,2.4242259504461785,5.970818231217494,3.2282332032384895,2.8708159068416723,2.989066741933855,2.987846409767495,4.233032205397438,3.107824820901621,3.791065182470204,4.860703616701724,3.150696287185249,2.577039773332774,3.991438776611787,2.5192902522629095,5.39527698047723,3.876461292331262,2.929750322766337,3.062389756984062,2.704819271679098,4.794867898991099,3.0128436078008605,3.997335973674193,2.8920347648247113,2.715076712877262,4.049238355739488,2.5058514319296226,3.130479334102114,3.3380485684200423,3.8343548309504154,2.8822637700787244,2.60031646638825,5.49743515270473,3.243491784534663,2.955273894956447,3.65458960714442,3.3957554202645794,3.7885872326575187,2.9079933641371554,4.2101211909354,2.9752858354391325,2.755476682212944,2.7570851247631256,3.5632113182809744,3.1465512198399557,2.9706343955521004,2.9365895164157934,3.3853952800014095,2.4779078121871287,3.66132683866819,2.899960059255946,2.729507373925075,4.240875756561557,2.7409988311152254,2.811144942642977,3.5279497800141675,2.6915373750385583,3.8379671048926096,5.481782718703105,3.0734172262032198,4.658558720244307,3.05736582640697,4.93463936907673,2.80204319196982,3.442414485425251,2.990017228837209,2.722673994868084,2.6361986671938764,3.06772240133345,3.3910278452279883,4.505997166362666,3.3791759685693616,3.2486991459719192,3.8093483257464187,5.218548092482212,4.719445723765269,3.152505823563243,3.0378277387631076,3.543152580165258,5.768235199769106,3.306033671037014,4.040575465980238,4.797953438812279,2.4436476736718986,2.759668895880116,2.497857411739584,3.7067794358531065,2.8302555187658496,2.453168211239818,2.749133484511356,5.984976378144001,2.843109196321398,2.9223994921596126,2.8158597153826284,3.0048492922576346,3.8878041664578387,3.4464616295045474,3.9922415110607923,4.059577460505814,3.610909883557503,4.973177713043208,4.02384792719035,2.8872096436351904,2.8571747534673304,5.384184309423578,3.875753859840039,3.79614841016404,6.378737726075038,4.690502259568781,4.1253881701371675,3.259451172160985,3.845179782065878,3.2200254467961873,3.3336260458837086,4.198580545817258,4.155362153176214,3.7379674656393305,4.552779446200723,5.324409860712099,4.263473640664256,3.2209277934536855,3.5344487492092442,5.1622256119100856,3.718306592371394,4.174523669936139,3.9680217037651526,5.351538192182146,4.703154578780765,5.476238761046524,3.2811432798896614,4.653335641269123,3.5957460665480228,3.586953122263943,3.0347992404093787,2.8313445461563616,4.3304903509270165,3.281397375392776,4.568149361198169,3.1844331770068077,5.494622106432947,3.4918100691973177,4.541462900420146
alligator,4.643781946894407,0.0,4.699441965949396,3.449128319287832,4.170342611843874,4.207544380348807,3.434553864585791,3.8757205152446605,5.292203510421683,3.2045785072931685,5.220997955828616,5.277881532317765,3.8611095052228364,4.1960745797094265,5.254418816749331,5.528959705964486,5.705798113018924,5.574472989933526,4.840826263813095,3.568619040364706,3.1159483383210738,4.817563477033522,5.102680780787032,3.486387216510928,4.388036188253747,3.4001101114897585,3.7454622890129707,4.152989992441384,4.7881454687079525,4.272655234351369,2.8484824485728497,4.240780578989037,3.122817888920465,5.53334193542649,4.221638186386887,3.9171605037000097,5.507214764527767,3.6673377762151507,4.5748464692939965,3.7178706291111707,5.585746836743621,4.170373824856609,3.3584831200565253,5.2296924250639885,5.41600119291231,2.864483547237066,6.749854080082599,3.149963236851962,5.318791095474424,3.7038934141985984,4.624074985501614,4.005399972201389,4.391590119684343,3.706128553881291,4.845884782556309,3.7711758355179827,4.950869172377005,3.795741140314469,5.012761768708665,6.73095998379694,5.579717753960855,4.374680922833557,3.240348774729145,5.216207902193964,4.552285884375258,3.4044876482041846,5.261617356790451,3.0150401306860086,3.404389077695527,4.310189849719555,2.67088493758142,5.711772576418129,3.0791269489879487,4.1242682218453615,4.448042829493451,3.4826334114570705,4.7660369772539015,4.575572506559932,4.844361305638891,5.372155082430515,2.843265110058362,4.642859708901557,5.399382451498217,3.205878028990598,3.6892848904653928,3.0560440334536754,4.322220788495269,3.9263274457331145,3.2135313682654036,3.2076357028356632,5.2814573351100496,3.7972391316073275,4.557681104969723,5.0337520382623415,4.748663356631714,4.546130121295628,4.132526135918281,4.744730601499442,5.082668219789157,3.984275230138272,3.824664305058533,4.211941819813035,4.549919699492536,4.498895572084563,4.168721113620658,3.7088034800320004,4.1194405761479365,6.126500524540393,5.279184109793886,4.081288856244166,2.410390522922322,6.166121298923904,5.074018937315219,4.2876419226373566,3.0360848145092088,3.1959918385671733,3.3061618190426887,4.358411431535915,6.932194288214848,3.9969062727158584,3.658003390710205,3.4094852901146133,3.708961337778672,3.9711280550562056,3.329074684754845,3.2110789322594817,4.2753667757801415,2.88393742605519,4.616798579484727,3.0100188214311716,4.317731995121805,2.970925545490421,4.289681308011625,3.847934149169337,4.945190850926199,4.033542531748395,6.810963232546191,3.6984843254121236,2.8704314064482794,4.555331446460484,3.7820081863501485,3.813791575424913,3.936718202788475,3.272884517732788,4.23896914050896,3.4802122506756294,4.024118472040231,2.8621729689198174,4.327596913917214,2.98966649574944,4.748660364479934,4.229315795824293
alpaca,2.448277366723288,4.699441965949396,0.0,4.591284030651857,3.3362215699902387,2.5177941982668024,3.6897845880152844,3.0658590928225804,2.7413131646741644,3.288060305874971,3.5596973054241388,2.494939925209026,5.56009217418276,2.990300306873466,2.682188799907054,3.22155548936722,3.4630448485508123,4.627638008183541,3.236476924945221,4.023798369054108,4.522515701723007,3.3412439026427667,2.831934105736539,3.69343385141361,2.709532541074465,5.350588718256182,3.6933454962693615,2.774312409373839,3.2132145625645996,2.5340629677104944,4.715017557100291,3.2976337367720197,3.9033560869278396,2.990617493942319,2.983216337759818,4.315786344061575,2.844296538243998,3.186580302120835,3.196702185470291,3.994471705424404,3.2190323660815165,2.797520584948666,5.312483123528633,3.3911167835528744,3.074209089628077,3.640914943232224,3.9512804840896725,3.6741683443468545,2.831627565125189,4.166150346888334,2.9434820073490138,2.5063593925937995,2.986730815654554,3.1522264721918214,3.2356346506459017,3.136790022269407,3.1252104984550764,3.574943906497583,2.5451888537774385,3.8291870958502443,3.4092286956501483,2.656108685941145,4.009355986334509,3.045090615803249,2.9190894426340868,3.504205086409954,2.764655711903388,4.056452461984858,5.0966151336915875,2.9627325105391855,5.104628449150657,2.7107554113218764,4.743216500704316,3.1142082769036,3.779832416291457,3.2741054908898373,2.8225041849136074,2.9151429636627704,2.779742248844062,3.512059596557495,4.601081882357411,3.4176700528227477,3.6063857604063734,3.6313020599470107,4.907458247581145,4.838353504411588,3.0237414112789147,2.9925402813676114,3.741008736597084,5.7582374775689305,3.6280754548673455,4.080849887313962,4.769703190427696,2.2140728718466116,2.962202322285671,2.7929896864325463,3.9639209320804807,3.0789420956465348,2.544075342303587,2.893806409097481,5.578486318050758,2.8289705080018166,3.2203391798140912,2.918184438551796,3.276506750529017,3.4488489519257377,3.6061642492157007,3.751990383416653,3.9010463674361926,3.296501988327692,5.0535241415761245,3.6653195359446036,3.0800171535328547,2.518242801117241,5.1987449388606235,4.228972181432035,4.148742183252008,6.048878735278221,5.129118220251682,4.236948019280157,3.319682566110273,4.064199963677093,2.8906532076791125,3.3595382988653,3.971880896093242,4.300515984162189,4.341531984487581,4.605665122336381,5.507369633718466,4.519833589526692,3.0666673599140863,3.647044026218419,5.184745873557588,3.3774508417083338,4.650468015033763,3.9762307993256782,5.895967130982162,4.3560591113543286,5.158100614004927,3.5521660176634198,4.285124628242765,3.652464162932442,3.628159552996518,3.0646224314121446,2.7137819591987338,4.322852005511122,3.253497580700772,4.72662337189424,3.2704099957906356,5.445473883820291,3.1302185337342334,4.32757776357387
ant,4.446835154676368,3.449128319287832,4.591284030651857,0.0,4.088347831310293,3.7861309569083,3.407387833211875,3.185311675778529,5.269322602506351,3.8473223551526363,4.0775764211083185,5.12293405018476,4.713875671691803,4.52004998206942,4.992263774840167,5.093645791143451,4.671627016496731,4.346367197260628,4.39039197647562,3.2614206810962765,3.855248091813103,4.431107479402112,4.693029487215845,3.476027270989071,4.403898970438854,4.0755601933935806,3.388911892784587,3.814778454315042,3.7788689905167447,4.286872590586934,3.207771464133951,3.8265108165257415,3.12155761036958,4.8966031033346376,3.71313239854873,3.3942348370887614,5.128073978041503,3.2233064455018376,4.652770040029168,3.1796050293731692,5.066500708613122,4.326174564881576,3.648095466990098,4.073832074699833,4.954588760045025,2.676262236480278,6.049085043686864,3.17581630023231,5.0501067720083395,3.006680342161329,4.250008248863594,4.0652198420769325,4.515241298290187,4.233658172832466,4.553500303870181,3.7066074048753195,4.288509397298139,3.931153251197787,4.5877234608294675,6.114972976110714,4.691276312992341,4.2471947101260055,3.5116229506969274,4.451612932441553,3.926375782377931,3.6304038833200876,4.822230191788889,2.8858149215474396,4.164854055683718,4.26227286674457,2.896854844450915,5.564351656310233,2.937992759589327,3.6968749828656504,3.6312444271949817,3.5224859917660925,4.578871453207209,3.9857250675810296,4.457082671741425,4.697399900555719,2.9577470765124323,4.669283643402392,4.357488331569361,3.517482232466856,4.4106902453484045,3.015649779472892,3.7210111022695047,3.700046916911651,2.6643170168731523,3.543369422498635,4.380267688691819,2.9590456404719996,4.483571622236484,4.723802703377754,4.247764665097217,4.392270500781409,3.9492448183697184,4.480404597361301,5.023531667029737,4.02482934180091,4.984645208194579,4.3001779813086305,3.6064813993202915,3.889273363687693,4.077124204223898,4.12404370405296,4.014617552660933,5.471918608478121,5.24706204678701,3.8847115889710437,3.1986228318913525,5.534021524096898,4.597969557951177,4.310289819805568,3.402318134346583,2.914126584200358,2.9625383272566306,4.854517036947891,6.098903665973197,3.2728608225440357,3.6412220321655595,3.2006482115672097,4.06471545534272,4.119357027727424,3.859304446535498,3.0300424534057213,3.800064953441282,3.3801671959994284,3.862158158634625,2.8271303061685664,4.517424580165174,3.508005068286052,4.08317353943843,3.3968697497362905,3.810712472103799,3.6466147939595452,5.185164224955217,3.9162433027731587,3.583434535306812,3.8256912803177805,4.254116484179251,3.3683662083664427,3.21786325865429,3.509786033398629,4.288302282218358,2.440183472566879,4.153619848662351,3.062585211652177,4.106862806547738,3.6667482246929852,4.704259809704995,4.505397392399182
anteater,2.8169826116586894,4.170342611843874,3.3362215699902387,4.088347831310293,0.0,2.6310245552110905,3.7849100002119886,3.163030786118993,3.4878365371602533,3.2078631887001565,4.061134625386194,3.219235176913135,5.161699659371961,3.3345093899047686,2.8441955978265123,3.1740722442395937,4.051932623606527,5.249950685162285,2.6902290072141,4.391460670158862,4.344856854442796,4.305072152162358,3.188572403076787,3.901595944178455,2.9279641463145683,4.803633780829224,4.173931350044584,3.608489481445123,2.705977773882863,2.6060776147037004,3.9819078457751034,3.1446541242600023,3.7523681132724325,3.4138644727319054,2.675963264076714,4.278556030413195,3.234699164466267,3.268619934344421,3.086007295974232,4.149630110130422,2.9851295958048953,2.7944485570668185,5.228803529756456,3.7129698498424437,3.108711406061389,3.439428466191733,4.367891661217077,3.173365553208984,3.609671926961884,4.524021422810004,2.902011538716981,3.049244382497503,2.521186115740862,3.1892651065669435,2.934130437015004,3.0900154606072663,2.982052816017095,2.989789036662421,2.963368370964958,3.9352369880928815,3.501324114202488,2.8555673472738152,3.5780092802455474,3.4186283953606496,3.205020473012044,3.306866750074372,3.774430498791552,3.5136944833227783,5.077876066490347,2.77016858604942,4.1817706180209395,3.7336351506196133,4.333587928073047,3.650113565629952,4.1773693808105765,3.0479612757958177,2.667066481727459,2.9044208882773868,2.9997519756342856,3.043078346750452,4.615881180529584,3.167409002323146,3.552604544177301,3.7661069845688107,4.438913369405312,4.33211889001905,3.105504884350977,2.9207992107063045,3.3390019243375577,5.13135050914472,4.053374675151132,4.156043929059958,5.435215130488279,3.3251775023805803,3.567847275674169,3.4375001614608007,4.596744329300215,3.931789256297149,2.967512900763055,2.447251646500919,5.220926560507605,3.058642979679299,3.328590446911392,2.815964247241911,3.1968606911393462,3.723304114192811,2.8074864350283226,3.95908461335053,3.4864025836935064,3.88304918357837,4.2812706125693785,4.087068712182883,3.252506128127078,3.3202928078478773,4.62129411714454,3.7703765774624847,3.676774282572522,5.378784608800625,6.018529028490281,4.337424917347593,3.5857934433957297,4.1139857497219126,3.3986443131462263,2.760224722072338,3.654179494844607,4.193640940888748,4.510944844853503,3.6492604231074863,4.292610054421346,4.355900116853548,2.982264404945705,3.2723900081776076,5.6428190355471655,3.377877324322199,4.1907793285599535,3.323164576507,5.468514982308639,4.163801018910636,5.028124568107744,3.232224280164149,3.897880575772797,4.1907211121352805,4.119608941749308,3.1901126267983972,2.7928364061007356,4.283453173279304,2.885087128986906,4.376715839894591,2.6222284453496303,4.783731057580508,2.9411079304659,3.842462069637717
antelope,2.5268408540629586,4.207544380348807,2.5177941982668024,3.7861309569083,2.6310245552110905,0.0,3.4288814411617783,2.7798420068834058,3.174961597014487,3.2290383317326428,3.3363507185030694,2.7839926657512324,5.187496709868616,3.0908712900185087,2.7449127858635616,2.7898612973821377,3.2949967953220796,4.53819659703459,2.6543944021623633,3.670754543964474,4.07264947462981,3.4704165765732404,2.5676344422053394,3.61631891491634,2.611527724746475,4.736219931715396,3.5692260050678537,2.665302002471409,2.5135333066100225,2.324946597070806,4.066885089944137,2.87040021508936,3.332939158238392,2.6327489707240495,2.3700474106683913,3.915276488727898,2.774607849472064,2.928915712616906,2.857885282043984,3.701955527814059,2.9949216625923927,2.719756564250972,4.980539659131725,3.0702322035769436,2.7488758486243112,3.0598486192420227,3.619291326276933,3.1334822510278797,2.962581894839843,3.7583115943824446,2.618516568646182,2.5938636268669057,2.929242906047393,3.211163465206719,2.767292687544047,2.8704302496133276,2.624492084313969,3.1097867005333453,2.5556589752779093,3.7017977693367414,2.973797350196624,2.3375697455979054,3.443368436716731,2.7609078163524816,2.6737061631867545,3.127410209056295,2.8743605730266855,3.487178245038299,4.76859400034902,2.470653361786476,4.327656032535974,3.0638387826573608,4.2205472355091755,3.0080072546561505,3.6092360135941175,2.938720319996329,2.6247524081650817,2.5840798911412435,2.675205776169566,2.9678548638332325,4.0499333648164555,3.060175164438572,3.1071905815993985,3.536479887357903,4.373675041067045,4.247254358226759,2.857199392855811,2.783775633390828,3.146190901968061,5.183514347800306,3.467233120458267,3.571634482760289,4.771271877995541,2.62712415758201,2.933604045457063,2.6903454702114615,3.9280316668777697,3.2850120486162226,2.6026376939979343,2.342163670432336,5.485274909404083,2.9087245741322345,2.853199030666339,2.539411748716029,2.9536543913869537,3.500743098420641,3.08122803210042,3.5897594885519912,3.62323687515075,3.3848911456639343,4.373912307932348,3.6051931138140376,2.595186855137564,2.666779008946118,4.652141814203387,3.5263058474791253,3.3853659775445264,5.642978732540905,5.122551016609889,3.86867857404887,3.165812415113544,3.599124316231561,2.9193084576084294,2.7945882878968233,3.7507978615543367,3.8130855100541847,3.8842901291213248,3.7995585895274573,4.725835127601913,3.9990569177471302,2.8756749952105927,3.1234588539237285,5.074742761135046,2.918229527112297,3.860697950177828,3.3364270577566972,5.303024198301693,4.002263725328972,4.821993283588253,3.1914249853477568,3.9010756137435134,3.441774820217608,3.4930551475740175,2.7920247529592572,2.495735426638865,3.7587436388160644,2.8817896306453967,4.270003953927047,2.7724244398380447,4.800627098934223,3.027479004916429,3.8438624883750383
badger,3.4981042180170476,3.434553864585791,3.6897845880152844,3.407387833211875,3.7849100002119886,3.4288814411617783,0.0,2.7393476899360185,4.224426734934433,3.1131745177345276,3.8786606215055013,4.275924661609935,4.805463603233606,3.495623703859705,4.3795606349443865,4.781256664304769,4.469670292024861,4.148226306547003,3.9968821747881087,2.8519380250839617,3.7444096747643703,3.364621080514267,3.9787659074779405,2.566231372748939,3.4999642902006665,4.081871122130429,2.9300196747625873,3.0379795200212385,4.258675917624418,3.7272366675645023,4.0191253945014225,3.3318119203520045,3.263955508311833,4.739005841671983,3.40311777435219,3.512750102530953,4.556696182940424,2.9615460059738203,4.116194251459582,2.520151798367441,4.74202437730632,3.271067938438004,3.6674809646637563,4.458389778390092,4.683914957901449,2.9318156075069446,5.618471998484981,3.1064377988736593,4.313260729705542,3.109500623804664,3.97345288856524,2.860158650956174,3.8321338405155596,3.3109922253511526,4.042027451654353,2.8332492548802475,4.143304305289878,3.3159640494807454,4.1820895724291685,5.82083395504239,4.451210551940163,3.6364428806728406,3.6844963646350117,4.093829051563529,3.3067230417240694,3.0185699024147317,3.9681803353976,2.7710362201936896,3.8779826335741996,3.9021688841170468,3.591492311151263,4.867298369977491,3.8148213692762125,2.7878976294468867,2.83210378652922,2.6478712231332264,4.176475435587131,3.473478727204451,4.176398042398717,4.711324810380969,2.962940219971616,4.103118020553429,4.515971413712788,2.7885967488611842,4.381519864287769,3.5763299547363276,3.1338308391590908,2.8072184443686563,2.9724473569653016,4.039617690971722,4.09538437796982,2.810662810675198,3.5795035706069553,3.920315009961352,3.323786356144208,3.342132770737746,2.9844749322046313,3.0934478223662873,4.404663413847187,3.404125122343081,4.471727795854408,3.0071736710944945,3.2629022542655366,3.5359500788866094,3.308731023601283,3.132628928200271,3.5686820757186353,5.764345619540647,5.081635243869588,2.640590224466948,3.7281564829280573,5.516025894928897,4.348425532979033,3.3559033126960105,4.346353733013825,3.5499096349160957,3.5207060177310963,4.89957625616067,5.551192428733878,3.2220409880438794,2.319805593300918,3.2784614132061822,3.1737397329564008,3.3904976537690787,3.44822039423482,3.0530216373818457,3.463168695532098,4.022380026558384,5.208034825671298,2.736170459859966,3.835638092456341,3.4097498834956683,3.563120292281361,3.623763859229298,4.336256866185543,4.161890203312472,5.833571957765424,3.960815988225923,3.9435993787184827,3.817960791230316,4.349666839150518,3.0416762939378,2.6016440251723916,2.764841504249457,3.7973660756703835,3.3896876959607276,3.5941955443133127,2.998062526907497,3.9958296401930635,4.271767084243167,4.140890031414116,4.486526341716071
bat1,2.9319994696181304,3.8757205152446605,3.0658590928225804,3.185311675778529,3.163030786118993,2.7798420068834058,2.7393476899360185,0.0,3.660756206606595,3.0732953499255076,3.5240892771499355,3.552301162584478,4.775933998266472,3.4533311716712456,3.389031593938677,3.817289129815126,4.005803267731466,4.321381451875455,3.130382569986201,3.1284990933120542,3.6969393412780622,3.661535624657633,3.3509352287700502,2.8568734326688627,3.0915425017244687,4.099426122410566,3.0041047275877464,2.824548755088542,3.2997466730947576,3.1080873580734596,3.7543789765971067,2.972120001168553,2.8313628594392752,3.7953361647344828,2.6867226431503104,3.71203796530213,3.910627694508316,2.6797818121688888,3.4682069955155472,3.1883316585915495,3.726598356237974,2.8759163058082455,3.966354496870397,3.733786555216627,3.6761857699004494,2.718725520535467,4.998556897128883,2.877877706125452,3.6475746557056055,3.1859004237444495,3.290099535099488,2.6201164733159517,3.154528559516794,3.1425180792759435,3.223895424666897,2.7452876584216885,2.9946040637026847,2.94504546245338,3.22613025257425,4.907412317139131,3.5902370821285947,3.0638393627414557,3.2624460514664677,3.3958371765766158,2.4070422042510105,2.887054632402023,3.639304378798499,3.0119654086147243,3.999176607755512,3.234938215443888,3.8122156836709786,4.210685540059573,3.6020334917600447,3.0722691545876493,2.9222472869093843,2.5056735784182624,3.374465682218823,2.945957103094025,3.3743489455551803,3.547413915900175,3.3475105952706032,3.4289857709961473,3.640267556331339,2.8908872710375317,4.140212220252593,3.484586503211049,2.8272905879407255,2.6234172990056743,2.6996093982154177,4.324501442235877,3.7601855599753033,2.967933406492657,4.15918293885698,3.2411388967192925,3.0460765122510893,2.9283950654473965,3.5435463430431384,3.236322275355765,3.668534277150052,2.951673482023415,4.814466100635144,2.7827394618956838,2.877380051909773,2.862790859448131,2.9801790261162,3.123387001582825,3.149097981590628,4.678177400248473,4.142265428218575,2.7372024952460166,3.71830665715363,4.627522640310214,3.484483040727964,3.060644335283037,4.087418501326267,3.3733759152730483,3.2428500511569758,4.8815546080682255,5.5647317487157135,3.2466986920124956,2.648719851983758,3.5134172123989846,3.009803973593241,3.1056270700683397,3.2045976241434886,3.4032723317345943,3.6084159371337647,3.5316287161269835,4.275914463764936,3.3519955309292953,3.2837089120868392,2.967791854321925,4.376901170298715,3.1025867953512662,3.8429401020633165,3.3546318824904464,5.328263861376563,3.3830944962158234,4.114456033468629,3.1743557439614096,3.750031881581701,2.852004547505365,2.810083501197749,2.6719532896161944,2.913250478454854,3.125412532030604,3.0897122626936677,3.4598229971942693,3.1721435464606857,4.144379255834719,3.4729293975602165,3.8320907473473347
bear,3.0016320280795052,5.292203510421683,2.7413131646741644,5.269322602506351,3.4878365371602533,3.174961597014487,4.224426734934433,3.660756206606595,0.0,3.8095957906756173,4.405488905072978,2.389540989954871,5.812892979780703,3.004261563685527,2.598076377089411,3.031494100895837,3.7981867184061953,5.537007757377415,2.940319970505351,5.061445433223034,4.884451596659792,3.901766519304939,2.988798974367571,4.286119984174009,2.722906852629843,5.763055925447501,4.548173812270885,3.471512218272698,3.5787242623739135,3.0439204380999985,5.368384751968779,3.988201559828587,4.52070767208301,3.575892230550774,3.0851775699859996,5.227178320413937,3.15632717135749,4.105115545493504,3.2014555621580514,4.879714015805349,3.080130762659068,2.832177708321547,6.228290210969241,4.454108945078455,3.1044778530918773,4.342002283257804,4.4097236192045095,4.277090398734359,3.381594477946131,5.084753586491048,3.6670024315651326,2.782268347107579,2.9848346888629345,3.260892025079917,3.2748204259383296,3.6123430600568214,3.384766981908465,3.7987667754824637,2.9814760858445792,3.8708141826737528,3.841274632755198,2.675649143047953,4.303439019179356,3.346757700013854,3.406177038768165,3.661221658961287,3.33083355515551,4.673341415643956,5.536901087109961,3.2101905436967777,5.7541566298261975,3.493257318071086,5.50164418646194,4.0145245588716705,4.240349307487271,3.5103435895837016,3.139896186845362,3.110621888618284,2.9677918909202403,3.6681842856969324,5.18339838066403,3.4737210390424593,4.528526368594255,3.8615056588409375,5.040836981807435,5.343631237683507,3.4116511968668117,3.343064908574353,4.360588271891651,6.343640730623341,4.675080845872929,4.736983480831806,5.706495995169312,2.728025580391172,3.811491557682293,3.2239575745864446,4.716447408920968,3.8835740964130525,2.9782758484500467,2.978508841422623,5.999846380541744,3.111559868623393,4.009058058324175,3.1526753245575745,3.4812319580906603,3.8308065466263868,3.3962794901843614,4.194788896050566,3.8983699977584148,3.7356221205462896,5.539691133836024,4.207378514511244,3.6592492601172433,3.675582541156422,5.8901994835812355,4.927487035530589,5.001674628462975,6.601869905911883,6.114541146915024,5.145914278132987,3.703500371508703,5.004627112078842,3.1965547654591506,3.5875458400041778,4.105598602535182,5.181323368281372,5.195435752136141,5.121541189867717,6.078051171272704,5.194940354122684,3.204623892907674,4.001586778398395,6.252078630328592,4.181307278534963,5.607716427589954,4.033112636992284,6.541486777581615,4.66244506254435,5.648247197206559,4.2954726683650994,4.798414061491107,4.548341299731788,4.356481320575007,3.436109689832242,2.7462198177466264,5.049342762371998,3.7323850283274207,5.4738376669594455,3.483790752338913,5.99292949236108,3.026593040336644,5.055529468948058
beaver,3.507940281413161,3.2045785072931685,3.288060305874971,3.8473223551526363,3.2078631887001565,3.2290383317326428,3.1131745177345276,3.0732953499255076,3.8095957906756173,0.0,4.40367145462142,3.7984291143237043,4.048052260241534,3.0298697824067173,3.638222111415863,4.137014244622676,4.866507335102772,5.240643358768878,3.5698496319359485,3.72838541905208,3.134458551499601,4.166259748567184,3.931675828707249,2.899621410871792,3.1719807991154227,3.886231569054435,3.646667027810184,3.2317736370682315,3.7986018851483827,2.909217798954911,3.430453518376726,3.443104599640268,3.367707498338455,4.336184609785067,3.4233657036763114,4.0278699855751485,4.268058324241063,3.4006740535027578,3.181212054473662,3.6334432159853653,4.173950302670356,2.9355812485093744,4.0351909439547855,4.472669103715257,4.137019326558348,3.06579767721919,5.6643047567457145,2.657992811447397,4.204426680712768,3.924250066331795,3.403134415803615,2.745349337685871,3.185484332204101,2.4763902923228844,3.271750400845942,2.731825100353919,3.65081154909599,2.5176257967767453,3.764032927886412,5.246578223372482,4.463557689200819,3.3865330313673416,2.960918692261339,4.124783661489173,3.4055189777147175,2.8734583626434334,4.351719282176463,3.0474851513613177,3.62133704741457,3.190850763751838,3.755296394135438,4.4231859706058945,3.427542861877149,3.733027702614475,3.983605363858645,2.761799479052381,3.4528323789743123,3.449413385106703,3.485862894391031,4.072631979363615,3.6515479276301788,3.4021766251181176,4.556421054518034,2.7265702249526202,3.5955258900345317,3.7184278069656282,3.299957896684351,2.65227379220473,2.9569539505560374,4.227250031946212,4.5740937605578225,3.850026292545191,4.735426420073168,3.8552953168169832,3.8889824326123312,3.7909267478299045,3.9856895518112747,3.9888689362082554,3.6212895910508807,3.0494776158607624,3.840773312202051,2.7671405422877666,3.784021997795489,3.2806613332923105,3.335120296597945,2.8245460758382954,3.0855728660968773,4.902105094807128,3.937130286516764,3.1693653054755107,3.4643183612222694,5.030121948264894,4.01294447076693,3.1698057252513965,3.778643252627831,3.6485262674351855,3.859104908796263,4.161658672005341,6.357779964660365,3.93504627294809,2.8775211507589464,3.5712948617101192,2.9225727612884778,2.846530202170692,2.806722654082467,3.6192460253289145,4.326984796587185,3.276941038509219,4.488912781554878,3.6333455990848047,3.1142924127422225,2.896119450375869,4.69118351095815,3.4061284626143875,4.734768781170022,3.3890432412871916,6.214686565288975,3.1417618597747006,3.760707099566333,3.9750448808799637,3.066495802997063,3.755944634065877,3.6039011594106625,2.422736492090891,3.053214215152036,3.845032448945891,2.947726514503896,3.7097862244291924,3.3289127152544378,3.9254028957990585,3.0592767932973013,3.4049259465404984
