,aardvark,alligator,alpaca,ant,anteater,antelope,badger,bat1,bear,beaver,bird,bison,blowfish,boar,bull,calf1,camel,cardinal,cat,catfish,cheetah,chick,chihuahua,chinchilla,chipmunk,cobra,cockatoo,cougar,cow,coyote,crayfish,crow,dalmatian,deer,dog,dolphin,donkey,duck,duckling,eagle,elephant,ferret,fish,flamingo,fox,frog,gazelle,giraffe,goat,goldfish,goose,gopher,gorilla,groundhog,guinea_pig,hamster,hawk,hedgehog,hippopotamus,horse,hummingbird,hyena,iguana,kangaroo,kitten,koala,lamb,leech,leopard,lion,lizard,llama,lobster,manatee,meerkat,mole,mongoose,monkey,moose,mouse1,octopus,orangutan,ostrich,otter,owl,oyster,panda,panther,parrot,peacock,pelican,penguin,pheasant,pig,pigeon,piglet,platypus,polar_bear,pony,poodle,porcupine,possum,puffin,pug,puppy,rabbit,raccoon,racehorse,ram,rat,rattlesnake,reindeer,rhinoceros,rooster,sardine,scallop,scorpion,sea_urchin,seagull,seahorse,seal,shark,sheep,skunk,sloth,slug,snail,snake,spider,squid,squirrel,starfish,stingray,swan,swordfish,tarantula,tick,tiger,toad,toucan,turkey,turtle,vulture,walrus,warthog,wasp,weasel,whale,wolf,worm,yak,zebra
aardvark,0.0,7.510851749709553,3.48058205940861,5.990468089585271,2.943302517946609,3.8444262794380974,3.563443511109955,2.910561263777448,3.7173409970029105,3.514728420631387,3.1334068832074906,2.9362489967660257,4.654594358185806,3.0299677663375397,2.8953373784834753,2.575831559019486,3.094326604383777,3.543000909690531,4.023146213660686,6.017073766217514,3.841897700121209,3.489107344081646,4.840062444071388,2.6831186345291096,4.024045841847509,4.705955850056091,3.243098385593362,3.287688542802471,3.76594434270292,2.8682748988786306,7.583125933408316,3.324601682523141,3.7515390018801402,3.273151989095623,3.866804049354024,6.538567156354273,3.193970121186272,3.999985868867605,3.100670125273931,3.432620062248304,2.7769822269531166,3.6606115109523993,7.471932337723175,3.7667707023260792,4.822497834102664,5.6450036176646785,3.1443429665692255,5.046794937231301,3.1216805034989528,4.7729771274212185,4.07728108502148,2.875941221784221,4.9918400592265755,4.017299260351318,4.45428314824442,4.089422554554203,3.767097079602888,3.584918147731662,2.9256196210856085,3.7039651757052594,3.293427569508386,3.513113751128075,5.3327839340794805,2.87767138553681,3.947686176654078,5.225905186024054,4.138088481646013,6.794865891994854,4.764204625347666,3.9242795684728193,8.430217574794678,3.8288627915582243,6.450030301041552,2.9458421095538068,6.34874579723825,3.5110081725499156,3.201533283643982,7.068015251489,2.6901076023571684,3.0282160018008777,5.634928524265831,3.7206879487242386,4.02276251451129,3.5383984880705155,4.883498382959752,6.570464700726515,3.9588590538154307,3.888202741280916,3.3244051104610417,6.983242513347942,4.162526325913665,3.9283576686030326,5.477046684787082,2.8555855631518403,3.42278560565445,3.0434239180714053,5.542261102876837,3.722468268896539,2.624457999908782,4.001254464517443,6.310350121547594,4.893985558861077,3.4377207220580672,4.616971529059372,5.023654116895217,2.7247036437670067,4.263898838970939,3.505528427548605,3.4118353183310415,2.9472963288419245,6.911601573028993,3.9061990096999235,3.236058741130739,3.373164312330687,7.443141326365816,7.0514560713306755,6.8143242933973625,7.147052748944609,3.5567986673717,4.49970296908215,3.2709854476674045,7.624217291736144,3.992583625929078,3.112006926363003,3.0686690577340117,7.440457119893479,6.096111324442655,5.83693532909189,7.188931578519242,5.850848577287894,3.369180268411946,7.107215071136016,7.525858738077842,3.83930214465134,8.39743373119327,3.0796830411390625,7.029376237913034,3.0768312761003416,5.719284305964843,3.395663914090398,4.203254459614752,6.364842534474262,3.824247445070748,2.866885941257003,2.9232913692220053,5.571600802959849,4.559619031042346,6.8781209202038465,3.4024695923637407,8.413243646340277,2.860291604154,3.3589832484405515
alligator,7.510851749709553,0.0,7.82678959720175,3.034153967773745,6.72579902086958,5.231111250224822,5.657418893217468,5.80843493740712,9.914418695280858,4.954977189373884,7.173431955012129,7.658367785131721,5.898278928407014,7.481363906760354,7.875334427038733,8.079878043338853,7.973947819346815,6.790390708681834,9.895499593223315,2.946939911944705,5.060324294406895,9.220562416050543,11.116335858048059,8.12234623232193,10.062307166022723,5.107035671704831,6.207539080979768,9.337068986432184,5.054579581700993,7.929187850601154,2.6434248466283656,6.0837076286907505,6.914903849939891,8.014183553645902,9.284743008127574,2.901657362411294,8.899790274066358,5.939163927063056,8.747973841465686,5.361362745679784,8.508178094765794,9.351495673315071,2.3235863931179837,5.43321126916736,10.890826702804528,3.0468961918729978,6.983979794538261,3.7668670361664005,7.10825771096338,4.056485323154644,5.895067206083414,7.826275511844669,10.666280742847182,8.99076645589645,10.228971673214192,10.037640754689242,9.23363661435278,5.941884253493284,5.726038242833143,9.68845249156159,7.279092222142859,9.485015225442726,3.32653311875798,8.45904803068146,9.524494836976073,11.04800467008585,10.151685678132191,3.007124673914043,3.9840415996441028,8.790773686449604,2.75632998315769,8.920574574658223,2.338121680505837,5.697386856921664,11.855911670139108,5.4504863390291,8.770620807939833,13.080513244719436,7.3873535481224435,8.947052143039363,2.8981856429664354,9.21035785078475,5.407316454708111,7.686861361478992,9.536011820140212,2.774736275624762,9.466933738297271,9.364377888120842,7.165077345892551,2.3369124622909716,7.148840374765824,6.042452463825434,5.898470588499171,8.981213010871752,8.209722329983157,8.200120501309524,3.7112418855595,9.887721168536311,7.477123753324466,9.137349552111168,3.2530383787053982,11.10343127475109,7.045757328942361,10.257572224090167,11.044575749553289,6.437558966814688,9.38329264566257,6.9245722955792,8.594684543979506,7.490214841217096,2.538949905884243,6.635362208035184,7.167706235679375,6.398423555022499,2.6077901744335246,2.7031952842885456,2.6664619048896947,2.333018468844674,7.232596754485531,4.645357478092953,8.14348679126522,2.7032525935387968,9.73539590581064,6.050201768439759,6.730902023012365,2.1586980188704157,3.207980899547155,3.08273974741491,3.594246467433421,3.5565081097082376,8.866990215348627,3.265118188040937,2.504633631425477,5.470854854833675,2.897717700300131,6.793131207705446,3.620167790090113,7.425606687596341,3.0860090981971147,7.3885626841798855,4.781430010300573,2.979758054849643,8.033576053921097,7.096272283402639,8.12296810659041,3.4889583625464677,10.558001330290978,2.225111580833196,8.96235127886852,2.461052785276809,8.005898059835673,5.956121362545945
alpaca,3.48058205940861,7.82678959720175,0.0,6.536694668623999,4.294650286136209,4.544569372727436,3.943278817457168,3.8757154982224122,4.126505890294194,4.222763034565804,3.215777816357903,4.456280641764427,5.666874354945244,3.6133876179390008,3.4863443648047556,3.4315060754337408,3.4372529562739493,3.3848288720695594,4.912861281975089,6.48356723975764,4.074316065722132,4.326703337926068,5.483813510874392,4.101580031591022,4.610722195579322,5.2198152502306145,3.3110638011831766,3.6662044766675694,4.5437159465986365,3.825210146912792,8.213209311958886,3.4574675531686476,3.447493710895812,3.903423219386473,3.9262775674901325,7.071435027562303,3.574878667566006,3.7148363111860143,3.636896546882852,4.055627741559104,4.391909412810783,4.189800975189638,7.97989868004539,3.876688291359666,5.85676310684842,6.146518572734067,3.661640436402264,5.207106470723545,2.639587263897345,5.369705005849884,3.766739025731998,3.599703091300206,4.710367256562211,4.173644107009023,5.241165144976135,5.0604310861843285,4.136866890316877,4.272384212916667,3.89046129589124,4.609914109263797,3.638905232474149,4.0656306731860195,5.712772964621422,3.0430866499596547,4.607129555530485,5.63156082100831,3.9559907709048763,7.623169652854977,5.177221491021695,4.276993710786796,8.522673054048385,3.478604647335325,6.73805051871122,3.8361103902307523,5.3410383334358436,4.522093930831117,3.1111324464177357,6.878680500414993,3.9015378920073065,4.505742587770899,6.129429794805912,4.450995660209196,3.673699511908573,2.7979925720687024,5.269758304777278,7.356731917051041,4.029820049120842,4.717581869524703,3.050585287675373,6.971149578530206,2.811510157679596,3.530819458716358,4.525926536451955,3.9105241090237346,2.7455845716826075,3.7113212265951905,5.991304443814009,4.261734503525041,2.955947384354467,4.352457224810249,6.957147436488802,5.494817550115273,3.1172963300942134,4.836671206312183,5.6718282831935385,3.030187554622488,4.763476846949919,2.8448556170419215,4.245522654303118,4.055900013926345,7.470498608075376,4.57708606795982,4.437886049388728,2.8914512428629964,8.0769900803834,7.70363105456881,6.917441079703715,7.44055277732868,3.210020661662877,4.279729896768183,3.0177782211101505,7.834385407268845,4.552822244435729,3.7625098198630886,4.087972078489684,7.889887570370717,6.829546098845765,6.423378236195186,7.354028150288085,6.4115947063887635,4.1065559460516035,7.7400443058045605,7.870621912716732,4.522240241949024,8.725617217782169,3.9367404730803055,7.170790720938634,3.426471862756139,6.283090537744658,4.03647558079136,4.562925333154257,6.81591086426625,3.229366388017882,3.9268131289342025,4.235132504243224,5.922623974070008,5.08729994937636,7.021479494440426,4.0825884080490225,8.87239231813046,3.7399248970755004,3.686584407946574
ant,5.990468089585271,3.034153967773745,6.536694668623999,0.0,5.0894211268365455,4.2321273309000516,4.5287829302749225,4.185719136126632,8.324981347317555,3.69425059189202,5.5503335208462286,6.1264132784958,4.413195686424737,5.889930072204521,6.1646046204957745,6.43463615656576,6.4470195358337925,5.083192949189272,8.142773827039335,3.2877128556308524,3.7606022663967367,7.562216391616921,9.324189546550727,6.513573050401488,8.300601682684187,3.4148035651368014,4.807950286307901,7.69057926744759,3.6821584589828995,6.4530277151988855,3.049345948965679,4.563501135500686,5.16429205611994,6.323183230397335,7.5045354753830305,2.5238146154995214,7.377136511310448,4.559824700044434,7.111539496591973,3.860128886600988,6.769523461517013,7.705563969952566,3.2209237654917535,3.962589370717544,9.102091069036597,2.3739912059220396,5.681889445511095,2.7691743999190743,5.771373038131071,3.1272826430266654,4.170211904512754,6.409174462228075,8.97872472954712,7.377125050322064,8.471604155261177,8.273056603028959,7.3647814946578,4.673264851681811,4.541226827955999,7.768195127549064,5.531633809931778,7.782125274634285,2.433904194698497,6.802992560749834,7.7945945506416106,9.121438289415437,8.570439867939106,2.9962346661836494,3.1069749079217366,7.265379010256069,4.245597354698832,7.22354285016915,2.2842434688223214,4.351523753390071,10.169456362651333,4.095912014417797,7.118685574611915,11.31726505628801,5.716069934997722,7.189677765608432,2.4420453276051486,7.384669445231784,4.076879480024578,6.399825927673437,7.890809496505996,2.4449269522224264,7.75928830284864,7.700862910892083,5.512905335766073,2.8467556444738173,5.755268105926541,4.484201573125873,5.54241605531583,7.274698795237671,6.708069921007038,6.768786443039719,3.634349891234932,8.234653655648613,6.071590198807138,7.294678072619113,3.7072650258065853,9.393544324593012,5.433956781548137,8.443948835474052,9.329420935182947,5.109970421648908,7.86967561777358,5.544625616092262,6.828671394438024,6.080546575331727,2.535623261298009,5.409830858380683,5.49244019748132,5.126020078633966,2.6967801201634076,2.6650220558999145,2.7037288401917015,3.0134210089270743,5.922140381464345,3.2596117407479044,6.597109819935608,3.8431049027865263,8.01078298830309,4.5512319600727285,5.110655322317925,2.96953373338391,3.021010670369,2.2827699275086455,2.8478042020959484,3.103731659719617,7.106149869343056,3.1497578111180413,3.2524365392476424,3.6482263812906583,3.763466765623928,4.923870081168097,4.062626221485481,5.887111670833912,2.4181082648099577,5.552836262249774,3.390382541603276,3.4189427842167555,6.4544247041265495,5.406363596500262,6.431762138902168,2.668562778397726,8.7350592293485,2.689196844232181,7.227481165086458,3.868496651579326,6.315594652979025,4.527576798637099
anteater,2.943302517946609,6.72579902086958,4.294650286136209,5.0894211268365455,0.0,3.3156652967359337,3.8578823019581585,3.3571078030106,4.834229505352427,3.165970751781495,3.3217520057812107,2.641181664561479,4.2324682292353355,3.3076601038732565,3.966951289254627,3.4837837228440436,3.49986898160067,3.7613537054705066,4.998133990994651,5.710561376740775,3.2792480510919817,4.86455512328377,6.221097258060223,3.670316067659574,5.136806387352314,4.290285102403816,4.048171763760293,4.606439949285519,2.991962088516143,3.4279207849573443,6.377798590688123,3.7400672399128405,3.968576214705088,3.130375488891452,4.659465694805262,5.862652913425552,4.063486951384271,4.535801411869687,4.197188029439522,3.650652642853668,3.4944131176802804,5.060394077907917,6.842801936743372,3.3798223971326413,5.678140477917773,5.1635863541005085,3.45272896558987,4.10109273545716,3.451931898148888,4.582015941681066,3.563324972007846,3.70474078322272,6.324309079525493,5.000755429190614,5.671141677108119,5.399992828815874,4.467884432489709,3.47982610262266,2.9204848777234105,4.21568048514225,3.2469893237795375,4.658866036507071,4.62265377222334,3.702912212820317,5.356327814002049,6.137335608262558,5.658722041346899,5.900061197277621,4.242556617128852,4.958907999340826,7.738154299346953,3.962394838237029,5.780121764730048,3.159115732991903,7.5530369321459885,3.4162494920802704,4.22340851257369,8.294542961152173,2.7376943715052744,3.9427547160641754,5.183588155035394,4.42349625694406,3.7564707634758525,4.397961158493061,5.830638999307287,5.616741923021025,4.79153747791428,5.188727103909128,3.817298353522598,6.369694185286707,4.773340912006232,4.076623282089157,5.717138947602757,3.7186734113600903,4.238908523632961,4.655626419271652,5.082435819814475,5.032168161024696,2.9770803596772417,4.360710834978829,5.806537016657918,6.194383194095169,4.1039509007709745,5.5474339312823435,6.499370331292781,3.5618300936494895,5.508195874514656,3.618607981453983,3.9814397376617188,4.230341556062614,6.068382988649809,3.178322890639968,2.96099067726812,3.646874211211215,6.565421497446191,6.363667927013041,5.922797886024502,6.526958283929664,4.061973431895827,4.252965750335344,4.2494944958731375,7.067794800890914,5.043311351205942,2.984518398618402,3.1178254401880214,6.499188358511809,5.6789997517897595,4.85733386896742,6.240302696828105,5.0999448474496525,3.879785501655091,6.0418758969163475,6.93631008164194,3.047219018244954,7.529731763981192,3.1601232087503934,6.572741584786798,3.413966752586018,5.155504484952476,3.2767965459861346,4.046007893816583,5.743741743594423,4.712188929497133,3.3059355861049444,3.1006193176994685,5.106530356478199,5.390740646336727,6.191513590193811,4.034708843441887,7.393194989613976,3.4037298642366536,2.8611618818235054
antelope,3.8444262794380974,5.231111250224822,4.544569372727436,4.2321273309000516,3.3156652967359337,0.0,3.7269239222245076,3.374316690236867,6.1581494647871775,2.7536280888738855,3.792697807013761,3.8787290105710905,4.315172961423054,4.288216008458853,4.765504194704878,4.24517586916248,3.9837135061023043,4.057064532999735,6.460930526757035,4.288699475546717,2.9157686490647876,5.8902697449654156,7.618305321101744,4.663327451533333,6.450414112312283,3.8283983465623037,3.93126996865054,5.643011020217097,2.2080886628735836,4.087211308183471,5.116978064155297,3.524928649757052,4.230029488162349,4.125364602352797,5.96227301357798,4.589097345147859,4.700907710520538,3.99320807428357,5.248529721976377,3.4616383797989396,4.838329670529005,6.104518068688731,5.472747699721985,2.882940695671406,7.113435589217694,3.9768935253900466,3.004790753440802,2.9860275891197343,3.4966386245879617,3.474508218732091,3.7473477420550387,4.246856823812637,7.404779074754846,5.989643747045321,7.057014597351861,6.7001276893499355,5.6526075942960485,3.640726727805502,2.3667211113715845,5.77440187998651,3.830070264395978,5.9298813216356,3.6810724785769113,4.653327650323394,6.4222649918978405,7.767429400060797,6.53889268696616,4.639958312349685,3.1710303673763076,5.715242640033519,6.054532894172437,5.001673268124172,4.327859337851796,2.7761502587414983,8.647867556873202,3.4048287561319954,5.000998825650337,9.619703075914932,3.62577917151356,5.281546831019385,3.7486843816270667,5.997457339910869,3.0203686422778273,4.708855957066188,6.7557671072985945,4.615115019221837,5.9808141665958505,6.364066232805219,4.322670812537252,5.020687349431733,4.743158960748014,3.9388037412540644,4.767484194369015,5.098473045723234,4.916025224847391,5.01345625174902,3.727619994398528,6.123961004825108,3.5318559248303605,5.850485972203293,4.339023091975152,7.559252556104807,4.194371510993256,6.981555593253625,7.736552969040131,3.508317850836372,6.4583142304396945,3.622134916134682,5.179965687534767,4.589166845891299,4.635996554115501,2.6740257380903274,3.523193573484302,3.465627922430894,5.458913967704628,5.050551295934373,4.490483904015906,5.127920775126658,3.9491785551989342,3.5183075528381123,5.08912050952847,5.314500176645953,6.197040883327746,3.4204112768769614,3.858402149380151,5.001840766987579,4.44127356859134,3.7540721470948304,5.171626315931652,3.986268733657627,5.194830161571653,4.928044932508379,5.474984969058177,2.893809579207704,5.886918826249302,3.8949676524832877,4.8625252662313105,4.0984174136293765,3.912159645201563,4.074905541644977,3.5859821248238926,3.9674409139305298,5.240786995240413,4.017822073820646,4.557754667660854,4.008649323559952,6.90532102289845,4.670426855267021,5.4467000648215524,5.851700168499458,4.5926807759726245,3.107686957081552
badger,3.563443511109955,5.657418893217468,3.943278817457168,4.5287829302749225,3.8578823019581585,3.7269239222245076,0.0,2.4618819118496935,5.110129844231152,2.676145921786928,3.5186177830331986,4.393691912421855,3.8449604100165216,3.314110537525657,3.704076919524295,4.033229515280764,4.244605979874571,3.3262321878577374,5.239143461996717,4.196457323430699,3.082068715991302,4.527643240355534,6.282046221809431,3.8276592720119567,5.3945081097170595,3.711893437562564,2.735467609859346,4.773939509538075,3.4679287074964433,3.983286731941609,6.167256287267803,2.8702468658609153,3.4982879634795983,4.539550797995325,4.647874776251054,5.140394778589877,4.873228816441057,3.2005973276610122,4.011949816040365,2.510204263241518,4.722669636240636,4.618180630335118,5.561950222022874,3.759111203975716,6.525833565679733,3.79448363694123,3.799701522207659,3.914627251102029,3.7968693290941675,3.4915769202977565,3.39563968443712,3.654224582769374,5.9814243249490655,4.42867120432789,5.417030374605596,5.27023855081644,5.131536421773605,2.5000959737777064,3.1238754306898824,5.569123822213154,3.982303562059747,4.8050229594940586,3.811383050284901,4.215291896913774,4.706092172215952,6.426449062315629,5.4660989156061515,5.612165759392293,3.4103726690630616,4.3290776661422585,6.654610023129284,5.003695902382594,4.732713786707156,3.1358687704142127,7.075165658924152,2.469567572807367,4.358639078658418,8.220973121330845,3.877389932651089,4.566989824662803,4.217977702922957,4.781870654446242,3.5667925719566083,3.4497484564303473,5.184451174513274,5.121244946007178,4.825893727661402,4.698758896558823,3.5729694098316944,5.06345893251914,3.8520241092243968,3.0926793186720274,4.206807462159187,4.735776240674844,4.238351917877331,3.696828430008653,4.13992230591874,5.3881764383817945,3.8260528354360868,5.025752271592704,4.505638034199828,6.178090727594196,3.380139485638628,5.593706715263972,6.246455634482103,2.4528280455846914,4.74589883570908,4.05637677241324,4.528217147060362,3.11590558569409,5.446731777236516,4.23902582120266,4.101164067299127,3.179281808707231,5.810482411965464,5.516102199130843,5.361510879425293,5.208867473921745,3.950271668772517,3.3653141417134442,3.5650217709764362,5.887950893401068,5.25429241064643,2.3311639271951416,3.2467142849558215,5.838144023326826,4.651350565045603,4.497674675481039,5.760698790649877,4.532834927180076,4.594493999349995,6.0563541434068515,5.596018999274593,3.6461245633452206,6.862114880704148,3.3224404013484365,5.510946700721458,3.5635935290155056,4.022956655637203,3.9997882299761,2.9430687029202094,4.900593782167879,3.738270860842293,3.349236940954286,4.162262547207374,3.9223823332545087,5.949634809127881,5.198687704599079,4.5636187910489,6.75175048373301,3.767453924967651,3.3035614214624287
bat1,2.910561263777448,5.80843493740712,3.8757154982224122,4.185719136126632,3.3571078030106,3.374316690236867,2.4618819118496935,0.0,5.154627865445405,2.5781001546798774,3.200020589121552,4.041014859075193,3.6474500165157977,3.4921424285047897,3.303841935761072,3.6520198191075273,4.03652735545713,2.922810479651996,5.195058314588296,4.245123986463547,3.1185413608034485,4.280165684473563,6.093649748850973,3.4535631798263657,5.238927175832513,3.309029752408966,2.5694368344173077,4.622943784788047,3.0405009414148703,3.8870681147775303,5.9976615898579935,2.7808191422705693,3.3848542175607066,4.192257744682137,4.564113571219467,4.869319295128078,4.7193318524701375,2.8657074166683967,4.1122218056107815,2.330526262524517,4.046283726962837,4.6611927802052255,5.651453886019812,3.2806807047363926,6.281589899483429,3.9145127141180556,3.657460059808984,3.7722812909163004,3.4974206155514813,3.2937915877030775,3.2820488126248333,3.5409603652337256,5.921083837509679,4.587906309297771,5.312065066591782,5.060919721399301,4.761201513370189,2.7671186592202557,2.8731074054889674,5.101062079651123,3.305134514898765,4.83396225691809,3.8844497402331863,4.077501567027822,4.52646865542805,6.170990128205452,5.296184670401251,5.17222317189205,3.462966233362869,4.446452120200779,6.744591722992727,4.6290957200896585,4.613234329631301,2.4818275134612504,7.203319762845023,2.3003216000137416,4.215547070703992,8.293656531290473,3.3404810186443714,4.138592984246802,3.9659804951011206,4.51797152657967,3.264247499124221,3.739019238133444,5.386398466359863,4.810143965984797,4.530024124452717,4.647735200511465,3.293295648255354,5.167147731843292,3.6878002849922153,3.0754786719714,4.595842844691858,4.245570843321985,4.214218136147465,3.550925043033501,4.093290746878055,5.209297051985334,3.575603482374231,4.893300472057648,4.89782222057847,6.1374787790645735,3.0653845844206087,5.373428552013941,6.08134725538368,2.4616786804146678,4.88140987020823,3.7792701888239564,4.179509765364004,3.345484392248792,5.139541040932211,4.089997623118783,3.5589235940902313,3.2132376093682344,5.63156207175998,5.181788448805477,5.14123895118914,5.239279357438545,3.6115147360300233,2.937748314404254,3.5506871751707014,5.9099568143398145,5.164470308889651,2.5732491634136276,2.960643775766874,5.664252839371776,4.357212360355623,4.145433137499309,5.515554104046073,4.235209658629285,4.430475075072723,5.598206346230075,5.604692846486326,2.8816311313676244,6.607807556862645,2.8351026503211023,5.378829833552423,3.404124756056183,3.9120207813486614,3.3112901793343408,3.009202092983956,4.841823868629941,3.9385790484152454,2.6659328838021654,3.899878999598635,3.6452563571127214,5.83539842080802,5.157458977578185,4.450300636138187,6.7541091377094835,3.6462273720326723,3.186284515940022
bear,3.7173409970029105,9.914418695280858,4.126505890294194,8.324981347317555,4.834229505352427,6.1581494647871775,5.110129844231152,5.154627865445405,0.0,5.801369876571026,4.472890104716676,4.10983860624079,6.180179651702429,3.62454204446155,3.6128207790570537,3.0663448658728214,4.01229456905326,4.831217476215049,2.890197392478113,8.533524570417821,5.666089318200103,3.3095130256506713,3.3064528309966144,3.634864519108939,2.9162426905457823,6.5684000574013295,5.008116184836601,2.6644255938566266,6.008123523208497,3.405467338852899,10.0288326814912,5.054356679342154,4.621366818322768,4.003231906257295,2.8321953959272603,9.044418633213722,3.2697988749250806,5.861110263599235,3.147257156498007,5.429494332999623,3.5133467435426424,2.8618675134137876,9.892183001413045,6.0099788893376065,3.4875046297130643,7.882925072105896,4.865352209595123,7.28441924252041,4.379214174896971,7.250039658247555,5.624405263722904,3.357933922045591,3.5594627377538943,3.0493469517035483,3.4443644293676146,3.2422431466746047,3.3565730855124363,5.1305473033598545,5.234846580544802,3.243112627302617,4.6182794688046425,2.4301739502279927,7.536150502802659,3.0623793833327824,3.5493529746727845,3.5772371535271166,2.890347234427381,9.457724532367363,6.849863128677573,3.3366601009528707,10.947153195802622,3.606882674281944,8.888281648340135,5.2802709528251475,4.47606099378329,5.433538168207653,2.8639229134077113,4.8542491060169315,3.959377027942286,3.2758869065632923,8.07136559882481,3.3313339588231354,6.041219456922477,4.013078119089527,4.100477972937407,9.022956189715304,3.2558560593346746,3.1669616531770957,4.488435865091321,9.283690268785026,5.356146863379434,5.479195148433566,7.214572870201623,2.922554508453276,3.9374132994545854,3.5739261706797314,7.992257977819223,2.8831314255883935,3.8508696740727353,3.363198357504543,8.518586436128327,3.244881756253893,4.7822758982150795,3.3949687197157927,3.5867334111644515,4.389729700320815,3.543823641486854,5.118913189636599,3.492889487305641,4.022388658597909,9.40748254369238,5.442364229863771,4.574149588329186,4.94842935922194,9.853424556620455,9.530178059967698,9.307432140941623,9.485637601858757,5.0334377311738665,6.602443816473409,3.3814462870724946,10.142180163045612,2.8134250859456325,4.798703955632429,4.348279993348505,9.979651245117145,8.71627410936907,8.332099594362015,9.304257341820723,8.391848214871104,3.181423358203197,9.645849963533637,10.00507733895148,5.8986096591085975,10.942237163147338,4.561149822243765,9.553550786827246,3.953225121357644,7.959566057313327,4.735039479374869,6.223506610475533,8.891058983478574,3.8672167354739377,4.094330715256529,3.2402709965920558,8.019065547741214,3.1389255451613023,9.336578450396123,2.9178711956145924,10.897722299186823,3.1146093067711917,5.199193501756472
beaver,3.514728420631387,4.954977189373884,4.222763034565804,3.69425059189202,3.165970751781495,2.7536280888738855,2.676145921786928,2.5781001546798774,5.801369876571026,0.0,3.333312764635085,4.052749041602842,3.8347929190510364,3.6425019907097043,4.311992581389673,4.279610876223166,4.160981029692952,3.4246415766526375,5.932095431470658,3.74449673093898,2.383045950047657,5.240367314797026,7.136033998904345,4.218140832453777,5.978959812914552,3.607255090866498,3.1632064058575455,5.224619685940108,2.7112819136972752,4.180073302888084,5.118801732203731,3.0167385778795377,3.941654632652804,4.387369975187194,5.309054805437008,4.369075969837524,5.026426606537244,3.3403523044779284,4.720914407642734,2.5774639008792857,4.746368869894873,5.3970082539371305,5.052508709227898,2.9574907413517106,6.93611668279556,3.3268119847475113,3.6866710964475926,2.8956547237057246,3.605753841772047,2.9392741112859393,3.2034208945227847,4.019155416893669,6.761863271085336,5.363520916195123,6.306777738275169,6.076047025323732,5.340351217763952,2.733910955891929,2.3246622946541935,5.60067467622774,3.6070621864675134,5.444943722357497,3.067595436238882,4.3810671924688664,5.66092423003442,7.102522864648258,6.2435220357628065,4.61766196096671,2.613646573171937,5.175559808413776,5.853089280477911,5.18790695597528,3.9814353502991353,2.653642743021163,8.09061311900588,2.5847162056930144,4.832297958730115,9.050983160943535,3.606034960078807,4.828093374527516,3.545945610592412,5.270350078826126,2.8368711325819786,4.067980873230007,6.185473870827533,4.2861070334413665,5.523329283972842,5.692366800976675,3.684996319083035,4.4844959613016595,4.035176309940238,3.384171941200634,4.263569922556463,4.929540622855003,4.55850782506916,4.55277528854219,3.3930225621804975,5.848939956670999,3.497005131382342,5.4345541365957795,4.004669321890532,7.000609453266847,3.749727083043877,6.376890361238128,7.178127521570085,2.7996614656407,5.798309092693149,3.4357547004273163,4.861779977554911,3.891392714527861,4.56141183967987,3.7169017380101743,3.869173584973787,3.0944127701324553,5.113481046240588,4.748605104085188,4.44125942298648,4.54703865206442,3.9262534728755605,2.8097178584015103,4.45594543128325,5.189427917990141,5.963958224941035,2.6585449170799857,3.3647029314860326,4.892629850368957,3.9240590636868786,3.49618482439445,4.924386318492747,3.7589299467521653,4.795544062962892,4.929844097002297,5.0503330328303795,2.9952071123139037,5.940723939619079,3.309181765801647,4.819317042648343,3.7503029948715705,3.546019049317708,3.839328247983718,2.8587656046443604,4.044024199174929,4.532867291052318,3.4991294518126335,4.2181112157117875,3.29500961546215,6.507946660598231,4.458101774845148,4.990521074901007,5.9395900517170706,4.186255958761653,2.8061593346701867
