,aardvark,alligator,alpaca,ant,anteater,antelope,badger,bat1,bear,beaver,bird,bison,blowfish,boar,bull,calf1,camel,cardinal,cat,catfish,cheetah,chick,chihuahua,chinchilla,chipmunk,cobra,cockatoo,cougar,cow,coyote,crayfish,crow,dalmatian,deer,dog,dolphin,donkey,duck,duckling,eagle,elephant,ferret,fish,flamingo,fox,frog,gazelle,giraffe,goat,goldfish,goose,gopher,gorilla,groundhog,guinea_pig,hamster,hawk,hedgehog,hippopotamus,horse,hummingbird,hyena,iguana,kangaroo,kitten,koala,lamb,leech,leopard,lion,lizard,llama,lobster,manatee,meerkat,mole,mongoose,monkey,moose,mouse1,octopus,orangutan,ostrich,otter,owl,oyster,panda,panther,parrot,peacock,pelican,penguin,pheasant,pig,pigeon,piglet,platypus,polar_bear,pony,poodle,porcupine,possum,puffin,pug,puppy,rabbit,raccoon,racehorse,ram,rat,rattlesnake,reindeer,rhinoceros,rooster,sardine,scallop,scorpion,sea_urchin,seagull,seahorse,seal,shark,sheep,skunk,sloth,slug,snail,snake,spider,squid,squirrel,starfish,stingray,swan,swordfish,tarantula,tick,tiger,toad,toucan,turkey,turtle,vulture,walrus,warthog,wasp,weasel,whale,wolf,worm,yak,zebra
aardvark,0.0,5.1913218027730546,3.250267719352057,3.68003443417803,4.8988469809066295,3.2311893513285064,3.8309602839713657,3.8763272213008335,4.166088995628364,4.716135938015161,3.534184257073748,3.5238305322525596,7.519190848743833,5.922239776995836,4.6694265550064875,3.960899535503296,4.371039364214896,5.188892926127663,4.136061558676216,4.014393738837843,6.722514069217144,4.209105982624834,3.097181023097317,3.340878748314896,4.121568352202867,4.929844134804002,5.597272127878625,3.3633868078175606,3.7581861975990436,3.549322757052862,5.9187009193436,3.3367954762927607,6.050095729812544,3.2703555953031542,3.9461143959026592,5.592057269975858,4.385592017570157,3.5940909008371174,3.883138645787106,4.795168932322526,3.5548998492489132,2.8784952140031708,3.421863040399878,3.3185096074225546,3.8734801124479366,4.482998032860761,3.437865964535991,4.645230737246645,3.922237043559703,4.028659182901057,3.8168886279422294,3.302500305000113,3.7123538599926205,4.3130702133459975,3.775861007829737,3.0537521574678688,4.029082817951993,5.608419833995536,3.7871546095079216,3.497837134853144,3.4457343971152854,4.319933659427299,5.352038027133513,3.7887347190785694,3.6443205235091805,4.577767625384256,4.063030302960606,3.1567370370148087,5.839550460580083,3.890491205964508,3.5685618378526334,3.0602952287767287,4.961066067310571,4.047116913462761,3.277920874051919,3.3692481123415567,4.770973795796013,3.4738300282726002,3.752645722671857,2.880776876958069,4.118113459618037,4.923303168825366,3.5243202467655594,4.453369834152993,7.670098321648649,4.122805495043099,3.7552189443544006,3.9780671634236366,3.7011024203091014,4.47131316418039,3.686872140026855,3.8310990083448138,4.311924982587229,3.895730943747255,3.499278090166018,3.7372172679813205,4.0394767430651175,6.998938049460928,3.7013766773146597,4.000555417091937,6.623613555850628,3.3148653291385144,3.344780880302738,4.803115841226487,3.0530032462781898,3.110550900964769,5.115550375812144,5.95070316287784,5.61007277976351,3.070494640360745,5.7814053334223425,3.896623744895916,3.34808448225006,3.1607656639345367,5.12251470835376,4.385317915496388,3.548095065659968,6.538956762282755,7.236115960393644,3.6889722111838466,3.073389123486151,3.9281309205159607,3.6428153625116706,4.34309279449671,4.607720974002564,3.273155622200434,3.292227839883717,6.029752563262304,5.299318758612676,3.601292064949244,4.325314316740296,5.190523306899799,6.618562713067865,3.7523867352893348,3.789337731380278,6.945950268264026,4.5014427734949285,6.961826160693366,5.528670334406754,4.200688646126591,6.218423027223962,3.870520434629455,3.2425613805847755,3.361467384431438,3.972580495226745,4.545080066359691,3.578430373803533,3.3674311922586293,3.883357000669341,5.450307040218729,5.572276977197426,8.06812888212599
alligator,5.1913218027730546,0.0,4.205385127368772,4.793817281776362,3.5413972164262777,4.283105382611505,3.9285924646460924,4.829114031932974,3.655496245137039,2.9322472071488477,5.660066574585614,3.9078661601781444,4.538056615652843,3.6152823775893275,4.050802163029656,4.571697018868791,7.42134429983111,8.558635795599635,3.7717228879498697,6.820516426433131,3.7478241918484914,7.591688544662664,5.383077561809364,5.380147163757573,3.5943393676522106,4.301922323937511,8.020223011956851,4.726459564077628,4.676210828841725,3.7920218212781136,3.8642195860667687,5.195199382353006,5.169628132052749,4.234794323669141,4.894337136547923,8.492710018496872,5.006991583721957,4.993412328143084,3.745069066644827,7.286865585733312,4.933666497950379,4.303646027419303,5.197082783893808,6.293686558306933,4.673747619541564,3.884958894217363,5.9195274866075644,3.199402839886079,5.301741911113443,5.479310610541477,3.8929092503247382,4.065811377691878,3.4895640120514693,3.2528394506666194,3.678130805416708,5.209283470524946,3.907283267023172,3.987367279065588,5.1571094925995995,4.999253298215073,5.079584568481773,3.82503712811803,3.4130382929954313,6.689561116228212,4.708775839451914,3.547834782229016,7.114965287821583,4.1427137890412284,3.314784289032619,3.624311784779508,3.472116478747292,4.9507977092016455,3.2685692541399356,6.990573015145951,6.1444108019917785,4.144059099372556,3.4704290736186616,4.378795390212315,3.82779097404702,4.728745566502121,4.22382553990973,3.795335373859892,5.359845382707588,3.2797858969418128,4.726242213843608,4.017269715476854,5.004256977292148,4.8035763457573974,4.260057501655548,3.3134862407183374,6.000440030889945,5.558988857470662,7.715743927365131,5.907242211813415,6.336838958842267,5.768200765492531,6.677364251596868,9.85879689573252,3.7013512918895044,3.7046768574965374,3.343517501671766,4.1187544272304235,5.69621761048495,4.391896299314622,5.282036332663415,4.049238091673318,3.417110500250551,4.7698135577938405,3.603675037517455,5.08146403870569,4.058541392690692,5.059635360633322,5.544615088309551,4.817132211570514,4.024264331488964,5.0633639108835915,4.678283942019805,4.811759227353286,10.536331062669305,5.23408881269471,5.0741187301530815,5.775235413093265,3.962810610433778,3.8978568181891005,3.109309767013277,5.486539280159157,6.203421988212888,3.5307738391019967,5.5634086806239775,4.664335577462341,3.296856838611168,3.7238403439953296,9.648132116087366,5.537989643536209,6.159239507214069,5.030799750365655,7.704033202328055,4.79320961895281,3.2272065506264007,5.85208031042875,3.8495377909593467,6.593922840233319,5.3231534329154275,4.870009017895477,3.7923616589879527,4.782353906275703,3.871446987486011,5.094129610129691,3.3538789429736724,3.256037844919336,3.586442865576597,5.946792631166117
alpaca,3.250267719352057,4.205385127368772,0.0,4.008166749078526,4.40120143303622,3.1427445709000286,3.586078520710901,4.104360829634335,3.5643493028634667,4.0322841811506995,4.005699972602543,3.3352598205842514,6.556850861863689,4.822932103137009,4.08569677750272,4.206880179509655,5.166843282027693,6.260180828423708,3.9444296522959696,4.914459511271799,5.720411961760701,5.030553240077845,3.6684896437981203,3.942536607236515,3.999012721638562,4.550155752565114,5.583753675332087,3.2416553538622113,4.05835850427516,3.587196828666702,5.286272649375635,3.816266587261413,5.843399401241226,3.1034297976101395,4.150490780966014,6.373782976246469,3.9811224512161396,3.679444967379551,3.839552229689724,4.83789672783311,3.6191317514240513,3.08375420841291,3.389008470346243,4.508160837003707,4.041083870792965,4.128034543645207,4.298856503651464,4.037569602620737,3.66665256130701,3.982067627319485,3.3742728703612133,3.345999667020676,3.510685421422117,3.8161304992922442,3.4933221700431663,3.4154957389805705,4.160275452770903,5.169605568439141,3.623651335171553,3.4566807410225135,3.9203099978757425,3.9912189848404984,4.789934099710361,4.605162607243293,4.202320661027303,4.438338863576885,4.539479958068359,3.5062826544164327,4.775731400739224,3.6159713003257674,3.272519597121976,3.2525583060889045,4.582939527764608,4.702090948658456,4.17170553629569,3.461158365817221,4.065384756067375,3.607110558304296,3.7885899543737263,3.3791954578074774,4.217582392194644,4.616098495244812,4.310434114473675,3.8483452805348977,6.971071673808184,4.001615890039235,4.146639953098022,3.8747613413813435,3.9342219409139654,3.9746530628603276,4.117992371694644,3.409576231907321,5.115196492197454,4.048267727048587,4.1103313697678034,4.2054032514488275,4.728488905513984,7.393554764013337,3.1932380789919512,3.16455096068459,5.632848802150653,3.2953287761966585,4.092948925774184,4.843793055775469,3.695450047585291,2.8549531698682755,4.93372643022162,5.643978975185982,5.090849391035003,3.2107743730474767,5.474160844433569,3.9087756224312806,3.5774714935907985,3.453709550940986,5.028289525909793,4.5108210235089405,4.06719079315121,6.01226796983033,7.944924626453269,3.8535050575311653,3.270898224944547,4.025149338291049,3.329547297191148,4.291269353047802,4.072174486799573,3.73615011553289,4.0905196069055805,5.520473397452657,5.877665971757272,3.775128996450114,3.868119723439717,4.3360414019166,7.152012723898364,3.905332920835603,4.5376692971446015,6.51812578729464,5.82336630027184,6.4179376366279515,4.8433668665975835,4.105864788467787,5.570470396844792,5.12577005055252,3.900041362367405,3.2980272093726315,3.4033715934502733,4.751222022586544,3.463159185034006,3.8660611693569056,3.3299330831392084,4.6545305377348045,4.71489361877105,7.430216600654042
ant,3.68003443417803,4.793817281776362,4.008166749078526,0.0,4.286637218555091,3.4616194187664737,3.949896383078068,3.7692989454414705,4.267674174098294,4.468950526430625,4.061362464477353,3.8199789391067043,6.6353215462995525,6.123173308293733,4.4466362768878485,3.4871553465788985,5.862461921603433,6.304492600361022,3.2898921517605486,5.048207925331946,5.795288865844358,5.729094517619964,3.59024164654347,3.923073462271411,4.1794257461416064,4.385875873536523,7.290259054780662,4.4011795052952944,3.1414438378924427,3.977926864407709,5.03120955059301,4.554644124071902,4.691955163771365,3.394723445605075,3.5286362172647943,7.215657437452066,5.266713339809446,4.484288671963311,3.6090487492206718,6.4298094223091455,4.000787067552527,4.017683231730192,4.162942377918736,4.151267715099393,3.5567558198770923,3.379890285705536,4.159027012821937,4.177895364091661,4.968149208869671,3.8837298289561266,3.9734343719478113,3.2266770073993962,3.6168225527774465,4.0643616650178345,3.576923408707121,4.20294630053389,3.491022718336006,4.326447404426029,4.871901936195705,4.177232787001888,3.6759184001161658,4.077589793021765,4.677009482987772,5.084437029792079,3.5323343065856068,4.270920617864851,5.662820026754454,3.2440383833065467,5.326629265008135,4.098854508314482,3.588190251504977,3.9571173621867564,4.220075327397927,5.7601927434748275,4.226348658924964,3.636008546630364,4.421276265965543,3.293532324797578,3.710998141103742,3.296781229420653,3.817949329766762,4.291998840069995,3.477239787534277,4.396625328452829,6.447090064893433,3.7301608925185117,3.5514407916921287,3.8048821815423888,3.5774561503159465,4.177804924865021,4.808770757956817,4.697721626248645,6.015624938108324,5.395820415326178,4.761918637937182,4.551312374458295,5.37362073689906,8.8266738143886,4.337899529278529,4.0830934908387775,5.935148472361794,3.575476699778139,3.613382321244222,3.857181990614648,3.7764999263615113,3.945612183920884,4.322431084045965,4.383428159157742,4.608098319471132,4.185279235869488,4.792731084862137,4.062821104211283,4.488662067661414,3.8106677418711024,3.8706258208448245,3.7394933758331357,3.3484874497251695,5.732011628506282,8.821576566913532,4.255937633053045,4.211797563358232,4.590930619584568,4.160453369175461,3.6181595982290458,4.285159373960802,4.481493957715112,4.429961517126276,4.892036440736827,4.60095256148561,3.4681300277569176,4.15363643038301,4.89079220450418,8.204992890405727,4.178755504891278,4.666602115560797,5.4199393558042095,5.561448451705935,5.9637686090258155,4.848145238937613,5.27983341369346,4.975506496273363,4.502986544684904,3.692537229873225,4.2631722687242775,4.202373412052155,3.6303655207372727,3.343505783092482,4.1397734807823205,4.18124543542684,4.776996969117529,4.75407064856995,6.9390021652281835
anteater,4.8988469809066295,3.5413972164262777,4.40120143303622,4.286637218555091,0.0,4.2037713683672004,4.103348358038554,4.841700565036646,4.244670789893974,3.173269313104054,5.79160509875905,3.9289910715101923,4.943037295037421,4.628171768084916,4.365035281992141,4.277900604828734,7.811528124664788,8.48945356267069,3.3507560283335875,6.983346364684677,4.301665580900182,7.679693242616885,5.301717171261592,5.622376878676379,4.072537461632737,3.962174555227995,8.591961616934016,5.0717011861959636,4.005462325652611,4.170776251549421,3.8865001084111195,5.503616336699042,4.9527691292950164,4.290437450464589,4.285622673072625,8.909386596408254,5.548405721047773,5.719546226240692,3.5366179906762722,7.5480676010724945,4.587742267629177,4.469726782931713,5.260583157009817,6.033461609601527,4.396853689849934,3.5238787433623866,5.8905266432982435,3.1118242351498937,5.708984267486788,5.375262079202798,4.036351746437278,4.123908827720047,3.60418435065271,3.1627664643378735,3.62323158351426,5.3384925247482995,4.0685801180112975,3.5823461238547663,5.798982014677639,5.0062033482684045,5.040927175272453,4.074017248201321,3.525819982814026,6.725061713905548,4.736966769311645,4.21314434585947,7.39984244774147,4.155203796360301,3.98922350876904,3.9774292841168393,4.0899806052427685,5.181034765195987,3.6757110136655995,7.2798757996293695,6.138593294144808,4.604221624518697,3.3871858721376165,3.879713508734147,4.174603221904448,4.6125968981848855,4.751075860125999,3.4816103300489916,5.109117307052862,4.4027580143899145,4.816529160926091,4.364086147248002,4.916155348961903,4.77776269828717,4.21820769293698,3.4067991796105286,6.319600844778667,5.505031136215748,7.697397083176971,6.636970971922648,6.224223982982669,6.274717715347946,7.073946503533041,10.315490340598163,3.808574695584793,3.505396313870574,3.913277568295849,4.537700900805459,5.4971474024586096,4.073637536772399,5.277618578150814,4.375751213487771,3.617964341458047,4.629552195941484,3.474203037085338,5.346330303216873,4.141133052232254,5.448101620322589,5.464864379915746,4.766934383358352,3.6044267174267963,4.78830337286269,4.751501433569127,4.463601130653867,10.786037437332206,5.476505476184369,5.264120728738027,5.955424882017936,4.084734516350285,3.8887761584335543,3.381303589832492,5.887067797742087,6.286198804306088,3.7594644300022626,5.168106545476115,4.60581452944528,3.240869740200129,3.9090242290368677,9.985994836176431,4.754706018672859,5.818224284074896,4.843025810156991,7.790191284541236,4.562012398492718,4.029446043092495,6.034728865917605,4.220179234462642,6.5851143819565285,4.924518107202804,5.0705455870240295,4.043166230719038,4.620487912104713,3.3608442428160354,5.423677388607172,3.656128985967886,3.6030917137964,3.690488387438621,5.48449522180456
antelope,3.2311893513285064,4.283105382611505,3.1427445709000286,3.4616194187664737,4.2037713683672004,0.0,3.613236127353254,4.025143139818218,3.333208432263635,3.6983239698813892,3.9042359198354166,2.82296184917975,6.130783921585894,4.818874687440175,3.7161577931401775,3.2111395832206737,5.319254148779421,6.248931173430823,3.3131080982049923,5.139510588338427,5.293706878315097,5.278150138599157,3.6801907958758724,3.824738828827908,3.808987833812632,3.780802705696611,6.218471600084702,2.8914272862685895,3.1717768636893053,3.0534296362567033,4.81700934429562,3.549280868294171,5.139749129120736,3.018870594867368,3.8379152802821266,6.6689261040137975,4.231776781648897,3.97784158176951,3.214113778596415,5.368703747701141,3.052186432240136,2.897859327053087,3.5760614358020284,4.224612912100071,3.5651072410623423,3.7408291926520554,4.349190377668649,3.7095231462784715,4.162893069959443,3.7314389551339047,3.132182103727841,3.107851237807192,3.124700078427374,3.3075936887701927,2.9341955700167297,3.436490655824118,3.368877939073273,4.494331178958895,3.8730975992274006,3.0283699905986365,3.336561931503018,3.477830502469541,4.313308131039405,4.58466224430636,3.7051200033064773,3.837855087147686,5.11203267850862,3.0053419648020783,4.469008667453849,2.8088447297918253,3.2325403349876143,3.711200981991529,4.012500173172471,4.961829409490362,4.264031836688061,3.099464715043394,3.730314681852804,3.1055348907162657,2.84846408242764,2.974209423358923,3.8788502857068705,3.8504786117576595,3.4161476682217375,3.781332302341544,6.269124964817077,3.481576168140062,3.533091635783706,3.33550571947661,3.2502556082266807,3.6800054172262042,4.356346177470931,3.9843509969519797,5.433013595740522,4.516439224552423,4.279286934671593,4.259146133980632,4.909232374682566,7.978598212657855,2.9567119980119494,3.1437748553457157,5.594428310149436,3.2179219591475405,4.0253257407267435,4.034069318172456,3.224950069261703,2.9003015373156527,4.2258087922261005,4.844860566531727,4.495427653205577,3.4985958848248417,4.812368205482956,3.5902953072308774,3.3164825173851518,2.8937756540350468,4.3175828908791205,3.7920521530925924,3.4600662281370305,5.298183581090959,8.361576214125778,3.844463783515601,3.767270978147146,4.400678179738397,3.094251150087983,3.2809567886060247,3.694235641872118,3.916055580001272,4.1151666582589606,4.8830930164691475,5.003319665691021,3.582672191127412,3.369118922928086,4.045496315966025,7.785417317990839,3.919195939817076,4.518506128415478,5.843364554704216,5.647532021818181,5.5400210631610785,4.294004283066701,4.215183956418489,4.807894073920928,4.960458617441091,3.696809675179864,3.034111150278628,3.102627882742468,4.045377987632703,2.945336415608424,3.8958903530413957,3.0094772886693795,4.143232094422142,4.067213538680417,6.489909707052454
badger,3.8309602839713657,3.9285924646460924,3.586078520710901,3.949896383078068,4.103348358038554,3.613236127353254,0.0,3.1471712904554794,3.365373100194545,3.9373960062197195,4.160402828835643,3.340744710390665,6.305356616962658,4.666915018003681,3.732179690048155,3.9714139152861003,5.720053758129849,6.780346682239432,3.739540775603253,4.9317762451651195,5.423584340187377,5.858706186903345,3.8133908423394804,3.810837220460432,3.2170574812218935,4.4600318918815764,6.7714747437246015,3.8557934844044737,4.275325901126091,3.4893020881498593,4.978550082766832,3.940276985040571,5.233366130125605,3.3223586586785427,4.11875450770906,7.014627522048101,3.9913979527548236,4.132239831544977,3.9342732289021543,6.038801175447198,3.7560288723147193,3.308935656664801,4.248861405371519,4.796134922690978,3.9085884906224093,3.999257306188212,4.24242819139551,3.6399333467702966,3.83123315576388,4.712354113444523,3.2078768242498072,3.4181034497782004,3.0091730770260705,3.828313041781136,3.523578027785628,4.196034253346008,3.483468321712779,4.664484779215174,3.853010875847796,4.130923050726672,4.030070809085922,3.7289510311929144,4.199776642932611,5.201225158073838,3.6539989189705966,3.3774705916834837,5.498217712694721,3.476172227093623,4.905233166116669,3.6648444273889367,3.2156760666516564,3.6934898377887375,4.1164839740614685,5.3994062077544625,4.173625678875909,3.2336833970198424,4.0403792334415565,3.400329604576409,3.3988380244111474,3.429495203963108,3.454201528659058,4.063036437379164,4.562643638256938,3.7793036466091245,6.339026425283159,3.5061515501732807,3.9841584528987535,4.164995113296163,3.7423102063189724,3.6834077051690355,4.497014547695398,3.9285781762446383,6.110795248697235,4.533362299718194,4.835325398432923,4.081760992826122,5.13886183663816,8.257240085004144,3.655865918170538,3.6541614334752297,5.223128178201131,3.1376062453756783,4.0918180261387676,3.8911229716319387,4.141144904543269,3.392721993143278,4.349604626839033,5.045358217388412,4.272739438111219,3.6224936571886714,4.864319032803882,4.223083951369319,4.072899654379484,4.015570120189955,4.520494156031879,4.63776294715593,4.10407279272192,5.855618599336038,8.593475340162584,3.651202066610048,3.4617785468878486,4.677789989591754,3.497822675779809,3.958528021234024,3.7133836238407403,4.1425574477222,4.349114755501797,4.806073615790112,5.365658058770806,3.459057564063757,3.8207376255079777,4.816084629458522,7.933790758599529,4.405329685236694,4.797641172121848,5.73679208045012,6.087271776184304,5.960082608625116,4.337575549098283,4.830654091189716,5.102850155414181,5.138750593717567,3.5391935045336704,3.985221456445075,3.118918860079973,4.341363926946672,3.506459194625005,4.498259334229857,3.55454026503581,4.601878551986244,4.124348705482123,7.042564974389249
bat1,3.8763272213008335,4.829114031932974,4.104360829634335,3.7692989454414705,4.841700565036646,4.025143139818218,3.1471712904554794,0.0,4.037243814448509,4.959280679929773,3.686375644986165,3.6854748622168687,6.635159129248394,5.970968565109621,4.064183405875649,3.5722801744478456,5.4260615702579775,6.396756699754256,3.9025963356023525,4.9444290564573015,5.865024587917486,5.551972105836188,3.6607693874788185,3.746285623331745,3.7989411974346763,4.6305556398905425,7.205387908874503,4.201795784734353,3.9804204241366534,4.032359389681431,5.399894316046141,4.236062835594854,4.581952634888348,3.5337907572981266,3.510057818692207,7.189853313769002,4.946250218038948,4.252342504890296,4.339582917591828,6.569012326449932,4.176846863037902,3.8924743435686513,4.232616880422732,4.768598266528388,3.6448505354841654,4.090058726555869,3.743113031044626,4.312271988052658,4.293633164688143,4.481266017259857,3.9946328536291875,3.141392922197978,3.6368789298625557,4.620856741917438,3.483469278113604,4.452576907501724,3.471785569129472,4.986795214998053,4.211574390059159,4.477168266728402,3.6509324677632033,3.6837407014521695,4.378822111623524,5.233703074940081,3.131449653006031,3.823485739168604,5.431201618750854,3.631036256558051,5.4359158546013395,4.195822299910569,3.658692617880717,4.180436983084867,4.559301752619146,5.610101424994474,3.669072089339895,3.289460908623889,4.395005956258809,3.438205225014129,4.0216553482096815,3.376843158922448,3.1540494054963246,4.178948757940755,4.400643345383834,4.4426491959090395,6.615859763205608,3.4157329829883687,3.7412759535361606,4.1435109976510365,3.744610177863678,4.145409216981316,4.805206631929731,4.088555969114813,6.053703199738752,4.789146315459431,5.082976615532521,3.588290393083588,5.213620244983132,8.640653616506267,4.481823978440729,4.365458600804263,5.886642092463919,3.3629711429432496,3.4636272276812234,3.7943395333973253,3.7168289699878296,3.8969655033197155,4.950779411266897,4.917881179477317,4.615236274555157,3.586932193779354,4.821044636691336,4.407783337615807,4.618231471654007,4.310658071611163,4.613189983074284,3.935562285254057,3.9045999861762404,5.855191935284437,8.662288317786375,3.569042532964881,3.659600420272533,4.580585986622486,4.0904141824515206,4.167049340779417,3.933985484261261,4.199242080303363,4.235441682545168,5.042436256860066,4.633159930887598,3.1659632104325266,4.713625189164057,5.5630090939067935,8.066470999570646,4.690205213817525,4.557573289422851,5.3768544108708065,5.543253126145453,6.19731298764273,4.765664841027572,4.851669713940551,5.318820861550224,4.659116547227191,3.281134149085885,4.358079990399055,3.6521610787306664,3.8434805577625397,3.998221438011829,4.585966049064489,4.283800909264258,5.092309982009498,4.777440013687112,7.606931897762516
bear,4.166088995628364,3.655496245137039,3.5643493028634667,4.267674174098294,4.244670789893974,3.333208432263635,3.365373100194545,4.037243814448509,0.0,3.6225034639750806,4.659552601066726,2.8685697940044315,5.871808226853052,3.8273354119373124,3.536456767829513,3.7727648915665566,5.8963113793764474,7.1678623183517125,3.5941941489307947,5.601890883063876,4.61090472940917,6.079368021361519,4.2712251691028795,4.213227946879876,3.4795326354258975,3.9929416799063704,6.681363933887539,3.4006073874435216,4.216328144283889,3.2652853017401244,4.672648568461212,4.249095694866868,5.358484799962139,3.4256608934458823,4.497311965096738,7.3060552150598514,3.9956266996863703,4.435679896397708,3.835849011137152,6.190114600186907,3.3214615974710573,3.3806223661298054,4.334735021979724,5.24952943403592,3.870218057983,3.9648035664072667,5.090700585815113,3.7388804442060337,4.2057315799223804,4.57243874063227,3.410548185881109,3.4229248281587608,3.112085062941072,3.299704885930965,3.2946688417464514,4.171923980290706,3.6866886707162836,4.680617321680309,3.892125664699856,3.891735067943023,4.239721917752273,3.31988055812573,4.093342109220765,5.183563083305634,4.361187533903987,3.411092279111173,5.718932008132162,3.5095882487334675,4.000716869405369,3.191410110262652,3.115759319580032,3.918740483573008,4.103419067803583,5.746993495820834,4.771816479776183,3.233764488736962,3.5893152015989678,3.6819197150644856,3.3530456762079375,3.501169552677857,3.6272310566929136,4.1861883018431305,4.741429119449719,3.4764465158664364,6.083064504127903,3.6500976636629767,4.300371711837716,3.8884701202772214,3.9822303696194123,3.8127598929559348,5.117163539437938,4.269175736271735,6.302559193376496,4.553614026411757,5.173532955982989,4.595739729963517,5.39459724260365,8.38879034839347,3.542791018402953,3.1800710099018903,4.9453504685393925,3.397479711281096,4.8625759997080715,4.35354560420311,4.236625764857577,3.2293078908485047,4.442897848828069,4.969188381958912,4.262819131124243,3.840964936301733,4.646642235408831,4.285340981246161,4.170860811586799,3.8669395015796444,4.676087178628215,4.405937784484641,4.336064950386509,5.590165438865603,8.936192683589676,4.060529483185694,3.955233431120893,5.002725524825762,3.2566606032971803,3.8255998816513666,3.727104268313848,4.381889095776169,4.905467610681202,4.696181194229814,5.816263916532128,3.8812677971994214,3.4174769177597497,3.983631059361374,8.36245977787194,4.939664848994214,5.574228248406282,5.537316071722825,6.466559496814707,5.53154484705172,3.966282073172305,4.770583612413932,4.656029179582491,5.855501491967664,4.388025253439835,3.3044405394761833,2.6242355316172046,4.433696465679136,3.6552926578941434,4.82450466755846,3.3115255318074426,4.128552741612084,3.8161766569430213,6.734645878856165
beaver,4.716135938015161,2.9322472071488477,4.0322841811506995,4.468950526430625,3.173269313104054,3.6983239698813892,3.9373960062197195,4.959280679929773,3.6225034639750806,0.0,5.718318383283956,3.6305502155277187,4.758725342436702,3.3995015489840097,3.8421400772057592,4.396017110738892,7.382266915516138,8.350127786197712,3.6913795202959334,6.712761459781308,3.967041439550483,7.4931380734014095,5.384538970397153,5.303176019178539,3.690022209751867,4.183367705200097,7.882285950596498,4.425476505778694,4.361265083266918,3.4108167844357493,3.824275651343523,5.028352827038542,5.527363530143959,4.042512292221089,4.888466090075592,8.466807730546481,4.733681386146473,5.308748003902135,3.73992296940862,7.009911465243382,4.33462770393572,4.152834041152503,5.018242414443851,6.002941086974356,4.583282439833237,3.8499868575599216,5.8865473059916456,3.026590156283926,5.30686859685435,5.210027693033025,3.753612465753924,4.1358833124908605,3.2520776823787823,2.6516715671378988,3.575546997012253,5.065428178474195,3.9144203116841365,3.698469534763912,5.236695769066371,4.629576789571753,5.13088806024802,3.9974795829949925,3.3680849131655197,6.360323540609089,4.885507532775741,3.877206207071629,7.142471779353026,4.003165483067398,3.3915053127453976,3.510667902630678,3.612180908184955,4.7454538486474815,3.2942332925660023,6.820688289486677,6.009161658658885,4.241395546647619,3.3792974299604803,4.022879877320062,3.6357323377611874,4.508938333765204,4.533121371581456,3.57751708622619,5.172863146226665,3.68616323462766,5.035970422066597,4.461499854616644,4.953480210549271,4.588672688496316,4.159951152147607,3.2909461043941417,5.864249291820988,5.279407345769815,7.43607116185904,6.039696865777073,6.029550697877878,6.082901886884054,6.638137770662837,9.628865964283984,3.2926892284155134,3.2989772670948776,3.632707308241623,4.141518542135628,5.692840375773494,4.3609562040171,5.266733693737369,3.8839267317689035,3.4949985323827977,4.932389877837063,3.4622716507866445,5.060409529060662,4.370514901232869,5.284486077232099,5.03302764062934,4.484211762555223,4.092228569209976,5.10502801947688,4.834231624632186,4.74376121476118,10.291961362062604,5.193520941940322,4.976163015320906,5.857294238764419,3.585847642580469,3.6992930798996064,3.199411000922332,5.537056543248428,6.048516698129586,3.850045763672076,5.73739338711738,4.747378318658032,2.8321413510021887,3.244662375170918,9.535945545372126,5.207560766898188,6.080083318940852,5.378625076687226,7.494761980096702,4.5914329482367835,3.598858753228245,5.790591494909833,3.817559017781854,6.5425318487680615,5.048622224844136,4.415727637133641,3.555913254237435,4.8780341720887,3.479822424561999,5.214855452617255,3.0750098107904322,3.358907123245399,3.3183340494428917,5.398358719138735
